id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
370113,Motacilla,aguimp,,African Pied Wagtail,Tim Cockcroft,South Africa,"Port Alfred, Eastern Cape",-33.594,26.8969,0,"call, flight call",//www.xeno-canto.org/370113,//www.xeno-canto.org/370113/download,XC370113-African Pied Wagtail2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370113-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370113-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370113-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370113-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:18,14:21,2017-05-15,2017-05-15,['Chalcomitra amethystina'],Calling from pond area then flying off.,yes,unknown
370112,Motacilla,aguimp,,African Pied Wagtail,Tim Cockcroft,South Africa,"Port Alfred, Eastern Cape",-33.594,26.8969,0,"call, song",//www.xeno-canto.org/370112,//www.xeno-canto.org/370112/download,XC370112-African Pied Wagtail1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370112-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370112-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370112-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC370112-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:00,14:05,2017-05-15,2017-05-15,['Andropadus importunus'],Single bird singing from a floating deck in the centre of a pond.,yes,unknown
332024,Motacilla,aguimp,,African Pied Wagtail,Tim Cockcroft,South Africa,"Port Alfred, Eastern Cape",-33.594,26.8969,0,call,//www.xeno-canto.org/332024,//www.xeno-canto.org/332024/download,XC332024-African Pied Wagtail2 xc.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC332024-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC332024-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC332024-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC332024-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:28,08:07,2016-08-23,2016-08-23,"['Zosterops virens', 'Laniarius ferrugineus', 'Prinia subflava', 'Pogoniulus pusillus']",,yes,unknown
246213,Motacilla,aguimp,,African Pied Wagtail,Tim Cockcroft,South Africa,"Port Alfred, Eastern Cape",-33.594,26.8969,0,song,//www.xeno-canto.org/246213,//www.xeno-canto.org/246213/download,XC246213-African Pied Wagtail xc.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC246213-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC246213-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC246213-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GQMCPIVNXX/ffts/XC246213-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,10:21,2015-05-27,2015-05-27,[''],,yes,unknown
233911,Motacilla,aguimp,,African Pied Wagtail,Daniel Danckwerts,Zambia,"Choma, Southern",-16.8003,26.7987,1400,song,//www.xeno-canto.org/233911,//www.xeno-canto.org/233911/download,"XC233911-Wagtail, Pied (2); Bantron Farm ZM 10-02-2015.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233911-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233911-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233911-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233911-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,08:30,2015-02-10,2015-04-02,[''],Songs from pair of adults.,unknown,unknown
233910,Motacilla,aguimp,,African Pied Wagtail,Daniel Danckwerts,Zambia,"Choma, Southern",-16.8003,26.7987,1400,song,//www.xeno-canto.org/233910,//www.xeno-canto.org/233910/download,"XC233910-Wagtail, Pied (1); Bantron Farm ZM 10-02-2015.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233910-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233910-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233910-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UDDNOHEKEN/ffts/XC233910-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:23,08:30,2015-02-10,2015-04-02,[''],Songs from pair of adults.,unknown,unknown
532296,Motacilla,aguimp,,African Pied Wagtail,Stephan Risch,Kenya,"Watamu, Turtle Bay, Coastal Bush and gardens",-3.369,39.9994,10,"adult, song",//www.xeno-canto.org/532296,//www.xeno-canto.org/532296/download,"XC532296-200225_1757 1020 Witwenstelze. Kenia, Watamu. Stephan Risch.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC532296-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC532296-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC532296-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC532296-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,10:20,2020-02-25,2020-03-07,[''],,yes,no
510261,Motacilla,aguimp,,African Pied Wagtail,Peter Boesman,Tanzania,"Kilimanjaro Golf and Wildlife Estate, Usa River, Arusha",-3.427577,36.872795,,song,//www.xeno-canto.org/510261,//www.xeno-canto.org/510261/download,XC510261-LS_55103 African Pied Wagtail song A.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC510261-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC510261-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC510261-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC510261-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:21,07:00,2019-11-10,2019-12-04,[''],,unknown,unknown
503795,Motacilla,aguimp,,African Pied Wagtail,Stein Ø. Nilsen,Tanzania,"Mullers Mountain Lodge, Lushoto, Tanga Region",-4.7611,38.3342,1600,"call, sex uncertain",//www.xeno-canto.org/503795,//www.xeno-canto.org/503795/download,XC503795-20181217-0600-UKJENT8-RC-CUCKOOZOOM0006_LR-0005-56-13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC503795-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC503795-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC503795-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC503795-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:51,06:00,2018-12-17,2019-10-23,['Cuculus solitarius'],"Morning chorus, H6 overnight recording. Great thanks to James Bradley for ID-help!",no,no
502733,Motacilla,aguimp,,African Pied Wagtail,Tony Archer,South Africa,"Makhado (near  Louis Trichardt), Far North, Limpopo",-23.0329,29.92,1000,call,//www.xeno-canto.org/502733,//www.xeno-canto.org/502733/download,XC502733-1 AP Wagtail and Spec Weaver.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HMBDEWEZVS/ffts/XC502733-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HMBDEWEZVS/ffts/XC502733-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HMBDEWEZVS/ffts/XC502733-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HMBDEWEZVS/ffts/XC502733-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,06:00,2019-10-11,2019-10-16,['Ploceus ocularis'],Calling from man-made fountain in town. Wind noise reduced.,yes,no
