id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575749,Hirundo,rustica,,Barn Swallow,Stanislas Wroza,Estonia,Estonia (Kloostri bridge),58.7542,23.8439,0,"call, song, various calls",//www.xeno-canto.org/575749,//www.xeno-canto.org/575749/download,XC575749-Hirondelle rustique divers.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575749-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575749-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575749-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575749-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:36,22:00,2020-07-08,2020-07-14,[''],,yes,no
573959,Hirundo,rustica,,Barn Swallow,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,call,//www.xeno-canto.org/573959,//www.xeno-canto.org/573959/download,XC573959-oreneta p 6 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573959-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573959-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573959-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573959-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,08:00,2020-07-06,2020-07-06,[''],,yes,no
571915,Hirundo,rustica,,Barn Swallow,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,call,//www.xeno-canto.org/571915,//www.xeno-canto.org/571915/download,XC571915-oreneta 24 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571915-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571915-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571915-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571915-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:00,2020-06-24,2020-06-27,[''],,yes,no
571913,Hirundo,rustica,,Barn Swallow,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,call,//www.xeno-canto.org/571913,//www.xeno-canto.org/571913/download,XC571913-oreneta 24 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571913-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571913-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571913-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571913-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:00,2020-06-24,2020-06-27,[''],,yes,no
570904,Hirundo,rustica,,Barn Swallow,Pierre Foulquier,France,"Fontvieille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",43.7255,4.7094,20,song,//www.xeno-canto.org/570904,//www.xeno-canto.org/570904/download,XC570904-hirondelle_rustique_fontvieille.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC570904-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC570904-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC570904-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC570904-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,08:00,2020-06-21,2020-06-23,['Serinus serinus'],first seconds with Serinus serinus,no,no
578054,Hirundo,rustica,,Barn Swallow,Nelson Conceição,Portugal,"Santiago (near  Tavira), Tavira, Faro",37.1253,-7.66,30,song,//www.xeno-canto.org/578054,//www.xeno-canto.org/578054/download,XC578054-20200711_075548andorinhachamines.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578054-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578054-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578054-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578054-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,07:55,2020-07-11,2020-07-21,[''],"Huawei P8 Lite 2017 - Built-in microphones |Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB)",yes,no
578053,Hirundo,rustica,,Barn Swallow,Nelson Conceição,Portugal,"Santiago (near  Tavira), Tavira, Faro",37.1253,-7.66,30,"call, flight call",//www.xeno-canto.org/578053,//www.xeno-canto.org/578053/download,XC578053-20200711_075455andorinhachameines.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578053-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578053-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578053-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578053-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:37,07:54,2020-07-11,2020-07-21,[''],"Huawei P8 Lite 2017 - Built-in microphones |Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB)",yes,no
577626,Hirundo,rustica,,Barn Swallow,Frantz Barrault,France,"Écouflant, Maine-et-Loire, Pays de la Loire",47.5298,-0.5047,30,flight call,//www.xeno-canto.org/577626,//www.xeno-canto.org/577626/download,XC577626-hirondelle_rustique_écouflant_19-07-2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC577626-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC577626-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC577626-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC577626-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,12:00,2020-07-19,2020-07-20,[''],With noise made by my mother in law,yes,no
576324,Hirundo,rustica,erythrogaster,Barn Swallow,Russ Wigh,United States,"Skidaway Island, Chatham County, GA USA",31.9237,-81.0559,0,"adult, call, human voices, sex uncertain",//www.xeno-canto.org/576324,//www.xeno-canto.org/576324/download,XC576324-Barn Swallow singular.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC576324-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC576324-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC576324-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC576324-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,07:30,2020-07-16,2020-07-16,['Corvus ossifragus'],"Individual bird sitting on the rail of a sail boat at a marina on the coast of Georgia.  Cadence  of calls has been compressed to remove distracting noises, human speech and other calls.  Needless to say I was unable to remove all of the background.",yes,no
575747,Hirundo,rustica,,Barn Swallow,Stanislas Wroza,Estonia,Estonia (Kloostri bridge),58.7542,23.8439,0,"call, song, various calls",//www.xeno-canto.org/575747,//www.xeno-canto.org/575747/download,XC575747-Hirondelle rustique divers.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575747-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575747-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575747-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575747-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:36,22:00,2020-07-08,2020-07-14,[''],,yes,no
575746,Hirundo,rustica,,Barn Swallow,Stanislas Wroza,Estonia,Estonia (Kloostri bridge),58.7542,23.8439,0,"call, song, various calls",//www.xeno-canto.org/575746,//www.xeno-canto.org/575746/download,XC575746-Hirondelle rustique chants +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575746-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575746-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575746-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575746-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:29,22:00,2020-07-08,2020-07-14,[''],,yes,no
575358,Hirundo,rustica,erythrogaster,Barn Swallow,Manuel Grosselet,Mexico,"Concordia Municipality, Sinaloa",23.5658,-105.8415,2000,"adult, male, song",//www.xeno-canto.org/575358,//www.xeno-canto.org/575358/download,XC575358-Barn Swallow song sinaloa july 10 640 _0634.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575358-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575358-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575358-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC575358-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,07:00,2020-07-10,2020-07-13,['Passer domesticus'],"wildtronics mono amplified, tascam DR05",yes,no
574966,Hirundo,rustica,,Barn Swallow,Eduardo Realinho,Spain,"Hoya de Huesca/Plana de Uesca (near  Agüero), Huesca, Aragón",42.3534,-0.7945,650,song,//www.xeno-canto.org/574966,//www.xeno-canto.org/574966/download,XC574966-200710-001_N6_05h28_Hrustica.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574966-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574966-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574966-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574966-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:55,05:30,2020-07-10,2020-07-11,[''],Normalized -6db,yes,no
574552,Hirundo,rustica,,Barn Swallow,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"adult, alarm call, female, male",//www.xeno-canto.org/574552,//www.xeno-canto.org/574552/download,XC574552-SW-D13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574552-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574552-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574552-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574552-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:26,09:00,2020-07-05,2020-07-09,[''],alarm to cat; adult pair in flight around nest,yes,no
574550,Hirundo,rustica,,Barn Swallow,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, juvenile, sex uncertain, wing flaps",//www.xeno-canto.org/574550,//www.xeno-canto.org/574550/download,XC574550-SW-D15.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574550-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574550-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574550-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574550-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:33,06:00,2020-07-09,2020-07-09,[''],"3 recently fledged young, close begging and calls at rest",yes,no
574535,Hirundo,rustica,,Barn Swallow,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,flight call,//www.xeno-canto.org/574535,//www.xeno-canto.org/574535/download,"XC574535-Golondrina común FC, 07_29.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC574535-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC574535-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC574535-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC574535-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,07:29,2020-07-07,2020-07-09,[''],Grabado en un carrizal denso sobre lámina de agua.,no,no
572631,Hirundo,rustica,,Barn Swallow,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, hatchling or nestling, nestlings begging and fed, sex uncertain",//www.xeno-canto.org/572631,//www.xeno-canto.org/572631/download,XC572631-sw-D61.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572631-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572631-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572631-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC572631-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,2:41,05:30,2020-07-01,2020-07-01,"['Streptopelia decaocto', 'Columba palumbus', 'Coloeus monedula']",3 young c. 12 days old,yes,no
570215,Hirundo,rustica,,Barn Swallow,Michael Hurben,United States,"Bush Lake Beach, Bloomington, MN",44.8372,-93.3769,260,song,//www.xeno-canto.org/570215,//www.xeno-canto.org/570215/download,XC570215-BarnSwallowJune20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ESJQFJUOUH/ffts/XC570215-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ESJQFJUOUH/ffts/XC570215-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ESJQFJUOUH/ffts/XC570215-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ESJQFJUOUH/ffts/XC570215-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:48,06:00,2020-06-20,2020-06-20,[''],,yes,no
567605,Hirundo,rustica,,Barn Swallow,Sunny Tseng,Taiwan,Jiji Township,23.828,120.7929,240,call,//www.xeno-canto.org/567605,//www.xeno-canto.org/567605/download,XC567605-200605_2410_BASW_1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SPMWIWZKKC/ffts/XC567605-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SPMWIWZKKC/ffts/XC567605-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SPMWIWZKKC/ffts/XC567605-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SPMWIWZKKC/ffts/XC567605-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,06:30,2020-06-05,2020-06-12,[''],,yes,no
560510,Hirundo,rustica,,Barn Swallow,Anon Torimi,Japan,Kyoto Prefecture,,,?,song,//www.xeno-canto.org/560510,//www.xeno-canto.org/560510/download,XC560510-tsubame_s_200522a_sub.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC560510-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC560510-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC560510-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC560510-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,05:20,2020-05-22,2020-05-22,[''],,no,no
560260,Hirundo,rustica,,Barn Swallow,Alain Verneau,France,"Gatteville-le-Phare, Manche, Normandie",49.6975,-1.2651,0,song,//www.xeno-canto.org/560260,//www.xeno-canto.org/560260/download,XC560260-HrustiqueXC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560260-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560260-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560260-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560260-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,11:30,2020-05-16,2020-05-21,[''],A bird on an electric wire,yes,no
560258,Hirundo,rustica,,Barn Swallow,Alain Verneau,France,"Gatteville-le-Phare, Manche, Normandie",49.6975,-1.2651,0,song,//www.xeno-canto.org/560258,//www.xeno-canto.org/560258/download,XC560258-Hrustique01XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560258-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560258-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560258-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC560258-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,11:30,2020-05-16,2020-05-21,[''],A bird on an electric wire,yes,no
559606,Hirundo,rustica,rustica,Barn Swallow,Jarek Matusiak,Poland,Białowieża Forest,52.7001,23.8501,150,"adult, male, song",//www.xeno-canto.org/559606,//www.xeno-canto.org/559606/download,XC559606-JAREK-MATUSIAK-363 dymóka super.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559606-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559606-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559606-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559606-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,10:00,2020-05-17,2020-05-19,[''],,unknown,unknown
556925,Hirundo,rustica,,Barn Swallow,Nelson Conceição,Portugal,"Santa Maria, Mato Santo Espírito(near  Tavira), Tavira, Faro",37.1379,-7.6303,30,flight call,//www.xeno-canto.org/556925,//www.xeno-canto.org/556925/download,XC556925-200508-053401andorinhachamines.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC556925-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC556925-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC556925-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC556925-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:30,05:34,2020-05-08,2020-05-10,[''],"Recorder: Zoom H1n

Windscreen: Zoom WSU-1

Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).",no,no
555397,Hirundo,rustica,rustica,Barn Swallow,Ruslan Mazuryk,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",49.634,26.2213,?,"male, song",//www.xeno-canto.org/555397,//www.xeno-canto.org/555397/download,XC555397-MVI_1819.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC555397-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC555397-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC555397-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC555397-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,20:03,2020-04-28,2020-05-08,"['Fringilla coelebs', 'Erithacus rubecula']",,yes,unknown
