id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573528,Dryocopus,martius,,Black Woodpecker,Giuseppe Speranza,Italy,"Arco, Trentino, Trentino-Alto Adige",45.9012,10.9297,1100,"adult, male, song",//www.xeno-canto.org/573528,//www.xeno-canto.org/573528/download,XC573528-200625_1489-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573528-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573528-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573528-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573528-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,10:45,2020-06-25,2020-07-05,[''],,yes,no
573539,Dryocopus,martius,,Black Woodpecker,Lorenzo Maffezzoli,Italy,"Rhemes-notre-dame (near  Coveyrand-vieu), Valle d'Aosta, Valle d'Aosta",45.6446,7.1646,1800,"adult, male, song",//www.xeno-canto.org/573539,//www.xeno-canto.org/573539/download,XC573539-Picchio nero_song.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC573539-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC573539-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC573539-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC573539-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,07:30,2020-07-05,2020-07-05,[''],,yes,no
570548,Dryocopus,martius,,Black Woodpecker,Hannu Varkki,Finland,"Majvik, Sipoo, Uusimaa",60.2618,25.2474,10,"begging call, hatchling or nestling",//www.xeno-canto.org/570548,//www.xeno-canto.org/570548/download,XC570548-DRYMAR2020-06-01-0700-m.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC570548-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC570548-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC570548-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC570548-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,07:00,2020-06-01,2020-06-21,['Acrocephalus palustris'],A big nestling begging beside a rather busy road.,yes,no
566675,Dryocopus,martius,,Black Woodpecker,Tanguy Loïs,France,"Hermeray, Yvelines, Île-de-France",48.6392,1.6704,140,"call, flight call",//www.xeno-canto.org/566675,//www.xeno-canto.org/566675/download,XC566675-pic noir.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC566675-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC566675-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC566675-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC566675-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,08:00,2020-06-09,2020-06-09,"['Phylloscopus collybita', 'Erithacus rubecula', 'Troglodytes troglodytes', 'Sylvia atricapilla']",,no,no
560391,Dryocopus,martius,,Black Woodpecker,Stanislas Wroza,France,"Fontainebleau, Seine-et-Marne, Île-de-France",48.3914,2.5971,130,drumming,//www.xeno-canto.org/560391,//www.xeno-canto.org/560391/download,XC560391-Pic noir tambourrinage ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560391-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560391-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560391-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560391-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,06:00,2020-05-18,2020-05-21,[''],,yes,no
560389,Dryocopus,martius,,Black Woodpecker,Stanislas Wroza,France,"Fontainebleau, Seine-et-Marne, Île-de-France",48.3914,2.5971,130,"nasal song, song",//www.xeno-canto.org/560389,//www.xeno-canto.org/560389/download,XC560389-Pic noir chant un peu nasillard +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560389-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560389-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560389-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560389-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,06:00,2020-05-18,2020-05-21,[''],,yes,no
559686,Dryocopus,martius,,Black Woodpecker,Zoltán Dudás,Hungary,"Sopron, Sopron–Fertődi, Gyor-Moson-Sopron",47.6429,16.5504,440,"adult, sex uncertain, song",//www.xeno-canto.org/559686,//www.xeno-canto.org/559686/download,XC559686-fekete_harkaly2a_20180911.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FPLEKQZILX/ffts/XC559686-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FPLEKQZILX/ffts/XC559686-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FPLEKQZILX/ffts/XC559686-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FPLEKQZILX/ffts/XC559686-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,17:00,2018-09-11,2020-05-19,[''],,no,no
559134,Dryocopus,martius,,Black Woodpecker,Lars Edenius,Sweden,"Älgnäs, Skellefteå Municipality, Västerbottens län",64.4343,21.4379,20,"call, pecking",//www.xeno-canto.org/559134,//www.xeno-canto.org/559134/download,XC559134-Spillkråka_22.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559134-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559134-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559134-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559134-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:44,06:00,2020-05-16,2020-05-17,['Lyrurus tetrix'],,no,no
557176,Dryocopus,martius,,Black Woodpecker,Dare Šere,Slovenia,"Lavrica, Škofljica, Ljubljana",45.9978,14.5442,280,"adult, call, sex uncertain",//www.xeno-canto.org/557176,//www.xeno-canto.org/557176/download,XC557176-200511_0588 D.martius.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC557176-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC557176-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC557176-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC557176-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:09,08:00,2020-05-11,2020-05-11,"['Acrocephalus palustris', 'Sylvia atricapilla']",,yes,no
556055,Dryocopus,martius,,Black Woodpecker,Bertram,Germany,"Göttingen (near  Gleichen), Niedersachsen",51.485,10.007,220,"adult, drumming, female, male, song",//www.xeno-canto.org/556055,//www.xeno-canto.org/556055/download,XC556055-ssp.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SRYBGHVLEK/ffts/XC556055-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SRYBGHVLEK/ffts/XC556055-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SRYBGHVLEK/ffts/XC556055-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SRYBGHVLEK/ffts/XC556055-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,13:01,11:00,2020-05-10,2020-05-10,[''],23 times drumming within 13 min. From min 10:40 different calls (also female),yes,no
