id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
578140,Branta,canadensis,,Canada Goose,Ed Pandolfino,United States,"Bobelaine Preserve, Sutter County, California",38.9308,-121.5903,10,call,//www.xeno-canto.org/578140,//www.xeno-canto.org/578140/download,XC578140-CAGOc_BobelaineSUT_3-3-17_0731.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578140-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578140-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578140-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578140-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:30,07:31,2017-03-03,2020-07-22,[''],,yes,no
575174,Branta,canadensis,,Canada Goose,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult call, call, juvenile",//www.xeno-canto.org/575174,//www.xeno-canto.org/575174/download,XC575174-2020.07.10_15.20_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575174-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575174-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575174-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575174-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,15:20,2020-07-10,2020-07-12,[''],,yes,no
564549,Branta,canadensis,,Canada Goose,Peter Stronach,United Kingdom,"Udale Bay, Highland, Scotland",57.6571,-4.1593,0,call,//www.xeno-canto.org/564549,//www.xeno-canto.org/564549/download,XC564549-Canada Goose.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC564549-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC564549-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC564549-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC564549-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,13:53,2020-06-02,2020-06-02,"['Motacilla alba', 'Alauda arvensis']",Moulting flock,yes,no
561694,Branta,canadensis,,Canada Goose,Albert Noorlander,Netherlands,"Oudewater, Oudewater, Utrecht",52.0093,4.9039,0,call,//www.xeno-canto.org/561694,//www.xeno-canto.org/561694/download,XC561694-Grote Canadese Gans 20190921-01a Willeskop X.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC561694-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC561694-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC561694-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC561694-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,08:45,2019-09-21,2020-05-24,[''],,yes,no
559271,Branta,canadensis,,Canada Goose,Mikael Litsgård,Sweden,"Vasstjärnen, Holmsjöarna, Borlänge",60.4384,15.5632,110,call,//www.xeno-canto.org/559271,//www.xeno-canto.org/559271/download,XC559271-200509_0351-Branta canadensis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC559271-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC559271-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC559271-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC559271-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,03:51,2020-05-09,2020-05-17,[''],Calls from a lone bird on a field.,yes,no
558239,Branta,canadensis,,Canada Goose,Lars Edenius,Sweden,"Lövöbådan, Västerbottens län",63.6904,20.4628,0,call,//www.xeno-canto.org/558239,//www.xeno-canto.org/558239/download,XC558239-Kanadagås_09.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558239-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558239-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558239-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558239-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:29,06:00,2020-05-08,2020-05-14,[''],,yes,no
557197,Branta,canadensis,,Canada Goose,Stanislas Wroza,France,"Saint-Nom-la-Bretèche, Yvelines, Île-de-France",48.8641,2.0111,120,flight call,//www.xeno-canto.org/557197,//www.xeno-canto.org/557197/download,XC557197-Bernache du Canada vol ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557197-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557197-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557197-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557197-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:17,06:30,2020-05-10,2020-05-11,[''],,yes,no
555675,Branta,canadensis,,Canada Goose,Niels Van Doninck,Belgium,"Laakdal, Antwerpen, Vlaanderen",51.0422,4.9949,20,call,//www.xeno-canto.org/555675,//www.xeno-canto.org/555675/download,XC555675-Grote Canadese Gans 2020-05-08 2215a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555675-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555675-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555675-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555675-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,22:15,2020-05-08,2020-05-09,[''],,no,no
554986,Branta,canadensis,,Canada Goose,Niels Van Doninck,Belgium,"Geel, Antwerp, Flanders",51.1974,4.9448,10,"adult, alarm call, flight call",//www.xeno-canto.org/554986,//www.xeno-canto.org/554986/download,XC554986-Grote Canadese Gans 2020-05-07 0650a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554986-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554986-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554986-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554986-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:55,06:50,2020-05-07,2020-05-07,['Luscinia svecica'],Pair in breeding territory. Alarmed by our appearance and took off.,yes,no
553621,Branta,canadensis,,Canada Goose,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1403,4.9931,20,alarm call,//www.xeno-canto.org/553621,//www.xeno-canto.org/553621/download,XC553621-Grote Canadese Gans 2020-05-02 2105 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553621-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553621-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553621-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553621-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,21:05,2020-05-02,2020-05-03,"['Troglodytes troglodytes', 'Turdus philomelos', 'Sylvia atricapilla']",,yes,no
