id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574436,Corvus,corone,,Carrion Crow,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,call,//www.xeno-canto.org/574436,//www.xeno-canto.org/574436/download,XC574436-2020.07.06_10.54_02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574436-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574436-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574436-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574436-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,10:54,2020-07-06,2020-07-08,['Sylvia borin'],"Haliaeetus albicilla?
The sound is very bad, with a lot of wind, but I think it is noticeable. I would add that Genneper Parken which is crossed by the Dommel River and its canals, has several areas of mudflats with reedbed and woods. It was heard in the High Tech Campus Eindhoven area.

This sound is no longer a mystery. Two days later I returned to the place and saw the bird that made this sound: a corvus corone.",no,no
572611,Corvus,corone,,Carrion Crow,Jorge Leitão,Netherlands,"Dommeilplantsoen, near Genneper Parken, Eindhoven, Noord-Brabant",51.4269,5.4752,20,"adult, call",//www.xeno-canto.org/572611,//www.xeno-canto.org/572611/download,XC572611-2020.06.30_10.55_0.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572611-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572611-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572611-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572611-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:20,1:55,2020-06-30,2020-07-01,"['Pica pica', 'Sylvia atricapilla']",,yes,no
568526,Corvus,corone,,Carrion Crow,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,flight call,//www.xeno-canto.org/568526,//www.xeno-canto.org/568526/download,XC568526-2020.06.14_10.16_01_.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568526-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568526-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568526-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568526-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,10:16,2020-06-14,2020-06-14,[''],,yes,no
560571,Corvus,corone,,Carrion Crow,Jorge Leitão,Portugal,"Sete Fontes, São Victor (near  Braga) Braga",41.5693,-8.4042,220,flight call,//www.xeno-canto.org/560571,//www.xeno-canto.org/560571/download,XC560571-corvus corone_2020.05.20_12.04_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560571-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560571-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560571-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560571-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,12:04,2020-05-20,2020-05-22,[''],,yes,no
577172,Corvus,corone,,Carrion Crow,Dmitry Kulakov,Russian Federation,"Zheleznogorsk, Zheleznogorsk, Krasnoyarskiy kray",56.2514,93.5359,150,uncertain,//www.xeno-canto.org/577172,//www.xeno-canto.org/577172/download,XC577172- ворона (Corvus corone). 8.07.2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CNORMZSGIQ/ffts/XC577172-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CNORMZSGIQ/ffts/XC577172-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CNORMZSGIQ/ffts/XC577172-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CNORMZSGIQ/ffts/XC577172-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:55,06:00,2020-07-08,2020-07-19,[''],,yes,yes
574201,Corvus,corone,,Carrion Crow,Tanguy Loïs,France,"Raizeux, Yvelines, Île-de-France",48.6312,1.6872,130,call,//www.xeno-canto.org/574201,//www.xeno-canto.org/574201/download,XC574201-corneille.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574201-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574201-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574201-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574201-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,22:30,2020-07-07,2020-07-07,[''],,yes,no
566255,Corvus,corone,corone,Carrion Crow,Albert Noorlander,Netherlands,"IJsselstein, IJsselstein, Utrecht",52.015,5.0378,008:20,call,//www.xeno-canto.org/566255,//www.xeno-canto.org/566255/download,XC566255-Zwarte Kraai 20200608-01a X.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC566255-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC566255-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC566255-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LIGVVFZJTW/ffts/XC566255-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:02,08:30,2020-06-08,2020-06-08,[''],,no,no
561130,Corvus,corone,,Carrion Crow,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7698,-3.7972,1000,call,//www.xeno-canto.org/561130,//www.xeno-canto.org/561130/download,XC561130-13 may. 8.38 corneja comun-tortola eu.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC561130-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC561130-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC561130-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC561130-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:41,8:38,2020-05-13,2020-05-23,['Streptopelia turtur'],Grabado en bosque denso de ROBLES con mucho sotobosque. Grabación amplificada,no,no
557194,Corvus,corone,,Carrion Crow,Stanislas Wroza,France,"Chavenay, Yvelines, Île-de-France",48.845,1.9989,80,"flight call, nocturnal flight call",//www.xeno-canto.org/557194,//www.xeno-canto.org/557194/download,XC557194-20200506_230000 Corneille noire nocmig.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557194-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557194-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557194-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557194-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,02:00,2020-05-05,2020-05-11,[''],,no,no
556067,Corvus,corone,,Carrion Crow,Michał Jezierski,United Kingdom," Rearsby, Leicestershire, England",52.7278,-1.0365,70,call,//www.xeno-canto.org/556067,//www.xeno-canto.org/556067/download,XC556067-03042020_cocor_call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC556067-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC556067-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC556067-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC556067-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,17:00,2020-04-03,2020-05-10,[''],"**Comments**: N/A.

**Recording modifications**: HPF 1000 Hz, 12 dB; normalised peak amplitude to -3.0 dB. Modified using Audacity. Recorded using Olympus LS-P1.

**Habitat (inc. vegetation and level)**: N/A.

**Behaviour**: N/A.

**Sex (with ID cues)**: N/A.

**Weather and other conditions**: N/A.

**Comments on other birds**: N/A.",yes,no
