id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575898,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575898,//www.xeno-canto.org/575898/download,XC575898-chaf 12 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575898-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575898-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575898-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575898-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,15:00,2020-07-12,2020-07-14,[''],,no,no
575897,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575897,//www.xeno-canto.org/575897/download,XC575897-mii 12 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575897-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575897-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575897-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575897-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,15:00,2020-07-12,2020-07-14,[''],,no,no
575896,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575896,//www.xeno-canto.org/575896/download,XC575896-mii 12 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575896-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575896-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575896-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575896-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:14,15:00,2020-07-12,2020-07-14,[''],,no,no
575875,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575875,//www.xeno-canto.org/575875/download,XC575875-chaf 12 6.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575875-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575875-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575875-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575875-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:31,15:00,2020-07-12,2020-07-14,[''],,yes,no
575873,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575873,//www.xeno-canto.org/575873/download,XC575873-chaf 12 5.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575873-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575873-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575873-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575873-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,15:00,2020-07-12,2020-07-14,[''],,yes,no
575872,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575872,//www.xeno-canto.org/575872/download,XC575872-chaf 12 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575872-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575872-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575872-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575872-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,15:00,2020-07-12,2020-07-14,[''],,yes,no
575870,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575870,//www.xeno-canto.org/575870/download,XC575870-chaf 12 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575870-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575870-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575870-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575870-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:21,15:00,2020-07-12,2020-07-14,[''],,yes,no
575868,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575868,//www.xeno-canto.org/575868/download,XC575868-chaf 12 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575868-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575868-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575868-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575868-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,15:00,2020-07-12,2020-07-14,[''],,yes,no
575865,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575865,//www.xeno-canto.org/575865/download,XC575865-chaf 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575865-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575865-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575865-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575865-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:36,15:00,2020-07-12,2020-07-14,[''],,yes,no
575864,Fringilla,coelebs,,Common Chaffinch,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575864,//www.xeno-canto.org/575864/download,XC575864-mi 12 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575864-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575864-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575864-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575864-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,15:00,2020-07-12,2020-07-14,[''],,yes,no
