id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575765,Phylloscopus,collybita,abietinus,Common Chiffchaff,Stanislas Wroza,Estonia,"Koigi, Saaremaa Parish, Saare maakond",58.4927,22.9727,10,song,//www.xeno-canto.org/575765,//www.xeno-canto.org/575765/download,XC575765-Pouillot veloce abietinus chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575765-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575765-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575765-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575765-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:56,14:00,2020-07-10,2020-07-14,[''],,yes,no
575764,Phylloscopus,collybita,abietinus,Common Chiffchaff,Stanislas Wroza,Estonia,"Koigi, Saaremaa Parish, Saare maakond",58.4927,22.9727,10,"fluttering call, song",//www.xeno-canto.org/575764,//www.xeno-canto.org/575764/download,XC575764-Pouillot veloce abietinus chant et fluttering.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575764-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575764-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575764-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575764-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:28,14:00,2020-07-10,2020-07-14,[''],,yes,no
575738,Phylloscopus,collybita,,Common Chiffchaff,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,begging call,//www.xeno-canto.org/575738,//www.xeno-canto.org/575738/download,XC575738-Pouillot veloce quemandage.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575738-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575738-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575738-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575738-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:27,08:30,2020-07-09,2020-07-14,[''],,yes,no
573708,Phylloscopus,collybita,,Common Chiffchaff,Pierre Foulquier,France,"Gatuzières, Lozère, Occitanie",44.1975,3.4867,800,"male, song",//www.xeno-canto.org/573708,//www.xeno-canto.org/573708/download,XC573708-pouillot_veloce_song_meyrueis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573708-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573708-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573708-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573708-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:26,07:00,2020-06-27,2020-07-05,"['Erithacus rubecula', 'Fringilla coelebs']",,no,no
572009,Phylloscopus,collybita,,Common Chiffchaff,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,"call, incurvated call",//www.xeno-canto.org/572009,//www.xeno-canto.org/572009/download,XC572009-Pouillot veloce cri incurve.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572009-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572009-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572009-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572009-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,12:00,2020-06-27,2020-06-27,[''],,yes,no
572008,Phylloscopus,collybita,,Common Chiffchaff,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,"call, incurvated call",//www.xeno-canto.org/572008,//www.xeno-canto.org/572008/download,XC572008-Pouillot veloce cri incurve (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572008-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572008-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572008-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572008-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,12:00,2020-06-27,2020-06-27,[''],,yes,no
571936,Phylloscopus,collybita,,Common Chiffchaff,Bodo Sonnenburg,Germany,"Oder-Spree (near  Storkow (Mark)), Brandenburg",52.237,13.8707,40,"adult, male, song",//www.xeno-canto.org/571936,//www.xeno-canto.org/571936/download,XC571936-zilp0538.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571936-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571936-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571936-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571936-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,1:01,05:38,2020-06-27,2020-06-27,"['Sylvia atricapilla', 'Hirundo rustica', 'Chloris chloris']",,yes,no
571749,Phylloscopus,collybita,,Common Chiffchaff,Magnus Claesson,Sweden,"Rosenforsvägen (near  Eskilstuna), Eskilstuna, Södermanlands län",59.3339,16.4716,40,song,//www.xeno-canto.org/571749,//www.xeno-canto.org/571749/download,XC571749-BirdNET Observation.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LSJZSKQNIG/ffts/XC571749-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LSJZSKQNIG/ffts/XC571749-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LSJZSKQNIG/ffts/XC571749-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LSJZSKQNIG/ffts/XC571749-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,06:55,2020-06-26,2020-06-26,[''],,no,no
571743,Phylloscopus,collybita,tristis,Common Chiffchaff,Frank Roos,Netherlands,"Elburg, Elburg, Gelderland",52.4474,5.8299,0,"adult, male, song",//www.xeno-canto.org/571743,//www.xeno-canto.org/571743/download,XC571743-sibtjif_aud_elburg2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571743-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571743-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571743-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571743-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:57,12:50,2020-06-09,2020-06-26,[''],,yes,no
571742,Phylloscopus,collybita,tristis,Common Chiffchaff,Frank Roos,Netherlands,"Elburg, Elburg, Gelderland",52.4474,5.8299,0,"adult, male, song",//www.xeno-canto.org/571742,//www.xeno-canto.org/571742/download,XC571742-sibtjif_aud_elburg1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571742-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571742-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571742-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC571742-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:46,12:50,2020-06-09,2020-06-26,[''],,yes,no
571508,Phylloscopus,collybita,,Common Chiffchaff,Jacobo Ramil MIllarengo,Spain,"Brañas de Laíño, Dodro, A  Coruña, Galicia",42.7235,-8.6731,0,"song, with previus titter notes",//www.xeno-canto.org/571508,//www.xeno-canto.org/571508/download,"XC571508-Phylloscopus collybita-ibericus (posible cantomixto híbrido) Brañas de Laíño, Dodro, A Coruña, 24.6.20  19.00 P. ater, S atricapilla.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC571508-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC571508-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC571508-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC571508-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:05,08:00,2020-06-24,2020-06-25,"['Periparus ater', 'Sylvia atricapilla']",,no,no
567257,Phylloscopus,collybita,tristis,Common Chiffchaff,Oskar Löfgren,Sweden,"Gamla kyrkogården, Malmö, Malmö Municipality, Skåne län",55.602,12.9975,5,"male, song",//www.xeno-canto.org/567257,//www.xeno-canto.org/567257/download,XC567257-sibgran_10Juni_sång_collybitastyle.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567257-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567257-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567257-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567257-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:25,13:00,2020-06-10,2020-06-11,[''],"Possible tristis, but the song also includes collybita-style elements. Low frequencies (below 500Hz) were reduced because of noise from traffic. The same individual as XC567256, XC567004, XC567005, XC567006.",unknown,unknown
567256,Phylloscopus,collybita,tristis,Common Chiffchaff,Oskar Löfgren,Sweden,"Gamla kyrkogården, Malmö, Malmö Municipality, Skåne län",55.602,12.9975,5,"male, song",//www.xeno-canto.org/567256,//www.xeno-canto.org/567256/download,XC567256-sibgran_10Juni_sång1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567256-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567256-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567256-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567256-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:01,13:00,2020-06-10,2020-06-11,"['Phoenicurus phoenicurus', 'Pica pica']","Possible tristis.  Low Frequencies (below 500Hz) were reduced because of noise from traffic. The same individual as XC567256, XC567004, XC567005, XC567006.",unknown,unknown
567005,Phylloscopus,collybita,tristis,Common Chiffchaff,Oskar Löfgren,Sweden,"Gamla kyrkogården, Malmö, Malmö Municipality, Skåne län",55.602,12.9975,5,"male, song",//www.xeno-canto.org/567005,//www.xeno-canto.org/567005/download,XC567005-Sibgran_sång2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567005-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567005-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567005-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WJQJQGOTJB/ffts/XC567005-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,14:00,2020-06-08,2020-06-10,[''],"Possible tristis. Recorded with phone. Low  and high frequencies were reduced/filtered because of noise from traffic and wind. The same individual in XC567256, XC567257, XC567004, XC567005, XC567006.",no,no
