id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574709,Delichon,urbicum,,Common House Martin,Nicolas Martinez,Switzerland,"Rodersdorf, Dorneck, Solothurn",47.4796,7.4558,380,"adult, begging call, call, hatchling or nestling, song",//www.xeno-canto.org/574709,//www.xeno-canto.org/574709/download,XC574709-delurb_200707_rodersdorf_highpass.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC574709-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC574709-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC574709-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC574709-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:10,21:00,2020-07-07,2020-07-10,[''],birds near and at the nests,yes,no
571944,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Tarragonès (near  Salou), Tarragona, Catalunya",41.0847,1.1214,10,"call, song",//www.xeno-canto.org/571944,//www.xeno-canto.org/571944/download,XC571944-oreneta cua 24 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571944-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571944-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571944-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571944-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:30,2020-06-24,2020-06-27,[''],,yes,no
570514,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Tarragonès (near  Salou), Tarragona, Catalunya",41.0618,1.1597,20,song,//www.xeno-canto.org/570514,//www.xeno-canto.org/570514/download,XC570514-oreneta 21 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570514-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570514-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570514-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570514-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,11:00,2020-06-21,2020-06-21,[''],,yes,no
570512,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Tarragonès (near  Salou), Tarragona, Catalunya",41.0618,1.1597,20,song,//www.xeno-canto.org/570512,//www.xeno-canto.org/570512/download,XC570512-oreneta 21 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570512-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570512-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570512-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570512-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,11:00,2020-06-21,2020-06-21,[''],,yes,no
570511,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Tarragonès (near  Salou), Tarragona, Catalunya",41.0618,1.1597,20,song,//www.xeno-canto.org/570511,//www.xeno-canto.org/570511/download,XC570511-oreneta 21 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570511-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570511-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570511-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570511-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,11:00,2020-06-21,2020-06-21,[''],,yes,no
570510,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Tarragonès (near  Salou), Tarragona, Catalunya",41.0618,1.1597,20,song,//www.xeno-canto.org/570510,//www.xeno-canto.org/570510/download,XC570510-oreneta 21 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570510-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570510-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570510-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC570510-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,11:00,2020-06-21,2020-06-21,[''],,yes,no
567056,Delichon,urbicum,,Common House Martin,Enrico Carta,Italy,"Camporosso, Provincia di Imperia, Liguria",43.7844,7.6304,0,flight call,//www.xeno-canto.org/567056,//www.xeno-canto.org/567056/download,XC567056-20200609 Balestrucci.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC567056-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC567056-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC567056-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC567056-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,08:41,2020-06-09,2020-06-10,[''],,yes,unknown
564021,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,"alarm call, call",//www.xeno-canto.org/564021,//www.xeno-canto.org/564021/download,XC564021-orenetes 1 6 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564021-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564021-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564021-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564021-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:22,10:00,2020-06-01,2020-06-01,[''],,unknown,unknown
564020,Delichon,urbicum,,Common House Martin,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,"call, flight call",//www.xeno-canto.org/564020,//www.xeno-canto.org/564020/download,XC564020-orenetes 1 6 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564020-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564020-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564020-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC564020-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:22,09:30,2020-06-01,2020-06-01,[''],,unknown,unknown
562592,Delichon,urbicum,,Common House Martin,Hans Norelius,Sweden,"Sturehovs slott, Botkyrka",59.258,17.7616,10,call,//www.xeno-canto.org/562592,//www.xeno-canto.org/562592/download,XC562592-Hussvala_Sturehov_Maj2020_200527-111453.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562592-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562592-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562592-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562592-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:18,11:00,2020-05-27,2020-05-27,['Luscinia luscinia'],,yes,no
