id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576287,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Bisilabic call, call",//www.xeno-canto.org/576287,//www.xeno-canto.org/576287/download,"XC576287-Gallineta call, 20_45.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576287-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576287-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576287-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576287-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,20:45,2020-07-09,2020-07-16,[''],Grabado en la orilla de una laguna con vegetación palustre y arbolado de ribera (Tamarix y Populus alba),no,no
576286,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Prrrrr call, call",//www.xeno-canto.org/576286,//www.xeno-canto.org/576286/download,"XC576286-Gallineta call, 20_20.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576286-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576286-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576286-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576286-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,20:20,2020-07-09,2020-07-16,['Rallus aquaticus'],Grabado en la orilla de una laguna con vegetación palustre y arbolado de ribera (Tamarix y Populus alba),no,no
576285,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Prrrrr call, call",//www.xeno-canto.org/576285,//www.xeno-canto.org/576285/download,"XC576285-Gallineta call, 19_59.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576285-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576285-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576285-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576285-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,19:59,2020-07-09,2020-07-16,[''],Grabado en la orilla de una laguna con vegetación palustre y arbolado de ribera (Tamarix y Populus alba),no,no
576284,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Prrrrr call, call",//www.xeno-canto.org/576284,//www.xeno-canto.org/576284/download,"XC576284-Gallineta call, 19_08.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576284-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576284-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576284-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576284-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,19:08,2020-07-09,2020-07-16,[''],Grabado en la orilla de una laguna con vegetación palustre y arbolado de ribera (Tamarix y Populus alba),no,no
574580,Gallinula,chloropus,,Common Moorhen,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"call, juvenile, sex uncertain",//www.xeno-canto.org/574580,//www.xeno-canto.org/574580/download,XC574580-MH-D63N.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574580-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574580-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574580-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574580-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:09,13:00,2020-07-08,2020-07-09,['Columba palumbus'],twittering call by juvenile when chased by adult or sibling; 2 examples,yes,no
574579,Gallinula,chloropus,,Common Moorhen,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"call, juvenile, sex uncertain",//www.xeno-canto.org/574579,//www.xeno-canto.org/574579/download,XC574579-MH-D63M.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574579-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574579-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574579-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574579-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:08,12:00,2020-07-08,2020-07-09,[''],twittering call by juvenile when chased by adult or sibling,yes,no
574342,Gallinula,chloropus,,Common Moorhen,Simon Elliott,United Kingdom,"Great Britain (near  Hessay), York, England",53.9741,-1.2046,20,"begging call, juvenile, sex uncertain, very close",//www.xeno-canto.org/574342,//www.xeno-canto.org/574342/download,XC574342-MH-63G.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574342-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574342-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574342-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC574342-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:09,11:00,2020-07-08,2020-07-08,[''],"juv 6 weeks old, 5cm from mic; adult female feeding call grunt just audible",yes,no
573009,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Bisyllabic call, call",//www.xeno-canto.org/573009,//www.xeno-canto.org/573009/download,"XC573009-Gallineta call bisilábico ++++, 12_22.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573009-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573009-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573009-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573009-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,12:22,2020-06-30,2020-07-02,[''],Laguna con vegetación palustre y Tamarix.,no,no
573008,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Prrrr call, call",//www.xeno-canto.org/573008,//www.xeno-canto.org/573008/download,"XC573008-Gallineta call +++, 12_06.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573008-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573008-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573008-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573008-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,12:06,2020-06-30,2020-07-02,[''],Laguna con vegetación palustre y Tamarix.,no,no
573007,Gallinula,chloropus,,Common Moorhen,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Prrrr call, call",//www.xeno-canto.org/573007,//www.xeno-canto.org/573007/download,"XC573007-Gallineta call +++, 11_08.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573007-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573007-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573007-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573007-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,11:08,2020-06-30,2020-07-02,[''],Laguna con vegetación palustre y Tamarix.,no,no
