id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
571514,Gallinago,gallinago,,Common Snipe,Stein Ø. Nilsen,Norway,Straumsbukta SNI,69.578,18.64,10,call,//www.xeno-canto.org/571514,//www.xeno-canto.org/571514/download,XC571514-SNI-235_01_21052020-ebekkasin2-strbkt.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC571514-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC571514-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC571514-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC571514-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,3:52,01:00,2020-05-21,2020-06-25,[''],Mixpre3 II & Telinga MK2 directed to bird 10 meters away. Full gain 32 bit float file and then normalized in Audition and further edit in Audacity.,yes,no
571175,Gallinago,gallinago,,Common Snipe,Jarek Matusiak,Poland,Biebrza and Narew Valley,53.6171,22.9834,110,"adult, call, male",//www.xeno-canto.org/571175,//www.xeno-canto.org/571175/download,XC571175-JAREK-MATUSIAK-A-626 kszyk(2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571175-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571175-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571175-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571175-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,06:00,2020-05-12,2020-06-24,[''],,unknown,unknown
571173,Gallinago,gallinago,,Common Snipe,Jarek Matusiak,Poland,Biebrza and Narew Valley,53.6171,22.9834,110,"adult, call, male, wings",//www.xeno-canto.org/571173,//www.xeno-canto.org/571173/download,XC571173-JAREK-MATUSIAK-A-626 kszyk (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571173-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571173-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571173-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571173-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,06:00,2020-05-12,2020-06-24,[''],,unknown,unknown
571170,Gallinago,gallinago,,Common Snipe,Jarek Matusiak,Poland,Biebrza and Narew Valley,53.6171,22.9834,110,"adult, call, male, wings",//www.xeno-canto.org/571170,//www.xeno-canto.org/571170/download,XC571170-JAREK-MATUSIAK-A-626 kszyk 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571170-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571170-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571170-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC571170-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,06:00,2020-05-12,2020-06-24,[''],,unknown,unknown
559997,Gallinago,gallinago,,Common Snipe,Jarek Matusiak,Poland,The Biebrza National Park,53.4721,22.6577,110,"call, male",//www.xeno-canto.org/559997,//www.xeno-canto.org/559997/download,XC559997-JAREK-MATUSIAK-A-624 (2) kszyk2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559997-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559997-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559997-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559997-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,05:10,2020-05-20,2020-05-20,[''],,unknown,unknown
559991,Gallinago,gallinago,,Common Snipe,Jarek Matusiak,Poland,The Biebrza National Park,53.4721,22.6577,110,"call, male, wings",//www.xeno-canto.org/559991,//www.xeno-canto.org/559991/download,XC559991-JAREK-MATUSIAK-A-624 (2) kszyk.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559991-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559991-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559991-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559991-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,05:00,2020-05-20,2020-05-20,[''],Bird landing on the wooden balustrade.,unknown,unknown
559258,Gallinago,gallinago,,Common Snipe,Mats Rellmar,Sweden,Store Mosse,57.261,13.8873,160,song,//www.xeno-canto.org/559258,//www.xeno-canto.org/559258/download,XC559258-Gallinago gallinago disp fly Store Mosse 200423 a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559258-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559258-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559258-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559258-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,21:30,2020-04-23,2020-05-17,[''],Display flight in full darkness.,no,no
559094,Gallinago,gallinago,,Common Snipe,Lars Edenius,Sweden,"Älgnäs, Skellefteå Municipality, Västerbottens län",64.4343,21.4379,20,flight call,//www.xeno-canto.org/559094,//www.xeno-canto.org/559094/download,XC559094-Enkelbeckasin_09.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559094-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559094-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559094-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC559094-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,05:30,2020-05-15,2020-05-17,[''],,no,no
558268,Gallinago,gallinago,,Common Snipe,Alan Dalton,Sweden,"Jakobsberg, Järfälla Municipality, Stockholms län",59.4235,17.8683,10,song,//www.xeno-canto.org/558268,//www.xeno-canto.org/558268/download,XC558268-Common Snipe 30 M Kärret.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558268-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558268-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558268-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558268-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:50,20:30,2020-05-13,2020-05-14,[''],Singing on breeding territory,yes,no
557490,Gallinago,gallinago,,Common Snipe,Johan Södercrantz,Sweden,"Fladen, Ledskär, Tierp Municipality, Uppsala län",60.5055,17.703,0,"alarm call, call, sex uncertain",//www.xeno-canto.org/557490,//www.xeno-canto.org/557490/download,XC557490-20200506_2255_enkelbeck.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CIHYZWBHFL/ffts/XC557490-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CIHYZWBHFL/ffts/XC557490-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CIHYZWBHFL/ffts/XC557490-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CIHYZWBHFL/ffts/XC557490-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:13,22:56,2020-05-06,2020-05-12,['Cygnus cygnus'],,no,no
