id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574830,Emberiza,calandra,,Corn Bunting,Bodo Sonnenburg,Germany,"Oder-Spree (near  Storkow (Mark)), Brandenburg",52.2237,13.8817,40,call,//www.xeno-canto.org/574830,//www.xeno-canto.org/574830/download,XC574830-graua0519.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574830-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574830-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574830-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574830-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:29,05:19,2020-07-11,2020-07-11,"['Alauda arvensis', 'Oriolus oriolus']",,yes,no
573621,Emberiza,calandra,,Corn Bunting,Anders During,Sweden,"Össby, Mörbylånga Municipality, Kalmar län",56.2942,16.4995,10,"adult, male, song",//www.xeno-canto.org/573621,//www.xeno-canto.org/573621/download,XC573621-Kornsparv sång  Eketorp 200630.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573621-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573621-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573621-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573621-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:46,05:10,2020-06-30,2020-07-05,['Alauda arvensis'],HP 12dB/oct at 200 Hz .   Singing from the top of solitary low tree in agriculture area with meadows  and fields. Female nearby was watching the situation from a stone with a large grasshopper  in her beak ready to feed her chicks.,yes,no
573617,Emberiza,calandra,,Corn Bunting,Anders During,Sweden,"Össby, Mörbylånga Municipality, Kalmar län",56.2942,16.4995,10,"adult, alarm call, male",//www.xeno-canto.org/573617,//www.xeno-canto.org/573617/download,XC573617-Kornsparv kontaktläte  Eketorp 200630.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573617-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573617-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573617-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UACEXPIYOO/ffts/XC573617-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,05:10,2020-06-30,2020-07-05,['Alauda arvensis'],HP 12dB/oct at 200 Hz .    At  **0:04**   A deviant call is heard which may be a different species .,yes,no
573524,Emberiza,calandra,,Corn Bunting,Giuseppe Speranza,Italy,"Ala, Trentino, Trentino-South Tyrol",45.6868,10.9738,1400,"male, song",//www.xeno-canto.org/573524,//www.xeno-canto.org/573524/download,XC573524-200620_1483-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573524-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573524-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573524-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573524-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:49,08:45,2020-06-20,2020-07-05,[''],,yes,no
575098,Emberiza,calandra,,Corn Bunting,Michał Jezierski,Poland,"Siekówko, wolsztyński, wielkopolskie",52.0457,16.3034,60,song,//www.xeno-canto.org/575098,//www.xeno-canto.org/575098/download,XC575098-19062020_embcal_song_1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC575098-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC575098-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC575098-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC575098-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:38,17:20,2020-06-19,2020-07-12,"['Oriolus oriolus', 'Emberiza citrinella', 'Alauda arvensis', 'Corvus cornix']","**Comments**: None.

**Recording modifications**: No edits. Recorded using Olympus LS-P1.

**Habitat (inc. vegetation and level)**: Cereal fields and meadows with a passing river. Bird on the top of canopy growing on the side of the river.

**Behaviour**: Singing from the top of the canopy while perched still.

**Sex (with ID cues)**: None.

**Weather and other conditions**: Slightly windy and cloudy afternoon.

**Comments on other birds**: Golden oriole and yellowhammer singing throughout. Calls of hooded crow and song of European skylarks later in the recording.",yes,no
570654,Emberiza,calandra,,Corn Bunting,Hans Matheve,Belgium,"Hélécine, Brabant Wallon",50.7587,5.0044,60,song,//www.xeno-canto.org/570654,//www.xeno-canto.org/570654/download,"XC570654-Corn Bunting (song, BE, Neerheylissem, 20jun2020, 1).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570654-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570654-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570654-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570654-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:57,?,2020-06-20,2020-06-21,[''],,yes,no
570653,Emberiza,calandra,,Corn Bunting,Hans Matheve,Belgium,"Hélécine, Brabant Wallon",50.7587,5.0044,60,alarm call,//www.xeno-canto.org/570653,//www.xeno-canto.org/570653/download,"XC570653-Corn Bunting (alarm call, BE, Neerheylissem, 20jun2020, 1).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570653-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570653-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570653-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570653-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:24,?,2020-06-20,2020-06-21,[''],"2 types of alarm call, with a lower coarser call for e.g. at 2.5 seconds",yes,no
570652,Emberiza,calandra,,Corn Bunting,Hans Matheve,Belgium,"Hélécine, Brabant Wallon",50.7587,5.0044,60,"alarm call, song",//www.xeno-canto.org/570652,//www.xeno-canto.org/570652/download,"XC570652-Corn Bunting (alarm call+song, BE, Neerheylissem, 20jun2020, 1).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570652-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570652-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570652-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC570652-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:21,?,2020-06-20,2020-06-21,[''],,yes,no
569680,Emberiza,calandra,,Corn Bunting,Eduardo Realinho,Spain,"Hoya de Huesca/Plana de Uesca (near  Ayerbe), Huesca, Aragon",42.328,-0.6897,1000,call,//www.xeno-canto.org/569680,//www.xeno-canto.org/569680/download,XC569680-200617-005_HP10N6_Ecalandra-call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC569680-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC569680-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC569680-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC569680-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,20:30,2020-06-17,2020-06-18,['Columba palumbus'],"Possible juvenile.

High-pass 1000hz

Normalized -6db",yes,no
568429,Emberiza,calandra,,Corn Bunting,Alexander Henderson,United Kingdom,"Marshfield, South Gloucestershire, England",51.4765,-2.3184,180,"song, wing-beats",//www.xeno-canto.org/568429,//www.xeno-canto.org/568429/download,XC568429-200509_0824_Marshfield_CornBunting_mp3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC568429-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC568429-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC568429-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC568429-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:43,08:43,2020-05-09,2020-06-14,"['Alauda arvensis', 'Corvus corone']","A Corn Bunting singing from a small area of scrub in arable farmland. 

Recorded with an Olympus LS-12 and Sennheiser ME66 handheld on a glorious warm morning. Lightly edited below 1600 Hz to remove some handling noise and deep rumble.",yes,no
