id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
566009,Calidris,alpina,,Dunlin,Doug Hynes,Canada,"Churchill River Road (near  Churchill), Manitoba",58.6889,-94.1354,10,"adult, call, sex uncertain, song",//www.xeno-canto.org/566009,//www.xeno-canto.org/566009/download,XC566009-B21h42m42s07jun2010cutXC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC566009-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC566009-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC566009-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC566009-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,0:22,21:42,2010-06-07,2020-06-07,[''],Vocalizations from at least two adults on breeding grounds,yes,no
552848,Calidris,alpina,,Dunlin,Doug Hynes,Canada,"""the Fen"", near Churchill Northern Studies Centre, Manitoba",58.6624,-93.834,30,"adult, call, male, sex uncertain, song",//www.xeno-canto.org/552848,//www.xeno-canto.org/552848/download,XC552848-B08h51m01s18jun2010Rmp3R.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC552848-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC552848-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC552848-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TQCWZTAINA/ffts/XC552848-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,8:29,08:51,2010-06-18,2020-05-01,"['Branta canadensis', 'Passerculus sandwichensis', 'Numenius phaeopus']",Adult on breeding grounds,yes,yes
548645,Calidris,alpina,,Dunlin,Gaëtan Mineau,France,"Augan, Morbihan, Bretagne",47.9189,-2.2797,90,nocturnal flight call,//www.xeno-canto.org/548645,//www.xeno-canto.org/548645/download,XC548645-inconnu_nfc_20042020_01h54.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NPDCTXNQKI/ffts/XC548645-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NPDCTXNQKI/ffts/XC548645-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NPDCTXNQKI/ffts/XC548645-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NPDCTXNQKI/ffts/XC548645-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,02:00,2020-04-21,2020-04-21,[''],,unknown,unknown
500217,Calidris,alpina,,Dunlin,Jorge Leitão,Portugal,"Praia Norte, Viana do Castelo",41.697,-8.851,0,call,//www.xeno-canto.org/500217,//www.xeno-canto.org/500217/download,XC500217-2019.09.28_17.58_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500217-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500217-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500217-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500217-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,17:58,2019-09-28,2019-10-01,[''],Sea sound,yes,no
500159,Calidris,alpina,,Dunlin,Jorge Leitão,Portugal,"Praia Norte, Viana do Castelo",41.697,-8.851,0,call,//www.xeno-canto.org/500159,//www.xeno-canto.org/500159/download,XC500159-2019.09.28_17.30_02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500159-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500159-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500159-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500159-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,5:10,17:30,2019-09-28,2019-10-01,['Motacilla alba'],Sea sound. Several running around looking for food.,yes,no
500145,Calidris,alpina,,Dunlin,Jorge Leitão,Portugal,"Praia Norte, Viana do Castelo",41.697,-8.851,0,"call, song",//www.xeno-canto.org/500145,//www.xeno-canto.org/500145/download,XC500145-2019.09.29_17.27_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500145-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500145-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500145-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC500145-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:19,17:27,2019-09-28,2019-10-01,['Charadrius hiaticula'],Sea sound,yes,no
496323,Calidris,alpina,,Dunlin,Paul Ehlers,Germany,"Pinneberg (near  Elmshorn), Schleswig-Holstein",53.7476,9.67,10,nocturnal flight call,//www.xeno-canto.org/496323,//www.xeno-canto.org/496323/download,XC496323-alpenstrandläufer.04.16.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MDYOYLDBVM/ffts/XC496323-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MDYOYLDBVM/ffts/XC496323-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MDYOYLDBVM/ffts/XC496323-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MDYOYLDBVM/ffts/XC496323-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,04:16,2019-09-08,2019-09-08,[''],,no,no
487644,Calidris,alpina,,Dunlin,Stanislas Wroza,Iceland,Rif,64.9088,-23.7948,10,flight call,//www.xeno-canto.org/487644,//www.xeno-canto.org/487644/download,XC487644-2018-07-16 Rif Onverdarnes grundafjordur 180716 Becasseau variable vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487644-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487644-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487644-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487644-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,18:00,2018-07-17,2019-07-16,[''],,yes,no
487563,Calidris,alpina,,Dunlin,Stanislas Wroza,Iceland,Flatey Island,65.3741,-22.9186,0,song,//www.xeno-canto.org/487563,//www.xeno-canto.org/487563/download,XC487563-2018-07-17 Flatey 180717 Becasseau variable H chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487563-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487563-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487563-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487563-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,10:00,2018-07-17,2019-07-16,[''],,yes,no
487562,Calidris,alpina,,Dunlin,Stanislas Wroza,Iceland,Flatey Island,65.3741,-22.9186,0,flight call,//www.xeno-canto.org/487562,//www.xeno-canto.org/487562/download,XC487562-2018-07-17 Flatey 180717 Becasseau variable cri de vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487562-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487562-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487562-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC487562-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,10:00,2018-07-17,2019-07-16,[''],,yes,no
