id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576029,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Noguera (near  Artesa de Segre), Lleida, Catalunya",41.9075,1.069,320,song,//www.xeno-canto.org/576029,//www.xeno-canto.org/576029/download,XC576029-a 14 10.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576029-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576029-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576029-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576029-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,13:30,2020-07-14,2020-07-15,[''],,no,no
576028,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Noguera (near  Artesa de Segre), Lleida, Catalunya",41.9075,1.069,320,song,//www.xeno-canto.org/576028,//www.xeno-canto.org/576028/download,XC576028-a 14 9.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576028-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576028-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576028-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576028-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,13:30,2020-07-14,2020-07-15,[''],,no,no
576025,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Pallars Jussà (near  Senterada), Lleida, Catalunya",42.3259,0.933,800,song,//www.xeno-canto.org/576025,//www.xeno-canto.org/576025/download,XC576025-a 14 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576025-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576025-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576025-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576025-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,12:30,2020-07-14,2020-07-15,[''],,no,no
576023,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran (near  Mont), Lleida, Cataluña",42.728,0.7934,1200,alarm call,//www.xeno-canto.org/576023,//www.xeno-canto.org/576023/download,XC576023-a 14 5.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576023-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576023-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576023-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576023-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,12:30,2020-07-14,2020-07-15,[''],,no,no
576022,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran (near  Mont), Lleida, Cataluña",42.728,0.7934,1200,alarm call,//www.xeno-canto.org/576022,//www.xeno-canto.org/576022/download,XC576022-a 14 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576022-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576022-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576022-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576022-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,12:30,2020-07-14,2020-07-15,[''],,no,no
576021,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran (near  Mont), Lleida, Cataluña",42.728,0.7934,1200,alarm call,//www.xeno-canto.org/576021,//www.xeno-canto.org/576021/download,XC576021-a 14 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576021-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576021-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576021-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576021-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,12:30,2020-07-14,2020-07-15,[''],,no,no
576017,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.713,0.7919,1100,song,//www.xeno-canto.org/576017,//www.xeno-canto.org/576017/download,XC576017-x 13 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576017-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576017-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576017-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576017-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,12:30,2020-07-13,2020-07-15,[''],,yes,no
576016,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.713,0.7919,1100,song,//www.xeno-canto.org/576016,//www.xeno-canto.org/576016/download,XC576016-x 13 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576016-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576016-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576016-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576016-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,12:30,2020-07-13,2020-07-15,[''],,yes,no
576015,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.713,0.7919,1100,song,//www.xeno-canto.org/576015,//www.xeno-canto.org/576015/download,XC576015-x 13 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576015-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576015-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576015-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576015-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,12:30,2020-07-13,2020-07-15,[''],,yes,no
576014,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.713,0.7919,1100,song,//www.xeno-canto.org/576014,//www.xeno-canto.org/576014/download,XC576014-x 13 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576014-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576014-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576014-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576014-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,12:30,2020-07-13,2020-07-15,[''],,yes,no
575842,Sylvia,atricapilla,,Eurasian Blackcap,Sidney M,Spain,"Alta Ribagorça (near  El Pont de Suert), Lérida, Cataluña",42.3785,0.7941,1100,song,//www.xeno-canto.org/575842,//www.xeno-canto.org/575842/download,XC575842-m 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575842-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575842-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575842-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575842-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,11:30,2020-07-12,2020-07-14,[''],,no,no
