id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574929,Cyanistes,caeruleus,,Eurasian Blue Tit,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,song,//www.xeno-canto.org/574929,//www.xeno-canto.org/574929/download,XC574929-blue tit 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574929-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574929-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574929-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574929-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,09:00,2020-06-13,2020-07-11,[''],,unknown,unknown
574928,Cyanistes,caeruleus,,Eurasian Blue Tit,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,song,//www.xeno-canto.org/574928,//www.xeno-canto.org/574928/download,XC574928-blue tit.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574928-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574928-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574928-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574928-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,09:00,2020-06-13,2020-07-11,[''],,unknown,unknown
570150,Cyanistes,caeruleus,,Eurasian Blue Tit,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,flight call,//www.xeno-canto.org/570150,//www.xeno-canto.org/570150/download,XC570150-Mesange bleue cris de vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570150-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570150-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570150-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570150-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,05:00,2020-06-20,2020-06-20,[''],,yes,no
570147,Cyanistes,caeruleus,,Eurasian Blue Tit,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,"adult, family in flight, flight call, juvenile",//www.xeno-canto.org/570147,//www.xeno-canto.org/570147/download,XC570147-Mesange bleue cris de vol fins famille.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570147-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570147-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570147-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570147-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:07,05:00,2020-06-20,2020-06-20,[''],,yes,no
569514,Cyanistes,caeruleus,,Eurasian Blue Tit,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, call, male, song, territorial",//www.xeno-canto.org/569514,//www.xeno-canto.org/569514/download,XC569514-Cyanistes caeruleus_2020.06.17_09.07_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569514-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569514-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569514-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569514-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:30,09:07,2020-06-17,2020-06-17,['Apus apus'],,yes,no
569509,Cyanistes,caeruleus,,Eurasian Blue Tit,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, call, male, territorial",//www.xeno-canto.org/569509,//www.xeno-canto.org/569509/download,XC569509-Cyanistes caeruleus_2020.06.15_11.37_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569509-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569509-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569509-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569509-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:53,11:37,2020-06-15,2020-06-17,[''],,yes,no
568874,Cyanistes,caeruleus,,Eurasian Blue Tit,Stein Ø. Nilsen,Norway,Straumsbukta SNI,69.578,18.64,10,call,//www.xeno-canto.org/568874,//www.xeno-canto.org/568874/download,XC568874-SNI-303_01-13062020-BLÅMEIS-CALL-STRBKT.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568874-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568874-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568874-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/ffts/XC568874-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:26,05:00,2020-06-13,2020-06-16,[''],"SD MixPre3 II and Telinga MK2 Stereo mic in parabola, 32 bit floatfile wav to mp3.",unknown,unknown
567084,Cyanistes,caeruleus,,Eurasian Blue Tit,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7383,-3.744,950,song,//www.xeno-canto.org/567084,//www.xeno-canto.org/567084/download,XC567084-25 may. 8.47herrerillo c.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567084-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567084-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567084-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567084-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:35,8:47,2020-05-25,2020-06-10,[''],"Grabado en bosque claro de Quejigos, Robles y sotobosque de buena densidad. Escaramujos, Majuelos. Grabación amplificada",no,no
567083,Cyanistes,caeruleus,,Eurasian Blue Tit,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7383,-3.744,950,song,//www.xeno-canto.org/567083,//www.xeno-canto.org/567083/download,XC567083-25 may. 8.32 herrerillo.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567083-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567083-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567083-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC567083-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:35,8:32,2020-05-25,2020-06-10,[''],"Grabado en bosque claro de Quejigos, Robles y sotobosque de buena densidad. Escaramujos, Majuelos. Grabación amplificada",no,no
565467,Cyanistes,caeruleus,,Eurasian Blue Tit,Frans Salomonsson,Sweden,"Lund Municipality, Skåne län",55.7001,13.4637,20,"adult, male, song",//www.xeno-canto.org/565467,//www.xeno-canto.org/565467/download,XC565467-238767721.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FVJBBCFRDC/ffts/XC565467-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FVJBBCFRDC/ffts/XC565467-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FVJBBCFRDC/ffts/XC565467-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FVJBBCFRDC/ffts/XC565467-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,08:30,2020-05-26,2020-06-05,[''],,yes,no
