id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
567365,Streptopelia,decaocto,,Eurasian Collared Dove,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,"call, subsong",//www.xeno-canto.org/567365,//www.xeno-canto.org/567365/download,XC567365-tortora 11 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567365-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567365-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567365-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567365-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,11:30,2020-06-11,2020-06-11,[''],,unknown,unknown
563485,Streptopelia,decaocto,,Eurasian Collared Dove,Jordi Calvet,Spain,"Esparreguera, Baix Llobregat, Catalunya",41.5564,1.8551,240,song,//www.xeno-canto.org/563485,//www.xeno-canto.org/563485/download,XC563485-STRDEC010520-T001 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC563485-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC563485-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC563485-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC563485-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:12,11:00,2020-05-01,2020-05-30,[''],"Perched on a TV antenna. Urban area, noisy background.",yes,no
561006,Streptopelia,decaocto,,Eurasian Collared Dove,lchunfai,China,Hong Kong,22.2561,114.1857,200,song,//www.xeno-canto.org/561006,//www.xeno-canto.org/561006/download,XC561006-Eurasian Collared Dove 20200523 .mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MGXWEVNPST/ffts/XC561006-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MGXWEVNPST/ffts/XC561006-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MGXWEVNPST/ffts/XC561006-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MGXWEVNPST/ffts/XC561006-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,09:00,2020-05-23,2020-05-23,[''],,yes,no
553218,Streptopelia,decaocto,,Eurasian Collared Dove,Stanislas Wroza,France,"Davron, Yvelines, Île-de-France",48.8659,1.9428,110,flight call,//www.xeno-canto.org/553218,//www.xeno-canto.org/553218/download,XC553218-Tourterelle turque cri atterissage.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553218-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553218-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553218-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553218-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,08:00,2020-05-02,2020-05-02,[''],,yes,no
542896,Streptopelia,decaocto,,Eurasian Collared Dove,Pierre Foulquier,France,"Montpellier, Hérault, Languedoc-Roussillon",43.6108,3.8767,50,flight call,//www.xeno-canto.org/542896,//www.xeno-canto.org/542896/download,XC542896-tourterelle_turque.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC542896-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC542896-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC542896-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC542896-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:09,08:00,2020-04-07,2020-04-07,[''],,no,no
571438,Streptopelia,decaocto,,Eurasian Collared Dove,Ireneusz Oleksik,Poland,"Tychy Hetmańska (near  Tychy), Tychy, śląskie",50.1191,18.9721,260,song,//www.xeno-canto.org/571438,//www.xeno-canto.org/571438/download,XC571438-sierpówka dom 25.06.2020  4.49.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC571438-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC571438-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC571438-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC571438-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,04:49,2020-06-25,2020-06-25,"['Passer domesticus', 'Chroicocephalus ridibundus']","Urban area,  high pass filter 300 Hz 48 dB, ZOOM H1n.",no,no
570602,Streptopelia,decaocto,,Eurasian Collared Dove,Isain Contreras Rodríguez,Mexico,"Privanzas Los Mochis Ahome, Sinaloa",25.7324,-109.0271,10,"adult, song",//www.xeno-canto.org/570602,//www.xeno-canto.org/570602/download,XC570602-200621_0231 ECDO song Privanzas sin.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC570602-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC570602-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC570602-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC570602-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,07:00,2020-06-21,2020-06-21,[''],"Mic parabólico MA1Len 13"" en Tascam DR-40X",yes,no
568490,Streptopelia,decaocto,,Eurasian Collared Dove,Olivier SWIFT,France,"Marais-Vernier, Eure, Normandie",49.4187,0.4568,0,song,//www.xeno-canto.org/568490,//www.xeno-canto.org/568490/download,XC568490-STRDEC_200609_5941_MaraisVernier27.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC568490-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC568490-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC568490-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC568490-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,19:09,2020-06-09,2020-06-14,[''],Tascam DR05 and Dodotronic AOL parabole,no,no
568198,Streptopelia,decaocto,,Eurasian Collared Dove,Ireneusz Oleksik,Poland,"Tychy Hetmańska (near  Tychy), Tychy, śląskie",50.1191,18.9721,260,flight call,//www.xeno-canto.org/568198,//www.xeno-canto.org/568198/download,XC568198-sierpówka dom 14.06.2020  4.54.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC568198-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC568198-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC568198-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC568198-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,04:54,2020-06-14,2020-06-14,[''],"Urban area,  high pass filter 300 Hz 48 dB, ZOOM H1n.",no,no
564836,Streptopelia,decaocto,,Eurasian Collared Dove,Stanislas Wroza,France,"Le Chesnay, Yvelines, Île-de-France",48.8244,2.13,130,"aberrant, nasal song, song",//www.xeno-canto.org/564836,//www.xeno-canto.org/564836/download,XC564836-Tourterelle turque chant atypique joyeux +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC564836-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC564836-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC564836-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC564836-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:05,07:00,2020-06-01,2020-06-03,[''],,no,no
