id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
568771,Fulica,atra,,Eurasian Coot,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,call,//www.xeno-canto.org/568771,//www.xeno-canto.org/568771/download,XC568771-fotja vulgar ch.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568771-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568771-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568771-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568771-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,10:30,2020-06-15,2020-06-15,[''],chick on the ground,yes,no
568764,Fulica,atra,,Eurasian Coot,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,call,//www.xeno-canto.org/568764,//www.xeno-canto.org/568764/download,XC568764-coot 15 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568764-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568764-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568764-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568764-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,10:30,2020-06-15,2020-06-15,[''],chick on the ground,yes,no
578542,Fulica,atra,,Eurasian Coot,Harry Hussey,Ireland,"Cork Lough, Cork City, County Cork",51.8864,-8.4859,20,"begging call, juvenile, sex uncertain",//www.xeno-canto.org/578542,//www.xeno-canto.org/578542/download,XC578542-calls of a juvenile Eurasian Coot Cork Lough 14th July 2020_HH_1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FPZJLPQQAV/ffts/XC578542-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FPZJLPQQAV/ffts/XC578542-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FPZJLPQQAV/ffts/XC578542-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FPZJLPQQAV/ffts/XC578542-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:56,15:54,2020-07-14,2020-07-23,"['Gallinula chloropus', 'Coloeus monedula', 'Anser anser']","Some begging calls from well-grown juvenile Eurasian Coot associating with their parents. Some background noise from traffic and people, but the birds were very close and loud so the recording is still fairly good. Notch filter applied below 500Hz, also noise reduction applied.",yes,no
576283,Fulica,atra,,Eurasian Coot,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,call,//www.xeno-canto.org/576283,//www.xeno-canto.org/576283/download,"XC576283-Focha común call, 19_30.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576283-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576283-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576283-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC576283-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,19:30,2020-07-09,2020-07-16,[''],Grabado en la orilla de una laguna con vegetación palustre y arbolado de ribera (Tamarix y Populus alba),no,no
575448,Fulica,atra,,Eurasian Coot,Will Scott,United Kingdom,"Great Britain (near  Hunmanby), North Yorkshire, England",54.1818,-0.3203,60,"flight call, nocturnal flight call",//www.xeno-canto.org/575448,//www.xeno-canto.org/575448/download,XC575448-Coot.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC575448-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC575448-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC575448-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QGXKACSKJD/ffts/XC575448-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,23:30,2020-07-12,2020-07-13,[''],,no,no
574905,Fulica,atra,,Eurasian Coot,Alain Malengreau,Belgium,"Hensies, Hainaut, Wallonie",50.4639,3.6824,20,"adult, alarm call, begging call, juvenile",//www.xeno-canto.org/574905,//www.xeno-canto.org/574905/download,XC574905-Foulque macroule 200524_1600_0CA_Marais d'Harchies_Digue d'Harchies_Mixpre 513.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574905-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574905-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574905-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574905-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,16:00,2020-05-24,2020-07-11,[''],Adult with 2 juvenile. Not filtered. Telinga + Mixpre 3,yes,no
573941,Fulica,atra,,Eurasian Coot,Arjun Dutta,United Kingdom,"Great Britain (near  Wallington), Greater London, England",51.3532,-0.1461,80,"call, nocturnal flight call",//www.xeno-canto.org/573941,//www.xeno-canto.org/573941/download,XC573941-Coot1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC573941-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC573941-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC573941-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC573941-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:24,03:42,2020-05-16,2020-07-06,[''],"Recorded using Tascam DR-05x recorder and Depusheng shotgun mic. From south London, suburban garden.",no,no
573005,Fulica,atra,,Eurasian Coot,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Unusual, call",//www.xeno-canto.org/573005,//www.xeno-canto.org/573005/download,"XC573005-Focha común unusual call (y carricerín real) +++, 10_42.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573005-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573005-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573005-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573005-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,10:42,2020-06-30,2020-07-02,[''],Laguna con vegetación palustre y Tamarix.,no,no
573004,Fulica,atra,,Eurasian Coot,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,"Unusual, call",//www.xeno-canto.org/573004,//www.xeno-canto.org/573004/download,"XC573004-Focha común call raro (y aguilucho lag), 10_31.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573004-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573004-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573004-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573004-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,10:31,2020-06-30,2020-07-02,[''],Laguna con vegetación palustre y Tamarix.,no,no
573003,Fulica,atra,,Eurasian Coot,jesus carrion,Spain,"Marjal dels Moros (Sagunt), Valencia, Comunidad Valenciana",39.6216,-0.2614,0,call,//www.xeno-canto.org/573003,//www.xeno-canto.org/573003/download,"XC573003-Focha común call ++, 12_07.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573003-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573003-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573003-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYTNBFPPSB/ffts/XC573003-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,12:07,2020-06-30,2020-07-02,[''],Laguna con vegetación palustre y Tamarix.,no,no
