id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575829,Oriolus,oriolus,,Eurasian Golden Oriole,Sergio Mazzotti,Italy,"Romano di Lombardia, Provincia di Bergamo, Lombardia",45.5075,9.7243,110,call,//www.xeno-canto.org/575829,//www.xeno-canto.org/575829/download,"XC575829-rigogolo 00,23 14-07-2020 sergio .mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/LHKLVTXBWH/ffts/XC575829-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHKLVTXBWH/ffts/XC575829-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHKLVTXBWH/ffts/XC575829-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHKLVTXBWH/ffts/XC575829-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:23,11:00,0000-00-00,2020-07-14,[''],,yes,no
573219,Oriolus,oriolus,,Eurasian Golden Oriole,Eva Georgii-Hemming,Sweden,"Södra lundspetsen, öster om vägen, Ottenby",56.2128,16.4081,10,"adult, male, song",//www.xeno-canto.org/573219,//www.xeno-canto.org/573219/download,XC573219-Sommargylling-S-Lunden-land.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ABMDCGKEZD/ffts/XC573219-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ABMDCGKEZD/ffts/XC573219-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ABMDCGKEZD/ffts/XC573219-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ABMDCGKEZD/ffts/XC573219-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:27,12:25,2020-07-03,2020-07-03,[''],,no,no
571937,Oriolus,oriolus,,Eurasian Golden Oriole,Bodo Sonnenburg,Germany,"Oder-Spree (near  Storkow (Mark)), Brandenburg",52.2546,13.8974,40,"adult, call, male",//www.xeno-canto.org/571937,//www.xeno-canto.org/571937/download,XC571937-pirol0622.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571937-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571937-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571937-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571937-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:55,06:22,2020-06-27,2020-06-27,"['Fringilla coelebs', 'Troglodytes troglodytes', 'Columba palumbus']",,yes,no
567973,Oriolus,oriolus,,Eurasian Golden Oriole,Frank Roos,Netherlands,"Culemborg, Culemborg, Gelderland",51.9333,5.1725,20,"call, song",//www.xeno-canto.org/567973,//www.xeno-canto.org/567973/download,XC567973-wielewaal_aud_culemborg3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC567973-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC567973-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC567973-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC567973-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,10:02,2020-06-03,2020-06-13,[''],"Calls @3sec, @6sec, @7sec and @15sec",no,no
566187,Oriolus,oriolus,,Eurasian Golden Oriole,Peter Berglin,Sweden,"Visingsö Svensgården, Jönköping Municipality, Jönköpings län",58.0407,14.3249,110,"life stage uncertain, male, song",//www.xeno-canto.org/566187,//www.xeno-canto.org/566187/download,XC566187-Sommargylling öa 200607.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BFXTRICUWE/ffts/XC566187-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BFXTRICUWE/ffts/XC566187-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BFXTRICUWE/ffts/XC566187-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BFXTRICUWE/ffts/XC566187-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,14:30,2020-06-07,2020-06-08,[''],Not modefied at all,no,no
566082,Oriolus,oriolus,,Eurasian Golden Oriole,Loan Delpit,France,"Lauzun, Lot-et-Garonne, Nouvelle-Aquitaine",44.6389,0.4792,90,song,//www.xeno-canto.org/566082,//www.xeno-canto.org/566082/download,XC566082-200607_Loriot_MP3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JPLTLJAGDJ/ffts/XC566082-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JPLTLJAGDJ/ffts/XC566082-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JPLTLJAGDJ/ffts/XC566082-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JPLTLJAGDJ/ffts/XC566082-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,16:30,2020-06-07,2020-06-07,[''],,unknown,unknown
566051,Oriolus,oriolus,,Eurasian Golden Oriole,Igor Uřinovský,Czech Republic,"Tovačov, Přerov, Olomoucký kraj",49.4435,17.2911,200,song,//www.xeno-canto.org/566051,//www.xeno-canto.org/566051/download,XC566051-luva hajní 1 MP3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC566051-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC566051-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC566051-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC566051-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:55,09:00,2020-06-07,2020-06-07,[''],,yes,no
565722,Oriolus,oriolus,,Eurasian Golden Oriole,Hans Norelius,Sweden,"Tullgarn, Södertälje Municipality, Stockholms län",58.9565,17.5806,10,call,//www.xeno-canto.org/565722,//www.xeno-canto.org/565722/download,XC565722-SommargyllingL_Tullgarn_Juni2020_200606-104522.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565722-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565722-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565722-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565722-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:36,10:30,2020-06-06,2020-06-06,[''],,no,no
565721,Oriolus,oriolus,,Eurasian Golden Oriole,Hans Norelius,Sweden,"Tullgarn, Södertälje Municipality, Stockholms län",58.9565,17.5806,10,song,//www.xeno-canto.org/565721,//www.xeno-canto.org/565721/download,XC565721-SommargyllingS_Tullgarn_Maj2020_200606-103854.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565721-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565721-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565721-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC565721-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:28,10:30,2020-06-06,2020-06-06,[''],,no,no
563152,Oriolus,oriolus,,Eurasian Golden Oriole,Frank Roos,Netherlands,"Culemborg, Culemborg, Gelderland",51.9341,5.1698,10,"male, song",//www.xeno-canto.org/563152,//www.xeno-canto.org/563152/download,XC563152-wielewaal_aud_culemborg2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC563152-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC563152-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC563152-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LQCZCYNEGU/ffts/XC563152-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:40,11:19,2020-05-29,2020-05-29,[''],,no,no
