id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576091,Haematopus,ostralegus,,Eurasian Oystercatcher,Lars Burnus,Germany,"Neu Wulmstorf (Harburg, Niedersachsen)",53.4697,9.7893,10,"flight call, nocturnal flight call",//www.xeno-canto.org/576091,//www.xeno-canto.org/576091/download,XC576091-Austernfischer_NFC_NW_14.07.2020_23.51.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC576091-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC576091-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC576091-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC576091-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:00,23:51,2020-07-14,2020-07-15,[''],atleast one local bird flying circles above the garden,no,no
575597,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,call,//www.xeno-canto.org/575597,//www.xeno-canto.org/575597/download,XC575597-2020.07.13_12.50_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575597-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575597-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575597-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575597-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,12:50,2020-07-13,2020-07-14,[''],,yes,no
575595,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,flight call,//www.xeno-canto.org/575595,//www.xeno-canto.org/575595/download,XC575595-2020.07.13_12.39_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575595-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575595-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575595-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575595-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,12:39,2020-07-13,2020-07-14,[''],,yes,no
575482,Haematopus,ostralegus,,Eurasian Oystercatcher,Robbin van Dijk,Netherlands,"Goeree-Overflakkee (near  Ooltgensplaat), Goeree-Overflakkee, Zuid-Holland",51.6825,4.3454,0,"juvenile, nocturnal flight call",//www.xeno-canto.org/575482,//www.xeno-canto.org/575482/download,XC575482-spec_ruisod_2020_06_24.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC575482-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC575482-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC575482-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC575482-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:28,02:55,2020-06-24,2020-07-13,[''],,no,no
574985,Haematopus,ostralegus,,Eurasian Oystercatcher,Robbin van Dijk,Netherlands,"Goeree-Overflakkee (near  Ooltgensplaat), Goeree-Overflakkee, Zuid-Holland",51.6825,4.3454,0,nocturnal flight call,//www.xeno-canto.org/574985,//www.xeno-canto.org/574985/download,XC574985-haematopus_ostralegus_2020_07_11.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC574985-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC574985-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC574985-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RBMTWLLERZ/ffts/XC574985-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:35,02:43,2020-07-11,2020-07-11,[''],,no,no
574597,Haematopus,ostralegus,,Eurasian Oystercatcher,Tom Gheskiere,Belgium,"Lokeren, Oost-Vlaanderen, Vlaanderen",51.0919,4.0071,10,"call, nocturnal flight call",//www.xeno-canto.org/574597,//www.xeno-canto.org/574597/download,XC574597-200704_0231_scholekster.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OYXNIDJEQU/ffts/XC574597-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OYXNIDJEQU/ffts/XC574597-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OYXNIDJEQU/ffts/XC574597-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OYXNIDJEQU/ffts/XC574597-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,04:00,2020-07-03,2020-07-09,[''],,unknown,unknown
571252,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"alarm call, flight call",//www.xeno-canto.org/571252,//www.xeno-canto.org/571252/download,XC571252-Haematopus ostralegus_2020.06.23_10.05_01 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571252-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571252-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571252-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571252-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,10:05,2020-06-23,2020-06-24,[''],,yes,no
571249,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,flight call,//www.xeno-canto.org/571249,//www.xeno-canto.org/571249/download,XC571249-Haematopus ostralegus_2020.06.23_09.42_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571249-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571249-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571249-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571249-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:21,09:42,2020-06-23,2020-06-24,[''],Traffic noise,yes,no
570875,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, flight call, sex uncertain",//www.xeno-canto.org/570875,//www.xeno-canto.org/570875/download,XC570875-Haematopus ostralegus_2020.06.20_12.08_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570875-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570875-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570875-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570875-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:37,12:08,2020-06-20,2020-06-23,[''],,yes,no
570874,Haematopus,ostralegus,,Eurasian Oystercatcher,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"flight call, sex uncertain",//www.xeno-canto.org/570874,//www.xeno-canto.org/570874/download,XC570874-Haematopus ostralegus_2020.06.20_11.09_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570874-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570874-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570874-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570874-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,11:09,2020-06-20,2020-06-23,[''],,yes,no
