id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576188,Alauda,arvensis,,Eurasian Skylark,Juha Saari,Finland,"Helsinki, Helsinki, Uusimaa",60.2357,25.0058,40,nocturnal flight call,//www.xeno-canto.org/576188,//www.xeno-canto.org/576188/download,XC576188-alaarv_202007_14_15_yom_0042.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC576188-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC576188-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC576188-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC576188-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,00:42,2020-07-15,2020-07-15,[''],,no,no
568881,Alauda,arvensis,,Eurasian Skylark,Jarek Matusiak,Poland,Półwysep Helski,54.7032,18.6657,0,"adult, call, flight call, male",//www.xeno-canto.org/568881,//www.xeno-canto.org/568881/download,XC568881-JAREK-MATUSIAK-594 skowronek.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568881-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568881-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568881-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568881-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,18:00,2020-06-12,2020-06-16,[''],,unknown,unknown
557984,Alauda,arvensis,,Eurasian Skylark,Arend Wassink,Netherlands,"De Kaai, Oosterend, Texel, Noord-Holland",53.0963,4.8758,0,"male, song",//www.xeno-canto.org/557984,//www.xeno-canto.org/557984/download,XC557984-Alauda arvensis de Kaai Texel Nederland 9 mei 2020 5.32 uur (Arend Wassink).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JFWYCBDTFP/ffts/XC557984-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JFWYCBDTFP/ffts/XC557984-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JFWYCBDTFP/ffts/XC557984-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JFWYCBDTFP/ffts/XC557984-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:58,05:30,2020-05-10,2020-05-13,[''],Song of multiple birds,yes,no
557005,Alauda,arvensis,,Eurasian Skylark,brickegickel,Germany,"Wetteraukreis (near  Reichelsheim (Wetterau)), Darmstadt, Hessen",50.3692,8.8754,120,song,//www.xeno-canto.org/557005,//www.xeno-canto.org/557005/download,XC557005-200510_0804Feldlerche.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC557005-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC557005-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC557005-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC557005-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,17:30,2020-05-10,2020-05-10,[''],,no,no
555189,Alauda,arvensis,,Eurasian Skylark,Guillaume Bigayon,France,"Coole, Marne, Grand Est",48.7368,4.3951,160,"adult, male, song",//www.xeno-canto.org/555189,//www.xeno-canto.org/555189/download,XC555189-Alouette_des_champs190423_0049.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HCKTRQCLWR/ffts/XC555189-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HCKTRQCLWR/ffts/XC555189-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HCKTRQCLWR/ffts/XC555189-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HCKTRQCLWR/ffts/XC555189-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,09:30,2019-04-23,2020-05-08,[''],,yes,unknown
554924,Alauda,arvensis,,Eurasian Skylark,Eetu Paljakka,Finland,"Kivikko, Helsinki, Uusimaa",60.2374,25.0561,20,song,//www.xeno-canto.org/554924,//www.xeno-canto.org/554924/download,XC554924-Default Project.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC554924-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC554924-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC554924-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC554924-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:02,10:45,2020-05-06,2020-05-07,['Pica pica'],,yes,no
553856,Alauda,arvensis,,Eurasian Skylark,Vincent Palomares,France,"Saint-Rambert-d'Albon, Drôme, Auvergne-Rhône-Alpes",45.2867,4.8289,160,song,//www.xeno-canto.org/553856,//www.xeno-canto.org/553856/download,XC553856-Alouette_des_champs_cht_2.5.20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553856-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553856-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553856-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QCUQWNSLQE/ffts/XC553856-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,09:00,2020-05-02,2020-05-03,[''],,yes,no
553573,Alauda,arvensis,,Eurasian Skylark,Peter Stronach,United Kingdom,"Sgeith Chùrr, Highland, Scotland",57.2821,-3.6965,200,"adult, male, song",//www.xeno-canto.org/553573,//www.xeno-canto.org/553573/download,XC553573-200503_0153.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC553573-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC553573-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC553573-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC553573-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:41,11:14,2020-05-03,2020-05-03,[''],Male singing above grass field,yes,no
552818,Alauda,arvensis,,Eurasian Skylark,Ruud van Beusekom,Netherlands,Eempolder,52.26,5.297,0,"adult, male, song",//www.xeno-canto.org/552818,//www.xeno-canto.org/552818/download,XC552818-09760.100317.veldleeuwerikzangvluchtEemnes3XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552818-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552818-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552818-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552818-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:48,?,2010-03-17,2020-05-01,[''],,yes,no
552816,Alauda,arvensis,,Eurasian Skylark,Ruud van Beusekom,Netherlands,Eempolder,52.26,5.297,0,"adult, male, song",//www.xeno-canto.org/552816,//www.xeno-canto.org/552816/download,XC552816-09760.100317.veldleeuwerikzangvluchtEemnes2XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552816-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552816-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552816-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PKWMZIRVUO/ffts/XC552816-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:48,?,2010-03-17,2020-05-01,[''],,yes,no
