id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575737,Passer,montanus,,Eurasian Tree Sparrow,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,"flight call, two types of calls in flight",//www.xeno-canto.org/575737,//www.xeno-canto.org/575737/download,XC575737-Moineau friquet deux types de cris en vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575737-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575737-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575737-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575737-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,08:30,2020-07-09,2020-07-14,[''],,yes,no
575735,Passer,montanus,,Eurasian Tree Sparrow,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,"flight call, soft flight call",//www.xeno-canto.org/575735,//www.xeno-canto.org/575735/download,XC575735-Moineau friquet cri dux en vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575735-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575735-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575735-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575735-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,08:30,2020-07-09,2020-07-14,[''],,yes,no
575734,Passer,montanus,,Eurasian Tree Sparrow,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,flight call,//www.xeno-canto.org/575734,//www.xeno-canto.org/575734/download,XC575734-Moineau friquet cri de vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575734-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575734-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575734-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575734-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,08:30,2020-07-09,2020-07-14,[''],,yes,no
575423,Passer,montanus,,Eurasian Tree Sparrow,Stanislas Wroza,Estonia,"Tartu, Tartu City, Tartu maakond",58.3803,26.7121,70,flight call,//www.xeno-canto.org/575423,//www.xeno-canto.org/575423/download,XC575423-Moineau friquet vol.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575423-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575423-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575423-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575423-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,11:00,2020-07-06,2020-07-13,[''],,yes,no
573622,Passer,montanus,,Eurasian Tree Sparrow,Jordi Calvet,Spain,"Alfés, el Segrià, Catalunya",41.5218,0.6182,220,"alarm call, call, song",//www.xeno-canto.org/573622,//www.xeno-canto.org/573622/download,XC573622-PASMON010720-T015 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573622-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573622-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573622-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573622-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:26,09:00,2020-07-01,2020-07-05,['Ardea cinerea'],Small group. Ardea cinerea in flight (2:06),yes,no
567666,Passer,montanus,,Eurasian Tree Sparrow,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3337,13.6498,40,"adult, call, female, male, song",//www.xeno-canto.org/567666,//www.xeno-canto.org/567666/download,XC567666-DM673648_Fe-Kopula-cut_rau0.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567666-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567666-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567666-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567666-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:47,18:42,2020-06-09,2020-06-12,[''],copulation on nesting box,yes,unknown
567663,Passer,montanus,,Eurasian Tree Sparrow,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3337,13.6498,40,"adult, call, female, male, song",//www.xeno-canto.org/567663,//www.xeno-canto.org/567663/download,XC567663-DM673650_Fe-Paar_cut-Balz-wings.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567663-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567663-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567663-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567663-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:18,18:50,2020-06-09,2020-06-12,[''],"1 pair on their nesting box, courtship, wing noise",unknown,unknown
567662,Passer,montanus,,Eurasian Tree Sparrow,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3337,13.6498,40,"adult, call, male, song",//www.xeno-canto.org/567662,//www.xeno-canto.org/567662/download,XC567662-DM673651_Fe_cut-werbend-wings.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567662-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567662-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567662-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567662-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:26,18:54,2020-06-09,2020-06-12,[''],"courtship on a nesting box (femaile inside), also wing noise",unknown,unknown
567661,Passer,montanus,,Eurasian Tree Sparrow,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3337,13.6498,40,"adult, call, male, song",//www.xeno-canto.org/567661,//www.xeno-canto.org/567661/download,XC567661-DM673655_Fe-ohne-mich_cut2_rau0.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567661-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567661-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567661-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC567661-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:47,19:07,2020-06-09,2020-06-12,[''],1 male on the nesting box (female inside),unknown,unknown
562676,Passer,montanus,,Eurasian Tree Sparrow,Jorge Leitão,Portugal,"Parque do Bom Jesus (near  Braga), Braga, Braga",41.5547,-8.3771,400,call,//www.xeno-canto.org/562676,//www.xeno-canto.org/562676/download,XC562676-2020.05.26_10.44_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562676-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562676-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562676-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562676-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:36,10:44,2020-05-26,2020-05-27,[''],,yes,no
