id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575879,Certhia,familiaris,,Eurasian Treecreeper,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575879,//www.xeno-canto.org/575879/download,XC575879-mi 12 5.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575879-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575879-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575879-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575879-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,15:00,2020-07-12,2020-07-14,[''],,yes,no
575878,Certhia,familiaris,,Eurasian Treecreeper,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575878,//www.xeno-canto.org/575878/download,XC575878-raspinell p 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575878-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575878-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575878-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575878-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:25,15:00,2020-07-12,2020-07-14,[''],,yes,no
575877,Certhia,familiaris,,Eurasian Treecreeper,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575877,//www.xeno-canto.org/575877/download,XC575877-mi 12 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575877-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575877-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575877-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575877-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,15:00,2020-07-12,2020-07-14,[''],,yes,no
575844,Certhia,familiaris,,Eurasian Treecreeper,Sidney M,Spain,"Alta Ribagorça (near  Vilaller), Lleida, Catalunya",42.6095,0.7718,1600,song,//www.xeno-canto.org/575844,//www.xeno-canto.org/575844/download,XC575844-m 12 5.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575844-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575844-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575844-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575844-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,12:30,2020-07-12,2020-07-14,[''],,no,no
578400,Certhia,familiaris,,Eurasian Treecreeper,Michał Jezierski,Poland,"Piechowice, jeleniogórski, Dolnośląskie",50.8145,15.5573,650,call,//www.xeno-canto.org/578400,//www.xeno-canto.org/578400/download,XC578400-03072020_cerfam_song_1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC578400-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC578400-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC578400-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC578400-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,11:22,2020-07-03,2020-07-23,['Erithacus rubecula'],"**Comments**: None.

**Recording modifications**: No edits. Recorded using Olympus LS-P1.

**Habitat (inc. vegetation and level)**: Coniferous forest on the slopes of the Karkonosze Chain. Bird singing from the top of a spruce.

**Behaviour**: N/A.

**Sex (with ID cues)**: N/A.

**Weather and other conditions**: Rainy morning.

**Comments on other birds**: European robin singing in the recording.",no,no
575475,Certhia,familiaris,britannica,Eurasian Treecreeper,Paul Holt,United Kingdom,"RSPB Leighton Moss,  Silverdale, Lancashire, England",54.1693,-2.7954,10,call,//www.xeno-canto.org/575475,//www.xeno-canto.org/575475/download,"XC575475---Treecreeper, Eurasian (A33877).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC575475-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC575475-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC575475-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC575475-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:07,06:00,2020-07-12,2020-07-13,[''],Two birds present & calling to each other. Only one recorded here.,yes,no
574757,Certhia,familiaris,,Eurasian Treecreeper,Lorenzo Maffezzoli,Italy,"Introd, Valle d'Aosta, Valle d'Aosta",45.6626,7.1676,1400,"adult, alarm call, female, male",//www.xeno-canto.org/574757,//www.xeno-canto.org/574757/download,XC574757-ZOOM0002.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC574757-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC574757-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC574757-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UXBZTSPEJE/ffts/XC574757-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:15,19:30,2020-07-09,2020-07-10,['Fringilla coelebs'],Adults's alarm call near the nest.,yes,no
574285,Certhia,familiaris,,Eurasian Treecreeper,Luca Forneris,Italy,"Verrayes (near  Lauzon), Valle d'Aosta, Valle d'Aosta",45.7779,7.5478,1500,call,//www.xeno-canto.org/574285,//www.xeno-canto.org/574285/download,XC574285-RAMPICHINO ALPESTRE - Verrayes (online-audio-converter.com).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JRCQMEKVKT/ffts/XC574285-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JRCQMEKVKT/ffts/XC574285-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JRCQMEKVKT/ffts/XC574285-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JRCQMEKVKT/ffts/XC574285-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,08:09,2019-08-02,2020-07-08,['Delichon urbicum'],,yes,no
570594,Certhia,familiaris,britannica,Eurasian Treecreeper,Paul Holt,United Kingdom,"Longridge Fell, Dutton, Lancashire, England",53.8592,-2.5294,320,song,//www.xeno-canto.org/570594,//www.xeno-canto.org/570594/download,"XC570594---Treecreeper, Eurasian (Lancashire)(A33473).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570594-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570594-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570594-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570594-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,07:00,2020-06-08,2020-06-21,[''],Same individual as XC570592,yes,no
570592,Certhia,familiaris,britannica,Eurasian Treecreeper,Paul Holt,United Kingdom,"Longridge Fell, Dutton, Lancashire, England",53.8592,-2.5294,320,song,//www.xeno-canto.org/570592,//www.xeno-canto.org/570592/download,"XC570592---Treecreeper, Eurasian (Lancashire)(A33472).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570592-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570592-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570592-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BMRZWILYRR/ffts/XC570592-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:42,06:30,2020-06-08,2020-06-21,[''],Same individual as XC570594,yes,no
562739,Certhia,familiaris,japonica,Eurasian Treecreeper,Anon Torimi,Japan,Kyoto Prefecture,,,?,call,//www.xeno-canto.org/562739,//www.xeno-canto.org/562739/download,XC562739-kibashiri_c_200526b_sub.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC562739-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC562739-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC562739-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC562739-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:52,05:25,2020-05-26,2020-05-28,"['Ficedula narcissina', 'Zosterops japonicus', 'Muscicapa dauurica']",,no,no
561565,Certhia,familiaris,,Eurasian Treecreeper,Simon Gillings,United Kingdom,"Great Britain (near  Santon Downham), Suffolk, England",52.4585,0.6705,10,"adult, sex uncertain, song",//www.xeno-canto.org/561565,//www.xeno-canto.org/561565/download,XC561565-20200303-0809-SantonDownham-Gillings-PS-TC song.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WMOBQSLHWA/ffts/XC561565-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WMOBQSLHWA/ffts/XC561565-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WMOBQSLHWA/ffts/XC561565-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WMOBQSLHWA/ffts/XC561565-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:26,08:09,2020-03-03,2020-05-24,"['Turdus philomelos', 'Parus major', 'Poecile palustris', 'Fringilla coelebs']",,yes,no
561091,Certhia,familiaris,,Eurasian Treecreeper,Mikael Litsgård,Sweden,"Lilla Homsjön, Borlänge, Dalarna",60.444,15.539,110,"call, song",//www.xeno-canto.org/561091,//www.xeno-canto.org/561091/download,XC561091-200521_0329-Certhia familiaris.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC561091-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC561091-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC561091-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WBXWQVRTFL/ffts/XC561091-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:14,03:29,2020-05-21,2020-05-23,[''],Moving around in the trees at the edge of the forest.,yes,no
