id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575929,Troglodytes,troglodytes,,Eurasian Wren,Jordi Calvet,Spain,"Fageda de la Grevolosa, Osona, Catalunya",42.1073,2.3675,1000,song,//www.xeno-canto.org/575929,//www.xeno-canto.org/575929/download,XC575929-TROTRO140720-T001 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC575929-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC575929-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC575929-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC575929-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:19,09:30,2020-07-14,2020-07-14,[''],Perched on a tree,yes,no
575167,Troglodytes,troglodytes,,Eurasian Wren,Karel H.,Estonia,"Kõrkküla, Saaremaa Parish, Saare maakond",58.2266,22.2778,10,"life stage uncertain, sex uncertain, song",//www.xeno-canto.org/575167,//www.xeno-canto.org/575167/download,XC575167-20200712-134820--Kaalupi_tee-MKE600.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575167-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575167-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575167-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575167-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:28,13:48,2020-07-12,2020-07-12,[''],The only one alone up in the tree.,no,no
572486,Troglodytes,troglodytes,,Eurasian Wren,Urban Lundström,Sweden,"Bredvik, Nordmaling Municipality, Västerbottens län",63.5399,19.6086,10,song,//www.xeno-canto.org/572486,//www.xeno-canto.org/572486/download,XC572486-20200630-014506.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC572486-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC572486-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC572486-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC572486-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:38,01:45,2020-06-30,2020-06-30,[''],,no,no
572076,Troglodytes,troglodytes,,Eurasian Wren,Byoungsoon Jang,South Korea,"Hadong-gun, Gyeongsangnam-do",35.3063,127.5662,1400,song,//www.xeno-canto.org/572076,//www.xeno-canto.org/572076/download,XC572076-200627_8.45(Eurasian wren).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572076-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572076-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572076-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572076-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:04,8:45,2020-06-27,2020-06-28,[''],,no,no
569853,Troglodytes,troglodytes,,Eurasian Wren,Jacobo Ramil MIllarengo,Spain,"  Sisalde, Ames, A Coruña, Galicia",42.8373,-8.652,30,"alarm call, two wren fending off a robin",//www.xeno-canto.org/569853,//www.xeno-canto.org/569853/download,"XC569853-Carrizo alarma fronte a paporrubio Sisalde, Ames.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569853-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569853-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569853-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569853-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:31,13:00,2020-06-15,2020-06-19,[''],,yes,no
569842,Troglodytes,troglodytes,,Eurasian Wren,Jacobo Ramil MIllarengo,Spain,"  Sisalde, Ames, A Coruña, Galicia",42.8373,-8.652,30,"The same bird with song variations of different length, song, subsong",//www.xeno-canto.org/569842,//www.xeno-canto.org/569842/download,"XC569842-T. troglodytes  canto macho variacións duración, Sisalde 9.30 sol 17º 18.6.20 .mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569842-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569842-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569842-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569842-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:31,10:00,2020-06-17,2020-06-19,['Certhia brachydactyla'],,yes,no
569582,Troglodytes,troglodytes,,Eurasian Wren,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"begging call, juvenile",//www.xeno-canto.org/569582,//www.xeno-canto.org/569582/download,XC569582-Troglodytes troglodytes_2020.06.16_08.35_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569582-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569582-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569582-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569582-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,08:35,2020-06-16,2020-06-17,[''],,yes,no
568886,Troglodytes,troglodytes,,Eurasian Wren,Lars Burnus,Germany,"Neu Wulmstorf (Harburg, Niedersachsen)",53.4697,9.7893,10,song,//www.xeno-canto.org/568886,//www.xeno-canto.org/568886/download,XC568886-Zaunkönig_NW_Song_16.06.2020_04.50.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC568886-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC568886-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC568886-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTBMJVGTZO/ffts/XC568886-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,4:54,04:50,2020-06-16,2020-06-16,"['Turdus merula', 'Passer domesticus']",,no,no
568652,Troglodytes,troglodytes,,Eurasian Wren,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Miraflores de la Sierra), Madrid, Community of Madrid",40.7734,-3.8027,1000,song,//www.xeno-canto.org/568652,//www.xeno-canto.org/568652/download,XC568652-13 jun. 12.24chochin.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568652-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568652-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568652-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568652-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:37,12:24,2020-06-13,2020-06-15,[''],Grabado en bosque denso de Robles con mucho sotobosque. Grabación amplificada,no,no
568062,Troglodytes,troglodytes,,Eurasian Wren,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7781,-3.8113,1100,song,//www.xeno-canto.org/568062,//www.xeno-canto.org/568062/download,XC568062-10 jun. 13.13 chochin.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568062-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568062-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568062-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568062-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:42,13:13,2020-06-10,2020-06-13,[''],Grabado en bosque de ribera  con mucho arbusto. Grabación amplificada,no,no
