id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573506,Jynx,torquilla,,Eurasian Wryneck,Petter Kappel,Sweden,"Strängnäs Municipality, Södermanlands län",59.3373,17.1784,20,alarm call,//www.xeno-canto.org/573506,//www.xeno-canto.org/573506/download,"XC573506-20200704_144602_namnlöst_Gesta gård, Göktyta.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573506-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573506-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573506-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573506-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:43,14:45,2020-07-04,2020-07-05,[''],,yes,unknown
571233,Jynx,torquilla,,Eurasian Wryneck,Hans Norelius,Sweden,"F 4 Frösön, Östersund Municipality, Jämtlands län",63.1817,14.5347,400,"adult, sex uncertain, song",//www.xeno-canto.org/571233,//www.xeno-canto.org/571233/download,XC571233-GöktytaS_Frösön-Östersund_Juni2020_200618-081520.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571233-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571233-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571233-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571233-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:59,08:30,2020-06-18,2020-06-24,[''],,yes,no
570423,Jynx,torquilla,,Eurasian Wryneck,Regina Eidner,Germany,"Berlin Schönefeld Airport (near  Schönefeld), Brandenburg",52.37,13.519,50,song,//www.xeno-canto.org/570423,//www.xeno-canto.org/570423/download,XC570423-DM673427_Weha3_BER_cut2_rau1_Noise.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570423-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570423-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570423-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570423-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:12,10:25,2020-04-26,2020-06-21,"['Fringilla coelebs', 'Chloris chloris', 'Parus major']",,yes,unknown
570421,Jynx,torquilla,,Eurasian Wryneck,Regina Eidner,Germany,"Berlin Schönefeld Airport (near  Schönefeld), Brandenburg",52.37,13.519,50,song,//www.xeno-canto.org/570421,//www.xeno-canto.org/570421/download,XC570421-DM673413_Weha-BER_cut2_rau1_Noise.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570421-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570421-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570421-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570421-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:32,07:42,2020-04-26,2020-06-21,"['Passer montanus', 'Phoenicurus ochruros']",,yes,unknown
567382,Jynx,torquilla,,Eurasian Wryneck,Mats Rellmar,Sweden,"Ängelholm Municipality, Skåne län",56.2269,12.8077,0,song,//www.xeno-canto.org/567382,//www.xeno-canto.org/567382/download,XC567382-Jynx torquilla song Klören 200610 a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC567382-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC567382-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC567382-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC567382-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:35,10:00,2020-06-10,2020-06-11,[''],,yes,no
563440,Jynx,torquilla,,Eurasian Wryneck,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,call,//www.xeno-canto.org/563440,//www.xeno-canto.org/563440/download,XC563440-wryneck 29 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563440-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563440-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563440-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563440-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:30,2020-05-29,2020-05-30,[''],,no,no
563438,Jynx,torquilla,,Eurasian Wryneck,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,call,//www.xeno-canto.org/563438,//www.xeno-canto.org/563438/download,XC563438-wryneck 29 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563438-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563438-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563438-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563438-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:30,2020-05-29,2020-05-30,[''],,no,no
561861,Jynx,torquilla,,Eurasian Wryneck,Kim Erlend Vidal,Norway,"Rødøy, Nordland",66.6954,13.4318,30,song,//www.xeno-canto.org/561861,//www.xeno-canto.org/561861/download,"XC561861-Vendehals_23.05.20 dyråsmoen, kila.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/IPHRBLFHWJ/ffts/XC561861-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IPHRBLFHWJ/ffts/XC561861-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IPHRBLFHWJ/ffts/XC561861-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IPHRBLFHWJ/ffts/XC561861-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,0:44,21:30,2020-05-23,2020-05-24,[''],,no,no
559278,Jynx,torquilla,,Eurasian Wryneck,Mats Rellmar,Sweden,"Sånnarna, Kristianstad Municipality",55.9282,14.25,10,song,//www.xeno-canto.org/559278,//www.xeno-canto.org/559278/download,XC559278-Jynx torquilla song Sonnarna 200515 a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559278-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559278-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559278-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC559278-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:51,06:00,2020-05-15,2020-05-17,[''],Calling from a birch at 5 m elevation.,yes,no
559055,Jynx,torquilla,,Eurasian Wryneck,Petter Kappel,Sweden,"Strängnäs Municipality, Södermanlands län",59.3405,17.1747,30,song,//www.xeno-canto.org/559055,//www.xeno-canto.org/559055/download,XC559055-20200517 Göktyta.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC559055-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC559055-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC559055-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC559055-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:40,07:35,2020-05-17,2020-05-17,[''],2 singing close (20-30m) to each other,no,unknown
