id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
569747,Merops,apiaster,,European Bee-eater,Jarek Matusiak,Poland,Masovian Voivodeship,52.23,21.0105,110,"adult, call, female, male",//www.xeno-canto.org/569747,//www.xeno-canto.org/569747/download,XC569747-170726_05 żołna.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC569747-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC569747-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC569747-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC569747-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,11:00,2017-07-05,2020-06-18,[''],,unknown,unknown
569528,Merops,apiaster,,European Bee-eater,Beatrix Saadi-Varchmin,Germany,"near  Eichstetten am Kaiserstuhl, Freiburg i.  Breisgau-Hochschwarzwald , Baden-Württemberg",48.1003,7.7306,240,"adult, call, female, flight call, male",//www.xeno-canto.org/569528,//www.xeno-canto.org/569528/download,XC569528-BIENENFRESSER  22.05.2020  b. Eichstetten  17_56 VOC_200522-0989 gek.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569528-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569528-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569528-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569528-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,3:58,17:56,2020-05-22,2020-06-17,"['Turdus merula', 'Sylvia communis', 'Chloris chloris']","Big colonie that we suddenly found. Most birds often call while hunting around , sometimes a bird sits on the surrendig of a vineyard, calling from time to time.",yes,no
569524,Merops,apiaster,,European Bee-eater,Beatrix Saadi-Varchmin,Germany,"near  Eichstetten am Kaiserstuhl, Freiburg i.  Breisgau-Hochschwarzwald , Baden-Württemberg",48.1003,7.7306,240,"adult, call",//www.xeno-canto.org/569524,//www.xeno-canto.org/569524/download,XC569524-BIENENFRESSER  22.05.2020  b. Eichstetten  17_46  VOC_200522-0984.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569524-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569524-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569524-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/OQZFKFTAKD/ffts/XC569524-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,17:46,2020-05-22,2020-06-17,[''],"Big colonie that we suddenly found. Not far away a bird is sitting on the surrendig of a vineyard, calling from time to time.",yes,no
569440,Merops,apiaster,,European Bee-eater,Albert Lastukhin,Russian Federation,"Malye Shikhirdany, Batyrevskiy rayon, Chuvash Republic",55.0839,47.8038,90,flight call,//www.xeno-canto.org/569440,//www.xeno-canto.org/569440/download,"XC569440-Merops apiaster 160730_006, A.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC569440-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC569440-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC569440-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC569440-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:30,10:30,2016-07-30,2020-06-17,[''],,yes,no
556754,Merops,apiaster,,European Bee-eater,Jan Daniels-Trautner,Germany,"Breisgau-Hochschwarzwald (near  Ihringen), Freiburg, Baden-Württemberg",48.0521,7.6771,260,"call, flight call, life stage uncertain, sex uncertain",//www.xeno-canto.org/556754,//www.xeno-canto.org/556754/download,XC556754-MERapi_MixPre-092_outtake.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VOLIKRBSEA/ffts/XC556754-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VOLIKRBSEA/ffts/XC556754-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VOLIKRBSEA/ffts/XC556754-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VOLIKRBSEA/ffts/XC556754-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,06:30,2020-05-10,2020-05-10,"['Troglodytes troglodytes', 'Sturnus vulgaris']",6 birds foraging from the top of a tree in a light drizzle. Recorded with MixPre 3-II plus Telinga MK3.,yes,no
555749,Merops,apiaster,,European Bee-eater,Dare Šere,Slovenia,"Hauptmanca, Ljubljansko barje, Ljubljana",45.9947,14.5412,280,"adult, flight call",//www.xeno-canto.org/555749,//www.xeno-canto.org/555749/download,XC555749-200508_0550-M.apiaster.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC555749-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC555749-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC555749-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC555749-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:06,08:30,2020-05-08,2020-05-09,['Anthus trivialis'],,yes,no
552668,Merops,apiaster,,European Bee-eater,AUDEVARD Aurélien,France,"Hyères, Var, Provence-Alpes-Côte d'Azur",43.1247,6.2085,0,flight call,//www.xeno-canto.org/552668,//www.xeno-canto.org/552668/download,XC552668-Guepier d europe 30042020 - 17h03 - Hyeres.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552668-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552668-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552668-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552668-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,17:03,2020-04-30,2020-05-01,[''],,yes,no
550449,Merops,apiaster,,European Bee-eater,Iván Vega ,Spain,"Baix Llobregat (near  Sant Boi de Llobregat), Barcelona, Catalunya",41.3439,2.0254,50,"adult, female, male, song",//www.xeno-canto.org/550449,//www.xeno-canto.org/550449/download,XC550449-Merops apiaster.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC550449-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC550449-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC550449-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC550449-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,16:30,2020-04-25,2020-04-25,"['Cyanistes caeruleus', 'Passer domesticus']","Grupo de 15/20 individuos grabados mientras volaban y descansaban en un árbol de una riera entre casas de urbanización.
Zona metropolitana.
Equipo: Grabadora Olympus Ls-P4 sin micrófono externo ni parábola.",yes,no
548545,Merops,apiaster,,European Bee-eater,Nelson Conceição,Portugal,"Santa Maria, Mato Santo Espírito(near  Tavira), Tavira, Faro",37.1379,-7.6303,30,flight call,//www.xeno-canto.org/548545,//www.xeno-canto.org/548545/download,XC548545-200408-082556abelharuco.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC548545-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC548545-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC548545-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC548545-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:02,08:25,2020-04-08,2020-04-20,['Delichon urbicum'],"Recorder: Zoom H1n

Windscreen: Zoom WSU-1

Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).",no,no
511027,Merops,apiaster,,European Bee-eater,Ruslan Mazuryk,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",49.634,26.2213,?,"call, female, male",//www.xeno-canto.org/511027,//www.xeno-canto.org/511027/download,XC511027-MVI_0957.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC511027-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC511027-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC511027-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC511027-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,11:30,2019-07-27,2019-12-08,['Chloris chloris'],,no,unknown
489946,Merops,apiaster,,European Bee-eater,o.kauzal,Czech Republic,"Strachotice, Znojmo, Jihomoravský kraj",48.7463,16.147,240,"begging call, juvenile",//www.xeno-canto.org/489946,//www.xeno-canto.org/489946/download,XC489946-vlha_mladata.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FWCVCROEXI/ffts/XC489946-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FWCVCROEXI/ffts/XC489946-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FWCVCROEXI/ffts/XC489946-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FWCVCROEXI/ffts/XC489946-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:39,16:00,2019-07-16,2019-08-01,[''],Nestlings of Merops apiaster (about 2-3 weeks old) calling from the nest burrow. You can hear the knocking noise in the recording – that was me gently knocking at the entrance to get response from the young ones inside. Disturbed only for a minute or so. No sound editing was done.,no,no
478182,Merops,apiaster,,European Bee-eater,Jarek Matusiak,Poland,"Tykocin, Podlaskie Voivodeship",53.2067,22.7688,110,"call, male",//www.xeno-canto.org/478182,//www.xeno-canto.org/478182/download,XC478182-ołna_3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478182-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478182-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478182-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478182-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,10:00,2019-05-19,2019-06-01,[''],,yes,unknown
478177,Merops,apiaster,,European Bee-eater,Jarek Matusiak,Poland,"sieradzki, województwo łódzkie",51.6909,18.4774,150,"call, female, male",//www.xeno-canto.org/478177,//www.xeno-canto.org/478177/download,XC478177-ołny (3).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478177-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478177-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478177-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478177-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:59,14:00,2019-05-27,2019-06-01,[''],About 5 birds in the flight,yes,unknown
478171,Merops,apiaster,,European Bee-eater,Jarek Matusiak,Poland,"sieradzki, województwo łódzkie",51.6002,18.7245,140,male,//www.xeno-canto.org/478171,//www.xeno-canto.org/478171/download,XC478171-ołny (2.11).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478171-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478171-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478171-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478171-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,14:00,2019-05-30,2019-06-01,[''],,yes,unknown
478150,Merops,apiaster,,European Bee-eater,Jarek Matusiak,Poland,"sieradzki, województwo łódzkie",51.6002,18.7245,140,"call, flight call",//www.xeno-canto.org/478150,//www.xeno-canto.org/478150/download,XC478150-ołny (2.1).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478150-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478150-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478150-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC478150-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,14:00,2019-05-30,2019-06-01,[''],About 7 birds,unknown,unknown
476966,Merops,apiaster,,European Bee-eater,Igor Uřinovský,Czech Republic,"Přerov, Přerov, Olomoucký kraj",49.4754,17.4071,260,call,//www.xeno-canto.org/476966,//www.xeno-canto.org/476966/download,XC476966-Vlha pestrá 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC476966-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC476966-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC476966-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UUUYSSONMM/ffts/XC476966-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,15:00,2019-05-24,2019-05-26,[''],,yes,no
476316,Merops,apiaster,,European Bee-eater,MERCIER Christophe,France,"Saint-Jean-Ligoure, Haute-Vienne, Nouvelle-Aquitaine",45.6883,1.3103,260,call,//www.xeno-canto.org/476316,//www.xeno-canto.org/476316/download,XC476316-Guêpier d'Europe-230519-181012.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC476316-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC476316-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC476316-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC476316-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,18:10,2019-05-23,2019-05-23,[''],,yes,unknown
469886,Merops,apiaster,,European Bee-eater,Alain Malengreau,France,"Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",43.5476,4.7366,0,"call, flight call, song",//www.xeno-canto.org/469886,//www.xeno-canto.org/469886/download,XC469886-guepier europe 1905011CA.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC469886-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC469886-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC469886-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC469886-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:26,17:00,2019-05-01,2019-05-01,[''],ME66 + Zoom H5N1 unédited record (windy condition),yes,no
461759,Merops,apiaster,,European Bee-eater,Gerard OLIVIER,France,"Petit-Noir, Jura, Bourgogne-Franche-Comté",46.94,5.2922,190,song,//www.xeno-canto.org/461759,//www.xeno-canto.org/461759/download,XC461759-Guêpier20060611_0705_Petit-noir_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QOTYTAAQAK/ffts/XC461759-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QOTYTAAQAK/ffts/XC461759-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QOTYTAAQAK/ffts/XC461759-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QOTYTAAQAK/ffts/XC461759-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,3:49,07:00,2006-06-11,2019-03-14,[''],,yes,no
