id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576279,Pluvialis,apricaria,,European Golden Plover,JEAN-PHILIPPE CARLIER,France,"Pleubian, Côtes-d'Armor, Bretagne",48.853,-3.1497,0,"call, sex uncertain",//www.xeno-canto.org/576279,//www.xeno-canto.org/576279/download,XC576279-20200711azz.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QWROVFGIZW/ffts/XC576279-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QWROVFGIZW/ffts/XC576279-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QWROVFGIZW/ffts/XC576279-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QWROVFGIZW/ffts/XC576279-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,06:30,2020-07-11,2020-07-16,[''],,no,no
565201,Pluvialis,apricaria,,European Golden Plover,Mr Mark Shorten,Ireland,"Ireland, Cork, County Cork",52.0093,-8.9804,500,"adult, call, sex uncertain",//www.xeno-canto.org/565201,//www.xeno-canto.org/565201/download,XC565201-18mar golden p noiser.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC565201-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC565201-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC565201-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UPZQVPMXNE/ffts/XC565201-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,11:00,2020-03-18,2020-06-04,[''],flock of 50 birds resting on moorland and then taking off,unknown,unknown
558216,Pluvialis,apricaria,,European Golden Plover,Kalle Brinell,Sweden,"Tierp, Tierp Municipality, Uppsala län",60.3541,17.5342,30,nocturnal flight call,//www.xeno-canto.org/558216,//www.xeno-canto.org/558216/download,XC558216-ljungpipare20200512.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VQUGXPRJHE/ffts/XC558216-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VQUGXPRJHE/ffts/XC558216-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VQUGXPRJHE/ffts/XC558216-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VQUGXPRJHE/ffts/XC558216-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,01:00,2020-05-12,2020-05-14,[''],,unknown,unknown
554741,Pluvialis,apricaria,,European Golden Plover,Robert Ekman,Sweden,"Hov, Uppsala, Uppsala län",59.9674,17.9371,30,nocturnal flight call,//www.xeno-canto.org/554741,//www.xeno-canto.org/554741/download,XC554741-LP200506.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC554741-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC554741-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC554741-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC554741-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:21,03:12,2020-05-06,2020-05-06,[''],,unknown,unknown
552728,Pluvialis,apricaria,,European Golden Plover,Juha Saari,Finland,"Helsinki, Helsinki, Uusimaa",60.2357,25.0058,40,nocturnal flight call,//www.xeno-canto.org/552728,//www.xeno-canto.org/552728/download,XC552728-pluapr_202005_30_01_yom_0005.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC552728-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC552728-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC552728-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC552728-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:21,00:05,2020-05-01,2020-05-01,[''],,no,no
551749,Pluvialis,apricaria,,European Golden Plover,Juha Saari,Finland,"Helsinki, Helsinki, Uusimaa",60.2357,25.0058,40,nocturnal flight call,//www.xeno-canto.org/551749,//www.xeno-canto.org/551749/download,XC551749-pluapr_202004_27_28_yom_0153.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551749-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551749-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551749-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551749-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,01:53,2020-04-28,2020-04-28,[''],,no,no
551742,Pluvialis,apricaria,,European Golden Plover,Juha Saari,Finland,"Helsinki, Helsinki, Uusimaa",60.2357,25.0058,40,nocturnal flight call,//www.xeno-canto.org/551742,//www.xeno-canto.org/551742/download,XC551742-pluapr_202004_27_28_yom_0117.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551742-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551742-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551742-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC551742-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,01:17,2020-04-28,2020-04-28,[''],,no,no
540963,Pluvialis,apricaria,,European Golden Plover,Jorrit Vlot,Netherlands,"Lunteren, Ede, Gelderland",52.0831,5.6141,10,"nocturnal flight call, song",//www.xeno-canto.org/540963,//www.xeno-canto.org/540963/download,XC540963-Grote lijster.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC540963-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC540963-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC540963-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC540963-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,02:00,2020-04-03,2020-04-03,[''],,unknown,unknown
576329,Pluvialis,apricaria,,European Golden Plover,Niels Van Doninck,Norway,"Lierne, Trøndelag",64.482,13.3188,340,flight call,//www.xeno-canto.org/576329,//www.xeno-canto.org/576329/download,XC576329-Goudplevier 200520 1835 4a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576329-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576329-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576329-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576329-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,18:35,2020-05-20,2020-07-16,['Larus canus'],Bird flew on.,yes,no
576327,Pluvialis,apricaria,,European Golden Plover,Niels Van Doninck,Norway,"Lierne, Trøndelag",64.482,13.3188,340,call,//www.xeno-canto.org/576327,//www.xeno-canto.org/576327/download,XC576327-Goudplevier 200520 1835 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576327-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576327-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576327-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC576327-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,18:35,2020-05-20,2020-07-16,"['Anthus pratensis', 'Tringa totanus', 'Larus canus']",,yes,no
