id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
560213,Pernis,apivorus,,European Honey Buzzard,yvon le corre,France,"Hanvec, Finistere, Brittany",48.3159,-4.1021,100,"adult, female, song",//www.xeno-canto.org/560213,//www.xeno-canto.org/560213/download,XC560213-LS100319-1.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DNIAHWRAXJ/ffts/XC560213-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DNIAHWRAXJ/ffts/XC560213-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DNIAHWRAXJ/ffts/XC560213-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DNIAHWRAXJ/ffts/XC560213-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,09:30,2020-05-21,2020-05-21,[''],adult female at nest. song? call? kind of chattering.,yes,no
577395,Pernis,apivorus,,European Honey Buzzard,Jose A. Neila Ballesteros,Spain,"Gijón (near  Deva), Asturias, Principado de Asturias",43.5068,-5.585,180,call,//www.xeno-canto.org/577395,//www.xeno-canto.org/577395/download,XC577395-8 jul 12.18 abejero eu camp.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577395-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577395-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577395-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577395-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,12:18,2020-07-08,2020-07-19,[''],,yes,no
502411,Pernis,apivorus,,European Honey Buzzard,Olivier SWIFT,France,"Bonrepos, Hautes-Pyrénées, Occitanie",43.1846,0.3913,500,call,//www.xeno-canto.org/502411,//www.xeno-canto.org/502411/download,XC502411-PERAPI_170813_3929_Bonrepos65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502411-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502411-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502411-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502411-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:36,11:39,2017-08-13,2019-10-14,[''],Tascam DR05 and Wildtronics parabole. Flying,yes,no
502410,Pernis,apivorus,,European Honey Buzzard,Olivier SWIFT,France,"Bonrepos, Hautes-Pyrénées, Occitanie",43.1846,0.3913,500,call,//www.xeno-canto.org/502410,//www.xeno-canto.org/502410/download,XC502410-PERAPI_170813_3927_Bonrepos65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502410-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502410-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502410-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502410-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:37,11:39,2017-08-13,2019-10-14,[''],Tascam DR05 and Wildtronics parabole. Flying,yes,no
502409,Pernis,apivorus,,European Honey Buzzard,Olivier SWIFT,France,"Bonrepos, Hautes-Pyrénées, Occitanie",43.1846,0.3913,500,call,//www.xeno-canto.org/502409,//www.xeno-canto.org/502409/download,XC502409-PERAPI_170813_3926_Bonrepos65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502409-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502409-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502409-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC502409-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,11:39,2017-08-13,2019-10-14,[''],Tascam DR05 and Wildtronics parabole. Flying,yes,no
500863,Pernis,apivorus,,European Honey Buzzard,Vincent van der Spek,Netherlands,"Den Haag, Den Haag, Zuid-Holland",52.0655,4.2285,0,begging call,//www.xeno-canto.org/500863,//www.xeno-canto.org/500863/download,XC500863-Honey Buzzard 1cy The Hague 04102019 VvdS.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DREKKBLICT/ffts/XC500863-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DREKKBLICT/ffts/XC500863-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DREKKBLICT/ffts/XC500863-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DREKKBLICT/ffts/XC500863-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:17,09:30,2019-10-04,2019-10-04,[''],Noise reduced. Calls of a bird taken into care at feeding time.,yes,no
500777,Pernis,apivorus,,European Honey Buzzard,Rinse van der Vliet,Netherlands,"Den Haag, Den Haag, Zuid-Holland",52.0646,4.2294,0,"begging call, juvenile",//www.xeno-canto.org/500777,//www.xeno-canto.org/500777/download,XC500777-wespendief juv de Wulp 04102019.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RTABBRRBUZ/ffts/XC500777-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RTABBRRBUZ/ffts/XC500777-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RTABBRRBUZ/ffts/XC500777-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RTABBRRBUZ/ffts/XC500777-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,09:30,2019-10-04,2019-10-04,[''],"Full grown juvenile begging for food in birdcare center 'de Wulp' Den Haag, Netherlands.
Apologies for the background noise.",unknown,no
448135,Pernis,apivorus,,European Honey Buzzard,Patrik Åberg,Sweden,"Källedalen, Fröstorp, Tibro, Västergötland",58.4278,14.2273,140,"flight call, male",//www.xeno-canto.org/448135,//www.xeno-canto.org/448135/download,"XC448135--Bivråk-spelläte-Källedalen Fröstorp, Tibro Vg-(2017-08-01 13.01)-LS140058.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC448135-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC448135-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC448135-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/ffts/XC448135-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,00:11,2017-08-01,2018-12-31,[''],Male in display flight.,yes,no
445346,Pernis,apivorus,,European Honey Buzzard,Bram Vogels,Belgium,"Kalmthout, Antwerpen, Vlaanderen",51.3626,4.4419,20,call,//www.xeno-canto.org/445346,//www.xeno-canto.org/445346/download,XC445346-Wespendief 180801 tuin.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445346-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445346-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445346-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445346-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,00:00,2018-08-01,2018-12-09,[''],,yes,no
445345,Pernis,apivorus,,European Honey Buzzard,Bram Vogels,Belgium,"Kalmthout, Antwerpen, Vlaanderen",51.3626,4.4419,20,call,//www.xeno-canto.org/445345,//www.xeno-canto.org/445345/download,XC445345-Wespendief 180801 tuin bis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445345-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445345-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445345-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/ffts/XC445345-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,00:00,2018-08-01,2018-12-09,[''],,yes,no
