id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573702,Caprimulgus,europaeus,,European Nightjar,Pierre Foulquier,France,"Gatuzières, Lozère, Occitanie",44.1975,3.4867,800,"call, flight call",//www.xeno-canto.org/573702,//www.xeno-canto.org/573702/download,XC573702-engoulevent_call_meyrueis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573702-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573702-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573702-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573702-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,22:00,2020-06-26,2020-07-05,[''],,no,no
577672,Caprimulgus,europaeus,,European Nightjar,Gary Elton,United Kingdom,"Great Britain, Norfolk, England",52.7777,0.4894,20,"adult, male, song",//www.xeno-canto.org/577672,//www.xeno-canto.org/577672/download,XC577672-Nightjar Roydon 20200719 2200.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC577672-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC577672-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC577672-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC577672-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,22:00,2020-07-19,2020-07-20,[''],,yes,no
577196,Caprimulgus,europaeus,,European Nightjar,Wessel,Netherlands,"Schoorl, Bergen, Noord-Holland",52.7,4.6688,10,"adult, call, contactroep, female",//www.xeno-canto.org/577196,//www.xeno-canto.org/577196/download,XC577196-20.3.WS.Caprimulgus_europaeus.4.02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577196-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577196-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577196-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577196-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,22:30,2020-07-16,2020-07-19,[''],"vliegend, roepend naar man die een eindje verderop zat. half open duin/heide, westenwind uit zee, licht bewolkt, mono/omni/parabool",unknown,unknown
577194,Caprimulgus,europaeus,,European Nightjar,Wessel,Netherlands,"Schoorl, Bergen, Noord-Holland",52.7,4.6688,10,"adult, alarm call, female",//www.xeno-canto.org/577194,//www.xeno-canto.org/577194/download,XC577194-20.3.WS.Caprimulgus_europaeus.2.02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577194-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577194-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577194-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SYWNXSUJBG/ffts/XC577194-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,22:15,2020-07-16,2020-07-19,[''],"westenwind, licht bewolkt, half open duin/heide. vogel vloog af en toe om me heen, roepend. roep aan mij gericht. ging daarna voor me op paaltje zitten, vloog weer af, ging op de grond zitten en zocht daarna contact met mannetje.   mono/omni/parabool",yes,unknown
576913,Caprimulgus,europaeus,,European Nightjar,Andrew Harrop,United Kingdom,"Great Britain (near  Brandon), Suffolk, England",52.4156,0.6307,50,"flight call, male",//www.xeno-canto.org/576913,//www.xeno-canto.org/576913/download,XC576913-200717-NJ2 clip.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576913-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576913-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576913-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576913-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,22:00,2020-07-17,2020-07-18,[''],Call from male flying along line of trees.,yes,no
576912,Caprimulgus,europaeus,,European Nightjar,Andrew Harrop,United Kingdom,"Great Britain (near  Brandon), Suffolk, England",52.4156,0.6307,50,"male, song",//www.xeno-canto.org/576912,//www.xeno-canto.org/576912/download,XC576912-200717-NJ.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576912-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576912-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576912-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/ffts/XC576912-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,22:00,2020-07-17,2020-07-18,[''],Song from bird perched on pine branch by clearing.,yes,no
575390,Caprimulgus,europaeus,,European Nightjar,Jean Christophe Pratt,France,"Saint Savinien, Charente-Maritime, Nouvelle-Aquitaine",45.9002,-0.7389,20,"adult, call, male, sex uncertain, song",//www.xeno-canto.org/575390,//www.xeno-canto.org/575390/download,XC575390-Chaumes Sechebec Engoulevent.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IHTOXYRBUZ/ffts/XC575390-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IHTOXYRBUZ/ffts/XC575390-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IHTOXYRBUZ/ffts/XC575390-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IHTOXYRBUZ/ffts/XC575390-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,22:30,2020-07-11,2020-07-13,[''],"Mal chanteur sur un piquet .
Parade ensuite ( claquements d'ailes audibles) à l'arrivée d'un autre adulte de sexe indéterminé qui pousse des cris.",yes,unknown
575388,Caprimulgus,europaeus,,European Nightjar,LE ROY Renaud,France,"Plourivo, Côtes-d'Armor, Bretagne",48.7374,-3.1372,90,"adult, male, song",//www.xeno-canto.org/575388,//www.xeno-canto.org/575388/download,XC575388-eng eur3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575388-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575388-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575388-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575388-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,00:30,2020-07-10,2020-07-13,[''],"On the heathland, flapping wings.",yes,yes
575386,Caprimulgus,europaeus,,European Nightjar,LE ROY Renaud,France,"Plourivo, Côtes-d'Armor, Bretagne",48.7374,-3.1372,90,"adult, male, song",//www.xeno-canto.org/575386,//www.xeno-canto.org/575386/download,XC575386-eng eur2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575386-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575386-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575386-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575386-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,00:30,2020-07-10,2020-07-13,[''],"On the heathland, flapping wings.",yes,no
575385,Caprimulgus,europaeus,,European Nightjar,LE ROY Renaud,France,"Plourivo, Côtes-d'Armor, Bretagne",48.7374,-3.1372,90,"adult, male, song",//www.xeno-canto.org/575385,//www.xeno-canto.org/575385/download,XC575385-eng eur1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575385-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575385-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575385-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575385-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,00:30,2020-07-10,2020-07-13,[''],On the heathland,yes,no
575384,Caprimulgus,europaeus,,European Nightjar,LE ROY Renaud,France,"Plourivo, Côtes-d'Armor, Bretagne",48.7374,-3.1372,90,"adult, male, song",//www.xeno-canto.org/575384,//www.xeno-canto.org/575384/download,XC575384-eng eur.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575384-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575384-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575384-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/ffts/XC575384-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,00:30,2020-07-10,2020-07-13,[''],On the heathland,yes,no
574900,Caprimulgus,europaeus,,European Nightjar,Frédéric Cazaban,France,"Tarnos, Landes, Nouvelle-Aquitaine",43.5352,-1.4475,40,nocturnal flight call,//www.xeno-canto.org/574900,//www.xeno-canto.org/574900/download,XC574900-2020071011_Tarnos_Frédéric Cazaban_engoulevent d'europe 0531.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574900-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574900-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574900-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574900-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,05:31,2020-07-11,2020-07-11,[''],"Filters used :  high pass filter : 1000 kHz - 12 dB, amplify : 15dB, fade in, fade out",no,no
573714,Caprimulgus,europaeus,,European Nightjar,Pierre Foulquier,France,"Gatuzières, Lozère, Occitanie",44.1975,3.4867,800,"adult, male, song",//www.xeno-canto.org/573714,//www.xeno-canto.org/573714/download,XC573714-engoulevevent_song_meyrueis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573714-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573714-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573714-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573714-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,21:30,2020-06-27,2020-07-05,[''],,no,no
