id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
571614,Dendrocopos,major,,Great Spotted Woodpecker,Byoungsoon Jang,South Korea,"Gunsan, Jeollabuk-do",35.8194,126.4662,20,drumming,//www.xeno-canto.org/571614,//www.xeno-canto.org/571614/download,XC571614-great spootted woodpecker(2020.05.31_6.26).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC571614-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC571614-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC571614-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC571614-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:01,6:26,2020-05-31,2020-06-25,[''],,yes,no
569581,Dendrocopos,major,,Great Spotted Woodpecker,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"call, female",//www.xeno-canto.org/569581,//www.xeno-canto.org/569581/download,XC569581-Dendrocopos major_2020.06.16_07.47_05.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569581-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569581-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569581-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569581-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:25,07:47,2020-06-16,2020-06-17,['Acrocephalus scirpaceus'],,yes,no
569579,Dendrocopos,major,,Great Spotted Woodpecker,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"call, female",//www.xeno-canto.org/569579,//www.xeno-canto.org/569579/download,XC569579-Dendrocopos major_2020.06.16_07.45_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569579-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569579-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569579-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569579-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:01,07:45,2020-06-16,2020-06-17,"['Hirundo rustica', 'Emberiza schoeniclus', 'Acrocephalus scirpaceus']",,yes,no
569576,Dendrocopos,major,,Great Spotted Woodpecker,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"call, female",//www.xeno-canto.org/569576,//www.xeno-canto.org/569576/download,XC569576-Dendrocopos major_2020.06.16_07.45_01 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569576-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569576-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569576-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569576-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:42,07:45,0220-06-16,2020-06-17,"['Acrocephalus scirpaceus', 'Emberiza schoeniclus']",,yes,no
566469,Dendrocopos,major,,Great Spotted Woodpecker,Daniele Baroni,Finland,"Halisoja, Nousiainen",60.5939,22.1563,30,"begging call, juvenile",//www.xeno-canto.org/566469,//www.xeno-canto.org/566469/download,XC566469-2020_06_08_10_45 GSW chicks.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC566469-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC566469-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC566469-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC566469-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,10:45,2020-06-08,2020-06-08,['Corvus cornix'],,yes,no
562642,Dendrocopos,major,,Great Spotted Woodpecker,Hans Norelius,Sweden,"Bornsjön, Salem, Stockholms län",59.2573,17.7114,20,"adult, call",//www.xeno-canto.org/562642,//www.xeno-canto.org/562642/download,XC562642-Större_HackspettL_Bornsjön_Maj2020_200527-085618.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562642-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562642-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562642-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC562642-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:35,09:00,2020-05-27,2020-05-27,"['Phylloscopus sibilatrix', 'Parus major']",,yes,no
559716,Dendrocopos,major,,Great Spotted Woodpecker,Ricardo Hevia,Spain,"Ortegal (near  Cariño), A Coruña, Galicia",43.7165,-7.9219,380,"adult, call",//www.xeno-canto.org/559716,//www.xeno-canto.org/559716/download,XC559716-sin nombrepicapinos.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BQFSTZRSEP/ffts/XC559716-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BQFSTZRSEP/ffts/XC559716-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BQFSTZRSEP/ffts/XC559716-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BQFSTZRSEP/ffts/XC559716-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,17:38,2020-05-19,2020-05-19,[''],,yes,unknown
558492,Dendrocopos,major,,Great Spotted Woodpecker,Jorge Leitão,Portugal,"Sítio de Cabanas, São Vicente, Braga, Braga",41.5624,-8.4266,150,"call, juvenile, male",//www.xeno-canto.org/558492,//www.xeno-canto.org/558492/download,XC558492-Dendrocopos major_2020.05.14_18.57_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC558492-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC558492-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC558492-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC558492-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:24,18:57,2020-05-14,2020-05-15,['Periparus ater'],,yes,no
554042,Dendrocopos,major,,Great Spotted Woodpecker,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1384,4.9967,20,"adult, call",//www.xeno-canto.org/554042,//www.xeno-canto.org/554042/download,XC554042-Grote Bonte Specht 2020-05-03 2105 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554042-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554042-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554042-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554042-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:43,21:05,2020-05-03,2020-05-04,"['Sylvia atricapilla', 'Turdus merula']",,yes,no
554041,Dendrocopos,major,,Great Spotted Woodpecker,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1384,4.9967,20,"adult, call",//www.xeno-canto.org/554041,//www.xeno-canto.org/554041/download,XC554041-Grote Bonte Specht 2020-05-03 2105 1a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554041-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554041-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554041-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC554041-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:34,21:05,2020-05-03,2020-05-04,"['Sylvia atricapilla', 'Turdus merula']",,yes,no
