id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575733,Corvus,corax,,Northern Raven,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,"call, crooky call",//www.xeno-canto.org/575733,//www.xeno-canto.org/575733/download,XC575733-Grand corbeau cri tres caverneux.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575733-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575733-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575733-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575733-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,08:30,2020-07-09,2020-07-14,[''],,yes,no
575732,Corvus,corax,,Northern Raven,Stanislas Wroza,Estonia,"Matsalu National Park, Ridala Parish, Läänemaa",58.781,23.6618,0,"call, crooky call",//www.xeno-canto.org/575732,//www.xeno-canto.org/575732/download,XC575732-Grand corbeau cri tres caverneux 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575732-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575732-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575732-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575732-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,08:30,2020-07-09,2020-07-14,[''],,yes,no
578246,Corvus,corax,,Northern Raven,Ireneusz Oleksik,Poland,"Gmina Ustrzyki Dolne (near  Brzegi Dolne), bieszczadzki, Województwo podkarpackie",49.4452,22.6154,440,"flight call, life stage uncertain, sex uncertain",//www.xeno-canto.org/578246,//www.xeno-canto.org/578246/download,XC578246-kruk Brzegi 22.07.2020   14.30.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC578246-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC578246-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC578246-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC578246-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,14:30,2020-07-22,2020-07-22,[''],"Mixed mountain forest, high pass filter 300 Hz 48 dB, ZOOM H1n.",no,no
578095,Corvus,corax,,Northern Raven,Ed Pandolfino,United States,"Rd 612, Madera County, California",37.2673,-119.8288,480,call,//www.xeno-canto.org/578095,//www.xeno-canto.org/578095/download,XC578095-CORA_Rd612_MAD_3-15-19_1048.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578095-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578095-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578095-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578095-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,10:48,2019-03-15,2020-07-22,[''],,yes,no
578084,Corvus,corax,,Northern Raven,Scott Olmstead,United States,"Sawmill Canyon, Pinaleño Mtns, Graham County, Arizona",32.7544,-110.0535,2100,"adult, call",//www.xeno-canto.org/578084,//www.xeno-canto.org/578084/download,XC578084-2020-07-19-Common Raven-Pinaleño Mtns-AZ-SOlmstead.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC578084-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC578084-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC578084-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DABODLPUPA/ffts/XC578084-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:04,07:20,2020-07-19,2020-07-22,[''],Recorded in pine-oak woodland. Juvenile nearby.,yes,no
577575,Corvus,corax,sinuatus,Northern Raven,Manuel Grosselet,Mexico,"San Agustín Etla, Oaxaca",17.1713,-96.7613,1800,"flight call, life stage uncertain, sex uncertain",//www.xeno-canto.org/577575,//www.xeno-canto.org/577575/download,XC577575-Northern Raven flight calls saetla july 19 717_0784.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC577575-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC577575-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC577575-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ILUHRFXDNU/ffts/XC577575-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:15,07:30,2020-07-19,2020-07-20,['Pipilo maculatus'],"wildtronics mono amplified Tascam DR05
normalized -10Db, Aufilter.
two birds flying coming from far and passing over head.",yes,no
577436,Corvus,corax,sinuatus,Northern Raven,Timothy Marquardt,United States,"Flagstaff, Coconino County, Arizona",35.4018,-111.7567,2400,"call, life stage uncertain, sex uncertain",//www.xeno-canto.org/577436,//www.xeno-canto.org/577436/download,XC577436-CORA.2020.07.18.AZ.Coconino.KendrickParkWatchableWildlifeTrail.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC577436-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC577436-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC577436-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UKNISVRBBF/ffts/XC577436-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:03,08:09,2020-07-18,2020-07-19,[''],"Sound Devices MixPre-3, Wildtronics Model #WTPMMSA, 22” Parabolic Reflector, High-pass filter 600 Hz, Roll-off 24dB, phoenixbirder@gmail.com",yes,no
574527,Corvus,corax,,Northern Raven,David Melichar,Czech Republic,"Zahrádka, Plzeň-sever, Plzeňský kraj",49.893,13.1883,550,"call, various calls",//www.xeno-canto.org/574527,//www.xeno-canto.org/574527/download,XC574527-ih_HurkyI04_07_06_-0045_07-56-15.268_31.1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC574527-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC574527-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC574527-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC574527-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,04:56,2020-07-06,2020-07-09,"['Phylloscopus collybita', 'Fringilla coelebs']",,no,no
574465,Corvus,corax,sinuatus,Northern Raven,Richard E. Webster,United States,"Lower Penstemon CG, South Hills, Idaho",42.1967,-114.2835,2000,"adult, call, sex uncertain",//www.xeno-canto.org/574465,//www.xeno-canto.org/574465/download,"XC574465-RAVEN_Common_c_flight L Penstemon CG, S Hills 2000m 061318 0506.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574465-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574465-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574465-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574465-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:54,05:06,2018-06-13,2020-07-08,"['Troglodytes aedon', 'Turdus migratorius', 'Setophaga auduboni', 'Spinus pinus', 'Haemorhous cassinii']","pair in flight, mostly one bird, until the other, then somewhat apart, called at the end;",yes,no
574455,Corvus,corax,sinuatus,Northern Raven,Richard E. Webster,United States,"Lower Penstemon CG, South Hills, Idaho",42.1967,-114.2835,2000,"adult, call, sex uncertain",//www.xeno-canto.org/574455,//www.xeno-canto.org/574455/download,XC574455-RAVEN_Common L Penstemon CG 2000m 061418 0505.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574455-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574455-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574455-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC574455-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:29,05:05,2018-06-14,2020-07-08,"['Spizella passerina', 'Turdus migratorius', 'Tachycineta thalassina', 'Regulus calendula', 'Contopus sordidulus', 'Melospiza melodia', 'Troglodytes aedon']",single bird in flight;,yes,no
