id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575431,Turdus,iliacus,iliacus,Redwing,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,song,//www.xeno-canto.org/575431,//www.xeno-canto.org/575431/download,XC575431-Grive mauvis chant A VERIFIER.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575431-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575431-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575431-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575431-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:47,21:00,2020-07-06,2020-07-13,[''],,yes,no
575262,Turdus,iliacus,iliacus,Redwing,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,song,//www.xeno-canto.org/575262,//www.xeno-canto.org/575262/download,XC575262-Grive mauvis chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575262-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575262-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575262-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575262-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:36,21:30,2020-07-04,2020-07-12,[''],,yes,no
488198,Turdus,iliacus,coburni,Redwing,Stanislas Wroza,Iceland,Northeastern Region,65.6108,-16.9358,280,alarm call,//www.xeno-canto.org/488198,//www.xeno-canto.org/488198/download,XC488198-2018-07-31 Myvatn 180731 Grive mauvis coburni type merle.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488198-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488198-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488198-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488198-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:22,06:00,2018-07-31,2019-07-19,[''],,yes,no
488197,Turdus,iliacus,coburni,Redwing,Stanislas Wroza,Iceland,Northeastern Region,65.6108,-16.9358,280,"adult, alarm call, call, flight call, juvenile, various calls",//www.xeno-canto.org/488197,//www.xeno-canto.org/488197/download,XC488197-2018-07-31 Myvatn 180731 Grive mauvis coburni divers cris famille.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488197-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488197-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488197-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC488197-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:06,06:00,2018-07-31,2019-07-19,[''],,yes,no
484477,Turdus,iliacus,coburni,Redwing,Stanislas Wroza,Iceland,"Skagafjörður, Northwestern Region",65.5933,-19.4351,10,"alarm call, juvenile",//www.xeno-canto.org/484477,//www.xeno-canto.org/484477/download,XC484477-2018-07-26 Heradsvotn - Kalbaldur 180726 Grive mauvis coburni juv alarme.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC484477-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC484477-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC484477-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC484477-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,10:00,2018-07-26,2019-07-03,[''],,yes,no
479144,Turdus,iliacus,coburni,Redwing,Stanislas Wroza,Iceland,"Vatnajoekull National Park, East",64.0704,-16.975,140,"alarm call, call, song, subsong",//www.xeno-canto.org/479144,//www.xeno-canto.org/479144/download,XC479144-2018-08-10 Jokulsarlon - Skaftafell - Vik 180810 Grive mauvis chant en sourdine et cris tres varies (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC479144-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC479144-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC479144-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC479144-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:57,08:00,2018-08-10,2019-06-07,[''],,yes,no
470808,Turdus,iliacus,,Redwing,Dries Van de Loock,Norway,"Vestvågøy, Nordland",68.1325,13.833,20,song,//www.xeno-canto.org/470808,//www.xeno-canto.org/470808/download,"XC470808-Redwing (song) 20180602,Stamsund,Lofoten,NORWAY.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/IIJAXHKSCC/ffts/XC470808-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IIJAXHKSCC/ffts/XC470808-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IIJAXHKSCC/ffts/XC470808-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IIJAXHKSCC/ffts/XC470808-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:52,?,2018-06-02,2019-05-05,[''],,yes,no
577749,Turdus,iliacus,,Redwing,Albert Lastukhin,Russian Federation,"Botanicheskiy sad (near  Cheboksary), Gorod Cheboksary, Chuvashia",56.0852,47.2663,160,alarm call,//www.xeno-canto.org/577749,//www.xeno-canto.org/577749/download,"XC577749-Turdus iliacus 200708_003, босад, AABB alrm.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577749-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577749-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577749-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577749-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:55,16:00,2020-07-08,2020-07-20,[''],,yes,no
575430,Turdus,iliacus,iliacus,Redwing,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,song,//www.xeno-canto.org/575430,//www.xeno-canto.org/575430/download,XC575430-Grive mauvis chant + A VERIFIER.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575430-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575430-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575430-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575430-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:02,21:00,2020-07-06,2020-07-13,[''],,yes,no
575429,Turdus,iliacus,iliacus,Redwing,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,song,//www.xeno-canto.org/575429,//www.xeno-canto.org/575429/download,XC575429-Grive mauvis chant + A VERIFIER 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575429-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575429-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575429-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575429-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:18,21:00,2020-07-06,2020-07-13,[''],,yes,no
