id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576001,Turdus,philomelos,,Song Thrush,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"male, song",//www.xeno-canto.org/576001,//www.xeno-canto.org/576001/download,XC576001-2020.07.14_08.03_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC576001-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC576001-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC576001-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC576001-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,6:04,08:03,2020-07-14,2020-07-15,"['Phylloscopus collybita', 'Picus viridis', 'Troglodytes troglodytes', 'Pica pica', 'Sylvia atricapilla']",,yes,no
575162,Turdus,philomelos,,Song Thrush,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/575162,//www.xeno-canto.org/575162/download,XC575162-2020.07.10_10.27_02.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575162-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575162-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575162-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575162-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,4:38,10:27,2020-07-10,2020-07-12,"['Troglodytes troglodytes', 'Parus major', 'Phylloscopus collybita', 'Sylvia atricapilla']",Traffic noise,yes,no
575007,Turdus,philomelos,,Song Thrush,Karel H.,Estonia,"Kuressaare Airport (URE) (near  Kuressaare), Saaremaa Parish, Saare maakond",58.2285,22.5024,10,"sex uncertain, song",//www.xeno-canto.org/575007,//www.xeno-canto.org/575007/download,XC575007-20200710-203425-Laulurästas-Rms_põõsastes-StSG.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575007-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575007-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575007-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LFZNDNTEVP/ffts/XC575007-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:00,20:34,2020-07-10,2020-07-11,[''],Somethere in the trees near the road,no,no
574198,Turdus,philomelos,,Song Thrush,Stephan Risch,Germany,"D, NW, LEV, Opladen. Imbacher Weg, Garten und Gartenbrachen",51.0763,7.0154,80,song,//www.xeno-canto.org/574198,//www.xeno-canto.org/574198/download,"XC574198-200707_2517 2205 Singdrossel. D, NW, LEV, Imbach. Staphan Risch.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574198-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574198-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574198-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574198-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:51,22:05,2020-07-07,2020-07-07,[''],Calm windstill evening. Another Song Trush in the background.,unknown,unknown
573721,Turdus,philomelos,,Song Thrush,Jorge Leitão,Netherlands,"Dommeilplantsoen, near Genneper Parken, Eindhoven, Noord-Brabant",51.4269,5.4752,20,"adult, male, song",//www.xeno-canto.org/573721,//www.xeno-canto.org/573721/download,XC573721-2020.07.02_10.33_02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573721-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573721-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573721-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573721-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:14,10:33,2020-07-02,2020-07-05,['Sylvia atricapilla'],Traffic noise,yes,no
573706,Turdus,philomelos,,Song Thrush,Pierre Foulquier,France,"Gatuzières, Lozère, Occitanie",44.1975,3.4867,800,"male, song",//www.xeno-canto.org/573706,//www.xeno-canto.org/573706/download,XC573706-grive_musicienne_song_meyrueis.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573706-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573706-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573706-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC573706-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:47,06:00,2020-07-04,2020-07-05,['Fringilla coelebs'],,no,no
573326,Turdus,philomelos,,Song Thrush,Bodo Sonnenburg,Germany,"Premsdorf (near  Tauche), Brandenburg",52.1604,14.0865,70,song,//www.xeno-canto.org/573326,//www.xeno-canto.org/573326/download,XC573326-singdr0414.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573326-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573326-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573326-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573326-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,2:05,04:14,2020-07-04,2020-07-04,"['Turdus merula', 'Emberiza citrinella']",,no,no
573034,Turdus,philomelos,,Song Thrush,Jacobo Ramil MIllarengo,Spain,"  Sisalde, Ames, A Coruña, Galicia",42.8373,-8.652,30,"referee´s wihistle, song",//www.xeno-canto.org/573034,//www.xeno-canto.org/573034/download,XC573034-200702_01T. philomelos Sisalde 13.00 2.7.20 soleado silbato árbitro.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC573034-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC573034-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC573034-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC573034-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:30,13:00,2020-07-02,2020-07-02,[''],,yes,no
572501,Turdus,philomelos,,Song Thrush,Sławomir Karpicki-Ignatowski,Czech Republic,"Chropyně, Kroměříž, Zlínský kraj",49.3461,17.404,200,"male, song",//www.xeno-canto.org/572501,//www.xeno-canto.org/572501/download,XC572501-20200624_081944 spiewak ok XC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572501-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572501-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572501-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572501-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:42,08:30,2020-06-24,2020-06-30,"['Phylloscopus collybita', 'Sylvia atricapilla']",,no,no
572415,Turdus,philomelos,,Song Thrush,Sławomir Karpicki-Ignatowski,Czech Republic,"Vrbno pod Pradědem, Bruntál, Moravskoslezský kraj",50.1086,17.2579,850,"male, song",//www.xeno-canto.org/572415,//www.xeno-canto.org/572415/download,XC572415-20200624_034512 spiewak CZ.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572415-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572415-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572415-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YXDWPKLRUH/ffts/XC572415-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:32,03:30,2020-06-24,2020-06-29,['Erithacus rubecula'],High pass filter 12dB/1kHz,no,no
