id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
578460,Muscicapa,striata,,Spotted Flycatcher,Martin Grienenberger,France,"Waltenheim, Haut-Rhin, Grand Est",47.6568,7.4228,280,nocturnal flight call,//www.xeno-canto.org/578460,//www.xeno-canto.org/578460/download,XC578460-200723_0220_+12db.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NBCFLWHWNN/ffts/XC578460-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NBCFLWHWNN/ffts/XC578460-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NBCFLWHWNN/ffts/XC578460-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NBCFLWHWNN/ffts/XC578460-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,02:20,2020-07-23,2020-07-23,[''],"Recorded with Olympus LS-P4 and Primo EM-172 microphones
Filters used : High-pass filter 1000 Hz -12dB, Fade in, Fade out, Amplify +12dB",unknown,unknown
577738,Muscicapa,striata,,Spotted Flycatcher,Albert Lastukhin,Russian Federation,"Botanicheskiy sad (near  Cheboksary), Gorod Cheboksary, Chuvashia",56.0856,47.2641,170,"begging call, call-song, male",//www.xeno-canto.org/577738,//www.xeno-canto.org/577738/download,"XC577738-Muscicapa striata 200709_001, AA song-call male.MP3","{'small': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577738-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577738-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577738-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LELYWQKUZX/ffts/XC577738-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,07:00,2020-07-09,2020-07-20,[''],,yes,no
577723,Muscicapa,striata,,Spotted Flycatcher,Thomas Bergman,Sweden,"Stensjön Nature Reserve, Bjuråker, Hälsingland",62.1363,16.2162,320,alarm call,//www.xeno-canto.org/577723,//www.xeno-canto.org/577723/download,XC577723-Grå_flugsnappare_varningsläte_orosläte_Stensjöns_NR_20200710_0721_AA_redigerad_202007.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC577723-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC577723-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC577723-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC577723-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,07:21,2020-07-10,2020-07-20,"['Phylloscopus trochilus', 'Spinus spinus']","Pine forest. Bird calling from high up in a tree. A second bird could be heard in a distance like an echo.

0:00-0:45: Series of alarm calls, *eez-tk(-tk)*",yes,no
571710,Muscicapa,striata,,Spotted Flycatcher,Bodo Sonnenburg,Germany,"Dahme-Spreewald (near  Heidesee), Brandenburg",52.3185,13.767,40,"alarm call, call",//www.xeno-canto.org/571710,//www.xeno-canto.org/571710/download,XC571710-grauschn0429.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571710-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571710-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571710-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC571710-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:25,04:29,2020-06-26,2020-06-26,['Parus major'],,no,no
565442,Muscicapa,striata,,Spotted Flycatcher,Jarek Matusiak,Poland,Kromnów nad Wisłą,52.383,20.359,70,"adult, male, song",//www.xeno-canto.org/565442,//www.xeno-canto.org/565442/download,XC565442-JAREK-MATUSIAK-520 muchołówka szara.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC565442-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC565442-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC565442-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC565442-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:37,21:00,2020-06-04,2020-06-05,[''],,unknown,unknown
565328,Muscicapa,striata,,Spotted Flycatcher,Lars Edenius,Sweden,"Malå Municipality, Västerbottens län",65.1761,18.8739,380,call,//www.xeno-canto.org/565328,//www.xeno-canto.org/565328/download,XC565328-Grå flugsnappare_08.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565328-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565328-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565328-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565328-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,14:00,2020-05-27,2020-06-05,"['Fringilla montifringilla', 'Phylloscopus trochilus']",,no,no
560938,Muscicapa,striata,,Spotted Flycatcher,Stanislas Wroza,France,"Les Bréviaires, Yvelines, Île-de-France",48.7181,1.8306,170,song,//www.xeno-canto.org/560938,//www.xeno-canto.org/560938/download,XC560938-Gobemouche gris chant + 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560938-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560938-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560938-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560938-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:59,05:30,2020-05-22,2020-05-23,[''],,yes,no
560886,Muscicapa,striata,,Spotted Flycatcher,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,"""dzi-tak"", call",//www.xeno-canto.org/560886,//www.xeno-canto.org/560886/download,XC560886-Gobemouche gris cris dzii-tek +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560886-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560886-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560886-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560886-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,08:00,2020-05-17,2020-05-23,[''],,yes,no
560885,Muscicapa,striata,,Spotted Flycatcher,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/560885,//www.xeno-canto.org/560885/download,XC560885-Gobemouche gris chant 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560885-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560885-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560885-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560885-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:12,08:00,2020-05-17,2020-05-23,[''],,yes,no
560882,Muscicapa,striata,,Spotted Flycatcher,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/560882,//www.xeno-canto.org/560882/download,XC560882-Gobemouche gris chant 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560882-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560882-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560882-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC560882-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:48,08:00,2020-05-17,2020-05-23,[''],,yes,no
