id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574667,Columba,oenas,,Stock Dove,Stephan Risch,Germany,"Köln, Schlosspark Stammheim",50.9866,6.9827,50,song,//www.xeno-canto.org/574667,//www.xeno-canto.org/574667/download,"XC574667-200709_2526 2058 Hohltaube, Köln, Schlosspark Stammheim. Stephan Risch.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574667-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574667-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574667-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC574667-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:01,20:58,2020-07-09,2020-07-10,['Psittacula krameri'],Calling out of huge Platanus. Sharing nesting site with Psittacula krameri. Recording lowpass-filtered.,no,no
553844,Columba,oenas,,Stock Dove,James Lidster,Netherlands,"Driel, Overbetuwe, Gelderland",51.9612,5.8104,10,song,//www.xeno-canto.org/553844,//www.xeno-canto.org/553844/download,XC553844-Stock Dove Driel 20200426 0800.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC553844-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC553844-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC553844-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC553844-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:09,08:00,2020-04-26,2020-05-03,[''],,no,no
553778,Columba,oenas,,Stock Dove,Frederik Fluyt,Belgium,"Oud-Heverlee, Vlaams-Brabant, Vlaanderen",50.8126,4.6775,15,"call, song",//www.xeno-canto.org/553778,//www.xeno-canto.org/553778/download,XC553778-duif.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553778-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553778-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553778-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553778-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:14,07:30,2020-05-03,2020-05-03,[''],,no,no
558811,Columba,oenas,,Stock Dove,Lars Edenius,Sweden,"Älgnäs, Skellefteå Municipality, Västerbottens län",64.4343,21.4379,20,song,//www.xeno-canto.org/558811,//www.xeno-canto.org/558811/download,XC558811-Skogsduva_04.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558811-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558811-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558811-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558811-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,06:00,2020-05-16,2020-05-16,['Troglodytes troglodytes'],,no,no
558809,Columba,oenas,,Stock Dove,Lars Edenius,Sweden,"Älgnäs, Skellefteå Municipality, Västerbottens län",64.4343,21.4379,20,song,//www.xeno-canto.org/558809,//www.xeno-canto.org/558809/download,XC558809-Skogsduva_03.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558809-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558809-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558809-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558809-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:27,06:00,2020-05-15,2020-05-16,"['Gallinago gallinago', 'Turdus iliacus', 'Motacilla alba']",,no,no
558808,Columba,oenas,,Stock Dove,Lars Edenius,Sweden,"Älgnäs, Skellefteå Municipality, Västerbottens län",64.4343,21.4379,20,song,//www.xeno-canto.org/558808,//www.xeno-canto.org/558808/download,XC558808-Skogsduva_02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558808-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558808-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558808-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC558808-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:13,06:00,2020-05-15,2020-05-16,"['Botaurus stellaris', 'Tringa glareola', 'Loxia curvirostra']",,no,no
557898,Columba,oenas,,Stock Dove,Stanislas Wroza,France,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",48.3941,2.577,70,song,//www.xeno-canto.org/557898,//www.xeno-canto.org/557898/download,XC557898-Pigeon colombin chant +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557898-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557898-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557898-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557898-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:13,06:00,2020-05-12,2020-05-13,[''],,yes,no
555822,Columba,oenas,,Stock Dove,Joost van Bruggen,Netherlands,Vierhouterbosch,52.3127,5.8351,70,"adult, sex uncertain, song",//www.xeno-canto.org/555822,//www.xeno-canto.org/555822/download,"XC555822-Holenduif, song, Vierhouterbosch,050520, 0807 uur.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC555822-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC555822-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC555822-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC555822-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:59,08:07,2020-05-05,2020-05-09,[''],,no,no
554737,Columba,oenas,,Stock Dove,Alexander Henderson,United Kingdom,"Ramscombe Bottom, Chilcombe, Bath and North East Somerset, England",51.4186,-2.3307,110,"adult, song",//www.xeno-canto.org/554737,//www.xeno-canto.org/554737/download,XC554737-200426_0755_Ranscombe_StockDove_mp3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC554737-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC554737-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC554737-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC554737-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,12:06,08:55,2020-04-26,2020-05-06,"['Parus major', 'Phylloscopus collybita', 'Troglodytes troglodytes', 'Turdus merula', 'Regulus regulus', 'Columba palumbus', 'Coloeus monedula', 'Buteo buteo', 'Fringilla coelebs', 'Phasianus colchicus', 'Corvus corone', 'Sylvia atricapilla', 'Erithacus rubecula', 'Certhia familiaris', 'Cyanistes caeruleus']","Stock doves do not sing very often. This one sings verses at: 
0:00 and
2:07
It then moves to another further away tree and sings again at: 
8:24
9:22
10:26
11:08
11:54

There are also wood pigeons singing which have quite a different rhythm. This is best heard at 5:38. 
Eq adjusted below 200 Hz to remove some low rumble including handling noise. Recorded in a small but steep wood mainly with Ash and Field Maple but large oaks were also present.",no,no
541964,Columba,oenas,,Stock Dove,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/541964,//www.xeno-canto.org/541964/download,XC541964-Pigeon colombin chant +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541964-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541964-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541964-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541964-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,07:00,2020-04-05,2020-04-05,[''],,yes,no
541963,Columba,oenas,,Stock Dove,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/541963,//www.xeno-canto.org/541963/download,XC541963-Pigeon colombin chant + 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541963-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541963-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541963-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541963-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:44,07:00,2020-04-05,2020-04-05,[''],,yes,no
541962,Columba,oenas,,Stock Dove,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/541962,//www.xeno-canto.org/541962/download,XC541962-Pigeon colombin chant + 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541962-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541962-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541962-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541962-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:39,07:00,2020-04-05,2020-04-05,[''],,yes,no
541959,Columba,oenas,,Stock Dove,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/541959,//www.xeno-canto.org/541959/download,XC541959-Pigeon colombin chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541959-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541959-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541959-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC541959-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,07:00,2020-04-05,2020-04-05,[''],,yes,no
