id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574941,Strix,aluco,,Tawny Owl,Joan Balfagon,Spain,"Campolivar(Godella), Valencia, Comunidad Valenciana",39.5285,-0.4281,70,song,//www.xeno-canto.org/574941,//www.xeno-canto.org/574941/download,XC574941-Cárabo (online-audio-converter.com).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JXVXGLCGKT/ffts/XC574941-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JXVXGLCGKT/ffts/XC574941-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JXVXGLCGKT/ffts/XC574941-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JXVXGLCGKT/ffts/XC574941-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:51,01:30,2020-07-02,2020-07-11,[''],,no,no
574430,Strix,aluco,,Tawny Owl,Christian Kerihuel,France,"Coulaines, Sarthe, Pays de la Loire",48.0228,0.1995,50,flight call,//www.xeno-canto.org/574430,//www.xeno-canto.org/574430/download,XC574430-hulotte-3h30-8juillet20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC574430-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC574430-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC574430-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC574430-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,03:30,2020-07-08,2020-07-08,[''],,unknown,unknown
573532,Strix,aluco,,Tawny Owl,Petter Kappel,Sweden,"Strängnäs Municipality, Södermanlands län",59.3369,17.1768,20,begging call,//www.xeno-canto.org/573532,//www.xeno-canto.org/573532/download,"XC573532-20200704_144142_namnlöst_Gesta gård, kattuggla.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573532-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573532-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573532-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC573532-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:35,14:40,2020-07-04,2020-07-05,[''],,no,unknown
572566,Strix,aluco,,Tawny Owl,Jessica Peruzzo,Italy,"Trissino, Provincia di Vicenza, Veneto",45.5591,11.3742,120,"begging call, juvenile",//www.xeno-canto.org/572566,//www.xeno-canto.org/572566/download,XC572566-Allocco pull 12 giugni 22.19.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572566-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572566-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572566-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572566-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:20,22:19,2020-06-12,2020-06-30,[''],,no,no
571495,Strix,aluco,,Tawny Owl,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,nocturnal flight call,//www.xeno-canto.org/571495,//www.xeno-canto.org/571495/download,XC571495-Chouette hulotte NFC +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571495-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571495-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571495-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571495-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,05:00,2020-06-22,2020-06-25,[''],Sound trap,no,no
570101,Strix,aluco,,Tawny Owl,MERCIER Christophe,France,"Panazol, Haute-Vienne, Nouvelle-Aquitaine",45.8271,1.293,300,song,//www.xeno-canto.org/570101,//www.xeno-canto.org/570101/download,XC570101-05.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC570101-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC570101-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC570101-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC570101-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,04:04,2020-06-20,2020-06-20,[''],,no,no
578551,Strix,aluco,,Tawny Owl,Daniele Baroni,Italy,"Bellecombe, Chatillon, Valle d&#039;Aosta",45.7354,7.6444,700,song,//www.xeno-canto.org/578551,//www.xeno-canto.org/578551/download,XC578551-2020_07_23_23_56_00 allocco bellecombe_rev.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC578551-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC578551-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC578551-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC578551-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,23:56,2020-07-23,2020-07-24,[''],Recorded with a smartphone microphone.,yes,yes
577790,Strix,aluco,,Tawny Owl,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.178,0.3973,460,"call, female, male, song",//www.xeno-canto.org/577790,//www.xeno-canto.org/577790/download,XC577790-STRALU_200720_6082_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577790-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577790-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577790-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577790-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,23:11,2020-07-20,2020-07-20,[''],"Tascam DR05 - Dodotronic parabole. In first, the female call and at the end the male song",no,no
577788,Strix,aluco,,Tawny Owl,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.178,0.3973,460,"call, juvenile",//www.xeno-canto.org/577788,//www.xeno-canto.org/577788/download,XC577788-STRALU_200720_6080_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577788-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577788-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577788-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577788-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,22:08,2020-07-20,2020-07-20,[''],Tascam DR05 - Dodotronic parabole,no,no
577769,Strix,aluco,,Tawny Owl,Alek Duda,Poland,"Katowice Voivodeship (near  Katowice), Katowice, Śląskie",50.2291,19.0059,300,"female, male",//www.xeno-canto.org/577769,//www.xeno-canto.org/577769/download,XC577769-puszczyk2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577769-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577769-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577769-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577769-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,22:30,2020-07-19,2020-07-20,[''],,no,no
577768,Strix,aluco,,Tawny Owl,Alek Duda,Poland,"Katowice Voivodeship (near  Katowice), Katowice, Śląskie",50.2291,19.0059,300,"adult, male, song",//www.xeno-canto.org/577768,//www.xeno-canto.org/577768/download,XC577768-puszczyk1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577768-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577768-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577768-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XRTKNQYGFZ/ffts/XC577768-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,22:30,2020-07-19,2020-07-20,[''],,no,no
577655,Strix,aluco,,Tawny Owl,Ireneusz Oleksik,Poland,"Gmina Uście Gorlickie (near  Wysowa-Zdrój), gorlicki, Małopolskie",49.4506,21.185,650,"call, sex uncertain",//www.xeno-canto.org/577655,//www.xeno-canto.org/577655/download,XC577655-puszczyk Wysowa 12.07.2020   23.45.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC577655-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC577655-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC577655-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC577655-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,23:45,2020-07-12,2020-07-20,[''],"The same birds as XC577651. Mixed mountain forest, high pass filter 300 Hz 48 dB, ZOOM H1n.",no,no
577482,Strix,aluco,,Tawny Owl,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.1779,0.3939,480,"call, female",//www.xeno-canto.org/577482,//www.xeno-canto.org/577482/download,XC577482-STRALU_200714_6048_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577482-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577482-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577482-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577482-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:54,22:08,2020-07-14,2020-07-19,['Erithacus rubecula'],Tascam DR05 and Dodotronic parabole,no,no
