id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573534,Poecile,montanus,,Willow Tit,Giuseppe Speranza,Italy,"Trento, Trentino, Trentino-Alto Adige",46.0095,11.0355,1600,"call, song",//www.xeno-canto.org/573534,//www.xeno-canto.org/573534/download,XC573534-200704_1496-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573534-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573534-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573534-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573534-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:54,07:30,2020-07-04,2020-07-05,"['Sylvia atricapilla', 'Anthus trivialis']",Two or more males singing,yes,no
573533,Poecile,montanus,,Willow Tit,Giuseppe Speranza,Italy,"Trento, Trentino, Trentino-Alto Adige",46.0095,11.0355,1600,"call, song",//www.xeno-canto.org/573533,//www.xeno-canto.org/573533/download,XC573533-200704_1495-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573533-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573533-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573533-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573533-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:37,07:30,2020-07-04,2020-07-05,"['Periparus ater', 'Sylvia atricapilla']",,yes,no
574908,Poecile,montanus,,Willow Tit,Alain Malengreau,Belgium,"Hensies, Hainaut, Wallonie",50.4645,3.6825,20,call,//www.xeno-canto.org/574908,//www.xeno-canto.org/574908/download,XC574908-Mésange boréale 200524_1600_1CA_Marais d'Harchies_Digue d'Harchies_Mixpre 510.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574908-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574908-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574908-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574908-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:23,16:00,2020-05-24,2020-07-11,[''],"HP Filter 1000Hz, -6dB, Telinga Pro 5 + Mixpre 3",yes,no
573270,Poecile,montanus,,Willow Tit,Alain Malengreau,Belgium,"Hensies, Hainaut, Wallonie",50.4548,3.6707,40,call,//www.xeno-canto.org/573270,//www.xeno-canto.org/573270/download,XC573270-Mésange boréale 200603_1000_0CA_Marais d'Harchies_Mur des plaques_Mixpre 722.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573270-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573270-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573270-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573270-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:01,10:00,2020-06-03,2020-07-03,[''],Telinga Pro 5 + Mixpre 3,yes,no
570709,Poecile,montanus,restrictus,Willow Tit,Anon Torimi,Japan,Kyoto Prefecture,,,?,call,//www.xeno-canto.org/570709,//www.xeno-canto.org/570709/download,XC570709-kogara_c_200622a_sub.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570709-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570709-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570709-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570709-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,06:25,2020-06-22,2020-06-22,[''],"Extracted from XC570708 for better visualization.
This individual repeated this voice before this recording and
sounded unfamiliar to me.",yes,no
570708,Poecile,montanus,restrictus,Willow Tit,Anon Torimi,Japan,Kyoto Prefecture,,,?,"call, song",//www.xeno-canto.org/570708,//www.xeno-canto.org/570708/download,XC570708-kogara_c_200622_sub.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570708-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570708-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570708-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC570708-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:45,06:25,2020-06-22,2020-06-22,"['Picus awokera', 'Ficedula narcissina', 'Zosterops japonicus']","Foraging bird.  Most of voice was from this bird and the background
was only minor.  Mostly call and some short song.
Some parts were cut to avoid very loud voice
from background species (not listed in this recording).",yes,no
569313,Poecile,montanus,restrictus,Willow Tit,Anon Torimi,Japan,Kyoto Prefecture,,,?,"call, song",//www.xeno-canto.org/569313,//www.xeno-canto.org/569313/download,XC569313-kogara_sc_200617b_sub.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC569313-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC569313-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC569313-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GNYVMVEMZX/ffts/XC569313-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,07:35,2020-06-17,2020-06-17,"['Ficedula narcissina', 'Hypsipetes amaurotis']",,no,no
565093,Poecile,montanus,,Willow Tit,PT xiao,China,"Da'anshan, Beijing, Beijing Shi",39.8775,115.7973,1000,"alarm call, call",//www.xeno-canto.org/565093,//www.xeno-canto.org/565093/download,XC565093- - 20200601 - 820 Forestry Station.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LOAVJDRPYN/ffts/XC565093-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LOAVJDRPYN/ffts/XC565093-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LOAVJDRPYN/ffts/XC565093-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LOAVJDRPYN/ffts/XC565093-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:52,07:00,2020-06-01,2020-06-04,[''],,yes,no
561089,Poecile,montanus,,Willow Tit,Joost van Bruggen,Netherlands,"Gemeentebosch, Vierhouten",52.3263,5.8606,40,"adult, sex uncertain, song",//www.xeno-canto.org/561089,//www.xeno-canto.org/561089/download,"XC561089-Matkop, song, Gemeentebosch, Vierhouten, 140520, 0717 uur.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC561089-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC561089-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC561089-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RNMRWBXEZJ/ffts/XC561089-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:30,07:17,2020-05-14,2020-05-23,[''],,yes,no
555006,Poecile,montanus,,Willow Tit,Niels Van Doninck,Belgium,"De Zegge (near  Geel), Antwerpen, Vlaanderen",51.1967,4.9361,10,"adult, song",//www.xeno-canto.org/555006,//www.xeno-canto.org/555006/download,XC555006-Matkop 2020-05-07 0745 3a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555006-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555006-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555006-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555006-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,07:45,2020-05-07,2020-05-07,"['Branta canadensis', 'Acrocephalus scirpaceus', 'Turdus merula', 'Troglodytes troglodytes', 'Phylloscopus collybita', 'Poecile montanus']",,yes,no
