id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575763,Phylloscopus,trochilus,acredula,Willow Warbler,Stanislas Wroza,Estonia,"Koigi, Saaremaa Parish, Saare maakond",58.4927,22.9727,10,song,//www.xeno-canto.org/575763,//www.xeno-canto.org/575763/download,XC575763-Pouillot fitis accredula a verifier chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575763-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575763-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575763-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575763-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,14:00,2020-07-10,2020-07-14,[''],,yes,no
572097,Phylloscopus,trochilus,,Willow Warbler,Roy Slaterus,Netherlands,"Bergen aan Zee, Bergen, Noord-Holland",52.672,4.6523,10,"adult, call",//www.xeno-canto.org/572097,//www.xeno-canto.org/572097/download,XC572097-willow_warbler_200625_RS.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PHIRUOQRHT/ffts/XC572097-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PHIRUOQRHT/ffts/XC572097-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PHIRUOQRHT/ffts/XC572097-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PHIRUOQRHT/ffts/XC572097-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,09:37,2020-06-25,2020-06-28,[''],Pair of adult Willow Warblers carrying food (to unseen young).,yes,no
564292,Phylloscopus,trochilus,,Willow Warbler,Anders Larsson,Sweden,"Rängs Sand, Vellinge Municipality, Skåne län",55.4065,13.0005,10,aberrant,//www.xeno-canto.org/564292,//www.xeno-canto.org/564292/download,XC564292-Joakim hagströms fågel.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WVEZZVOKFC/ffts/XC564292-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WVEZZVOKFC/ffts/XC564292-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WVEZZVOKFC/ffts/XC564292-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WVEZZVOKFC/ffts/XC564292-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:46,16:30,2020-05-11,2020-06-02,[''],Recorded with cell phone by Joakim Hagström. Described as a willow warbler withe black legs.,yes,unknown
559048,Phylloscopus,trochilus,,Willow Warbler,riou,France,"Plévin, Côtes-d'Armor, Bretagne",48.2272,-3.5041,190,"adult, call",//www.xeno-canto.org/559048,//www.xeno-canto.org/559048/download,XC559048-FITIS CRIS 16mai 11h30.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559048-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559048-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559048-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559048-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,10:30,2020-05-16,2020-05-17,"['Parus major', 'Phylloscopus collybita']",,yes,no
559046,Phylloscopus,trochilus,,Willow Warbler,riou,France,"Plévin, Côtes-d'Armor, Bretagne",48.2272,-3.5041,190,"adult, male, song",//www.xeno-canto.org/559046,//www.xeno-canto.org/559046/download,XC559046-FITIS 16mai 11h45.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559046-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559046-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559046-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559046-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,11:00,2020-05-16,2020-05-17,['Sylvia borin'],,yes,no
556112,Phylloscopus,trochilus,,Willow Warbler,Harald Knödler,Germany,"Mittelsachsen (near  Freiberg), Chemnitz, Sachsen",50.8919,13.3144,460,song,//www.xeno-canto.org/556112,//www.xeno-canto.org/556112/download,XC556112-Fitis_1 Laubsänger 2 (1).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TLYFJKFXUH/ffts/XC556112-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TLYFJKFXUH/ffts/XC556112-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TLYFJKFXUH/ffts/XC556112-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TLYFJKFXUH/ffts/XC556112-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:10,06:44,2020-05-10,2020-05-10,"['Phylloscopus collybita', 'Parus major', 'Sylvia atricapilla', 'Turdus merula', 'Columba palumbus', 'Corvus cornix']","*Phylloscopus trochilus*, singing in the morning on a clear day while sitting on a birch tree at about 10 metres height. The site is located right next to a main path of the municipal woods of Freiberg (Saxony) with mixed, high but not very dense vegetation.",yes,no
553741,Phylloscopus,trochilus,,Willow Warbler,Stanislas Wroza,France,"Vic-la-Gardiole, Hérault, Occitanie",43.4692,3.8245,0,song,//www.xeno-canto.org/553741,//www.xeno-canto.org/553741/download,XC553741-2018-04-02 Aresquies pouillot fitis longue série de chants.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553741-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553741-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553741-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553741-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:08,07:00,2018-04-02,2020-05-03,[''],,yes,no
553739,Phylloscopus,trochilus,,Willow Warbler,Stanislas Wroza,France,"Vic-la-Gardiole, Hérault, Occitanie",43.4692,3.8245,0,song,//www.xeno-canto.org/553739,//www.xeno-canto.org/553739/download,XC553739-2018-04-02 Aresquies pouillot fitis chant tout du long.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553739-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553739-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553739-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553739-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,9:52,07:00,2018-04-02,2020-05-03,[''],,yes,no
553713,Phylloscopus,trochilus,,Willow Warbler,Stanislas Wroza,France,Le Grau du Roi,43.5067,4.1273,0,call,//www.xeno-canto.org/553713,//www.xeno-canto.org/553713/download,XC553713-2018-03-31 Espiguette pouillot fitis cri.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553713-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553713-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553713-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553713-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:07,07:00,2018-03-31,2020-05-03,[''],,no,no
552725,Phylloscopus,trochilus,,Willow Warbler,AUDEVARD Aurélien,France,"Hyères, Var, Provence-Alpes-Côte d'Azur",43.1251,6.2152,0,call,//www.xeno-canto.org/552725,//www.xeno-canto.org/552725/download,XC552725-Pouillot fitis cris 30042020 - 16h10 - Hyeres.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552725-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552725-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552725-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC552725-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,16:56,2020-04-30,2020-05-01,"['Pica pica', 'Luscinia megarhynchos', 'Carduelis carduelis', 'Cisticola juncidis']",,no,no
