id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
578229,Tringa,glareola,,Wood Sandpiper,Alan Dalton,Sweden,Hällögern; Västerbotten,64.191,21.113,25,flight call,//www.xeno-canto.org/578229,//www.xeno-canto.org/578229/download,XC578229-Wood Sandpiper 22nd July.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC578229-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC578229-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC578229-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC578229-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,02:30,2020-07-22,2020-07-22,['Sterna paradisaea'],,no,no
577716,Tringa,glareola,,Wood Sandpiper,brickegickel,Germany,"Landkreis Vorpommern-Greifswald (near  Bugewitz), Mecklenburg-Vorpommern",53.8037,13.8248,0,call,//www.xeno-canto.org/577716,//www.xeno-canto.org/577716/download,XC577716-200712_01BWLXC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC577716-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC577716-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC577716-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MCFGTDXKHO/ffts/XC577716-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,06:00,2020-07-12,2020-07-20,['Acrocephalus schoenobaenus'],,no,no
577273,Tringa,glareola,,Wood Sandpiper,Alan Dalton,Sweden,Hällögern; Västerbotten,64.191,21.113,0,flight call,//www.xeno-canto.org/577273,//www.xeno-canto.org/577273/download,XC577273-Wood Sand Gulls Terns.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577273-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577273-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577273-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577273-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:43,03:30,2020-07-18,2020-07-19,[''],,no,no
574898,Tringa,glareola,,Wood Sandpiper,Frédéric Cazaban,France,"Tarnos, Landes, Nouvelle-Aquitaine",43.5352,-1.4475,40,nocturnal flight call,//www.xeno-canto.org/574898,//www.xeno-canto.org/574898/download,XC574898-2020071011_Tarnos_Frédéric Cazaban_chevalier sylvain TB 0046.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574898-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574898-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574898-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/COLBPWBRIF/ffts/XC574898-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,00:46,2020-07-11,2020-07-11,[''],"Filters used :  high pass filter : 1000 kHz - 12 dB, amplify : 15dB, fade in, fade out",no,no
573246,Tringa,glareola,,Wood Sandpiper,Sreekumar Chirukandoth,India,"Chennai, Kanchipuram, Tamil Nadu",12.9305,80.1512,20,"adult, alarm call, flight call",//www.xeno-canto.org/573246,//www.xeno-canto.org/573246/download,XC573246-WoodSandpiper_20200104_0830b.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573246-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573246-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573246-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573246-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,08:30,2020-01-04,2020-07-03,"['Corvus splendens', 'Acridotheres tristis', 'Egretta garzetta', 'Merops philippinus', 'Motacilla citreola']",A group of birds squabbling and flying  https://ebird.org/checklist/S62983457,yes,no
573243,Tringa,glareola,,Wood Sandpiper,Sreekumar Chirukandoth,India,"Chennai, Kanchipuram, Tamil Nadu",12.9305,80.1512,20,"adult, alarm call, flight call",//www.xeno-canto.org/573243,//www.xeno-canto.org/573243/download,XC573243-WoodSandpiper_20200104_0830.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573243-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573243-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573243-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HRYIVDQHBC/ffts/XC573243-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,08:30,2020-01-04,2020-07-03,"['Corvus splendens', 'Acridotheres tristis', 'Halcyon smyrnensis', 'Himantopus himantopus', 'Centropus sinensis', 'Motacilla citreola']",The single 'chip-chip' note repeated  a warning call by a single adult that aws observing me approach and walking away. See details here  https://ebird.org/checklist/S62983457,yes,no
565576,Tringa,glareola,,Wood Sandpiper,Thomas Bergman,Sweden,"Stensjön Nature Reserve, Bjuråker, Hälsingland",62.1373,16.2455,340,song,//www.xeno-canto.org/565576,//www.xeno-canto.org/565576/download,XC565576-Grönbena_sång_Stensjöns_NR_Stensjön_20200522_0628_AA_redigerad_202006.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC565576-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC565576-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC565576-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC565576-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,06:28,2020-05-22,2020-06-06,"['Spinus spinus', 'Motacilla flava', 'Picoides tridactylus']","Small lake surrounded by mire and taiga. Two birds fly criss-cross across where the lake has one of its outlets.

0:00-0:35: Song flights

* Song stanzas, *tü-**lüll**ti**lüll**ti**lüll**ti**lüll**ti…* at 0:00.6 and 0:29.8

* Song (?), short and dry sounds repeated, *te-te-te-te-te...* at 0:06.4. It's like a preface to the normal song stanza but that doesn't take off. A similar type of sound can be found [in this recording](https://www.xeno-canto.org/216978).",yes,no
565297,Tringa,glareola,,Wood Sandpiper,Lars Edenius,Sweden,"Malå Municipality, Västerbottens län",65.1761,18.8739,380,song,//www.xeno-canto.org/565297,//www.xeno-canto.org/565297/download,XC565297-Grönbena_13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565297-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565297-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565297-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC565297-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,22:00,2020-05-26,2020-06-05,[''],,no,no
562056,Tringa,glareola,,Wood Sandpiper,Thomas Bergman,Sweden,"Stensjön Nature Reserve, Bjuråker, Hälsingland",62.1371,16.2479,340,"call, song",//www.xeno-canto.org/562056,//www.xeno-canto.org/562056/download,XC562056-Grönbena_sång_Stensjöns_NR_Stensjön_20200522_0624_AA_redigerad_202005.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC562056-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC562056-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC562056-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YUKZIHHVTY/ffts/XC562056-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,06:24,2020-05-22,2020-05-25,"['Picoides tridactylus', 'Motacilla flava', 'Fringilla coelebs', 'Anthus trivialis', 'Phylloscopus trochilus']","Small lake surrounded by mire and taiga. Two birds fly criss-cross across where the lake has one of its outlets.


0:00-0:47: Song flights.
 
* Song stanzas, *tü-**lüll**ti**lüll**ti**lüll**ti**lüll**ti...*, at 0:02.1, 0:31.6 and 0:40.

* Calls, *chiff-if-if*, at 0:10 and 0:13.8.",yes,no
559847,Tringa,glareola,,Wood Sandpiper,Eetu Paljakka,Finland,"Säkäjärvi, Miehikkälä, Kymenlaakso",60.6539,27.6174,20,flight call,//www.xeno-canto.org/559847,//www.xeno-canto.org/559847/download,XC559847-Default Project.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC559847-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC559847-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC559847-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/INCBVJJLBJ/ffts/XC559847-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,12:05,2020-05-14,2020-05-20,"['Ficedula hypoleuca', 'Fringilla coelebs', 'Emberiza schoeniclus', 'Phylloscopus trochilus']",,yes,no
