id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575997,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran (near  Viella), Lleida, Catalunya",42.7027,0.7924,1000,song,//www.xeno-canto.org/575997,//www.xeno-canto.org/575997/download,XC575997-coal tit 12 15.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575997-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575997-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575997-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575997-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,17:30,2020-07-12,2020-07-15,[''],,yes,no
575996,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran (near  Viella), Lleida, Catalunya",42.7027,0.7924,1000,song,//www.xeno-canto.org/575996,//www.xeno-canto.org/575996/download,XC575996-coal tit 12 14.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575996-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575996-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575996-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575996-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,17:30,2020-07-12,2020-07-15,[''],,yes,no
575995,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran (near  Viella), Lleida, Catalunya",42.7027,0.7924,1000,song,//www.xeno-canto.org/575995,//www.xeno-canto.org/575995/download,XC575995-coal tit 12 13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575995-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575995-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575995-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575995-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:33,17:30,2020-07-12,2020-07-15,[''],,yes,no
575994,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran (near  Viella), Lleida, Catalunya",42.7027,0.7924,1000,song,//www.xeno-canto.org/575994,//www.xeno-canto.org/575994/download,XC575994-coal tit 12 12.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575994-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575994-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575994-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575994-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,17:30,2020-07-12,2020-07-15,[''],,yes,no
575895,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575895,//www.xeno-canto.org/575895/download,XC575895-mii 12 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575895-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575895-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575895-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575895-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,15:00,2020-07-12,2020-07-14,[''],,no,no
575893,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575893,//www.xeno-canto.org/575893/download,XC575893-coal tit 12 11.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575893-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575893-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575893-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575893-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,15:00,2020-07-12,2020-07-14,[''],,yes,no
575892,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575892,//www.xeno-canto.org/575892/download,XC575892-coal tit 12 10.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575892-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575892-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575892-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575892-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:23,15:00,2020-07-12,2020-07-14,[''],,yes,no
575891,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575891,//www.xeno-canto.org/575891/download,XC575891-coal tit 12 9.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575891-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575891-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575891-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575891-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,15:00,2020-07-12,2020-07-14,[''],,yes,no
575890,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575890,//www.xeno-canto.org/575890/download,XC575890-coal tit 12 8.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575890-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575890-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575890-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575890-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,15:00,2020-07-12,2020-07-14,[''],,yes,no
575889,Periparus,ater,,Coal Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575889,//www.xeno-canto.org/575889/download,XC575889-mi 12 12.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575889-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575889-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575889-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575889-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,15:00,2020-07-12,2020-07-14,[''],,yes,no
