id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
572567,Cuculus,canorus,,Common Cuckoo,Jessica Peruzzo,Italy,"Creazzo, Provincia di Vicenza, Veneto",45.5308,11.4663,30,"begging call, juvenile",//www.xeno-canto.org/572567,//www.xeno-canto.org/572567/download,XC572567-Cuculo 17 giu 15.04.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572567-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572567-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572567-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572567-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:14,15:00,2020-06-17,2020-06-30,"['Phoenicurus phoenicurus', 'Tachybaptus ruficollis']",,yes,no
572091,Cuculus,canorus,,Common Cuckoo,Byoungsoon Jang,South Korea,"Sunchang, Jeollabuk-do",35.4715,127.0101,320,song,//www.xeno-canto.org/572091,//www.xeno-canto.org/572091/download,XC572091-200626_18.30(common cuckoo).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572091-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572091-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572091-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572091-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:21,18:30,2020-06-26,2020-06-28,['Pitta nympha'],,no,no
576590,Cuculus,canorus,,Common Cuckoo,Veronique BOUQUELLE,France,"Vendœuvres, Indre, Centre-Val de Loire",46.757,1.361,120,"begging call, juvenile, sex uncertain",//www.xeno-canto.org/576590,//www.xeno-canto.org/576590/download,XC576590-17Juil20Brenne2CoucousTarP.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/TWJTOJCEUH/ffts/XC576590-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TWJTOJCEUH/ffts/XC576590-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TWJTOJCEUH/ffts/XC576590-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TWJTOJCEUH/ffts/XC576590-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,14:30,2020-07-17,2020-07-17,['Saxicola rubicola'],"Two juvenile Cuckoos begging for food, and a unique European Stonechat couple feeding them both.",yes,no
575089,Cuculus,canorus,canorus,Common Cuckoo,Richard Schnürmacher,Slovakia,"Jakubov, Malacky, Bratislavský kraj",48.379,16.9281,160,"adult, call, male, song",//www.xeno-canto.org/575089,//www.xeno-canto.org/575089/download,XC575089-C. canorus 31.5.2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PZMKYQNLVP/ffts/XC575089-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PZMKYQNLVP/ffts/XC575089-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PZMKYQNLVP/ffts/XC575089-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PZMKYQNLVP/ffts/XC575089-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:31,05:30,2020-05-31,2020-07-12,['Anthus trivialis'],a by-product of night recording of European Nightjar,unknown,unknown
574155,Cuculus,canorus,,Common Cuckoo,Alexander Henderson,United Kingdom,"Westhay Moor, Somerset, England",51.1916,-2.788,0,"call, song",//www.xeno-canto.org/574155,//www.xeno-canto.org/574155/download,XC574155-200517_0856_Westhay_Cuckoo_mp3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC574155-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC574155-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC574155-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC574155-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,11:04,04:58,2020-05-17,2020-07-07,"['Acrocephalus schoenobaenus', 'Turdus merula', 'Corvus frugilegus', 'Troglodytes troglodytes', 'Columba palumbus', 'Botaurus stellaris', 'Branta canadensis', 'Phasianus colchicus', 'Fulica atra', 'Corvus corone', 'Tachybaptus ruficollis', 'Phylloscopus collybita', 'Gallinula chloropus']","Singing by a reedbed. The Cuckoo started to sing a few minutes before this recording which was captured in the background of XC574154. I moved just a few metres away from the singing Sedge Warbler to focus on the Cuckoo. 

Recorded on a lovely still morning with an Olympus LS-12 and Sennheiser ME66 handheld. Edited below 200 Hz to remove light handling noise and quiet low drone sounds from a distant vehicle.",no,no
574011,Cuculus,canorus,,Common Cuckoo,Iván Vega ,Spain,"Alt Empordà (near  Castelló d'Empúries), Girona, Catalunya",42.2144,3.1006,0,"adult, sex uncertain, song",//www.xeno-canto.org/574011,//www.xeno-canto.org/574011/download,XC574011-cuco-aiguamolls.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC574011-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC574011-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC574011-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JLFEFPLKYB/ffts/XC574011-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,17:00,2020-06-27,2020-07-06,[''],"Grabado en el camino de acceso als estanys del Matà.
Grabado con una Olympus LS-P4 sin parábola ni micro.",no,no
573551,Cuculus,canorus,,Common Cuckoo,Hannu Varkki,Finland,"Mustavuori, Helsinki, Uusimaa",60.2336,25.1498,0,song,//www.xeno-canto.org/573551,//www.xeno-canto.org/573551/download,XC573551-CUCCAN2020-06-08-0930-m.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573551-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573551-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573551-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573551-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:48,09:30,2020-06-08,2020-07-05,"['Columba palumbus', 'Turdus iliacus', 'Turdus merula', 'Phylloscopus sibilatrix', 'Phylloscopus trochilus', 'Sylvia atricapilla']",,yes,no
573264,Cuculus,canorus,,Common Cuckoo,Alain Malengreau,Belgium,"Hensies, Hainaut, Wallonie",50.4547,3.6714,30,"male, song",//www.xeno-canto.org/573264,//www.xeno-canto.org/573264/download,XC573264-Coucou d'Europe 200603_1100_0SA_Marais d'Harchies_Sartis_Mixpre 737.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573264-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573264-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573264-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573264-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,11:00,2020-06-03,2020-07-03,[''],"Unedited recording,  Telinga Pro 5 + Mixpre 3",no,no
572363,Cuculus,canorus,,Common Cuckoo,Marcel Gil Velasco,Spain,"Tregurà, Girona, Catalunya",42.3576,2.2413,2000,"adult, begging call, male",//www.xeno-canto.org/572363,//www.xeno-canto.org/572363/download,XC572363-MGILVE_0337.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/METIPYBSWG/ffts/XC572363-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/METIPYBSWG/ffts/XC572363-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/METIPYBSWG/ffts/XC572363-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/METIPYBSWG/ffts/XC572363-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:44,09:00,2020-06-28,2020-06-29,['Anthus spinoletta'],Chick begging to a Water Pipit.,yes,no
572326,Cuculus,canorus,,Common Cuckoo,Bodo Sonnenburg,Germany,"Oder-Spree (near  Storkow (Mark)), Brandenburg",52.2785,13.9352,40,song,//www.xeno-canto.org/572326,//www.xeno-canto.org/572326/download,XC572326-kuckuck0508.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572326-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572326-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572326-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572326-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:24,05:08,2020-06-29,2020-06-29,"['Sylvia atricapilla', 'Phylloscopus collybita', 'Parus major']",,no,no
