id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574933,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,song,//www.xeno-canto.org/574933,//www.xeno-canto.org/574933/download,XC574933-comm night 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574933-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574933-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574933-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574933-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:00,2020-06-07,2020-07-11,[''],,unknown,unknown
574932,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,song,//www.xeno-canto.org/574932,//www.xeno-canto.org/574932/download,XC574932-common noght 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574932-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574932-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574932-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574932-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:00,2020-06-07,2020-07-11,[''],,unknown,unknown
574927,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,song,//www.xeno-canto.org/574927,//www.xeno-canto.org/574927/download,XC574927-comnoghtingale 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574927-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574927-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574927-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574927-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,09:00,2020-06-13,2020-07-11,[''],,unknown,unknown
571964,Luscinia,megarhynchos,,Common Nightingale,Jean-François Azens,France,"Chorges, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.532,6.2556,1000,"adult, male, song",//www.xeno-canto.org/571964,//www.xeno-canto.org/571964/download,XC571964-Rossignol philomèle Chaussins 26-06-2020 12h51m49s.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC571964-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC571964-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC571964-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC571964-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:46,13:00,2020-06-26,2020-06-27,[''],,no,no
571942,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Tarragonès (near  Salou), Tarragona, Catalunya",41.0847,1.1214,10,song,//www.xeno-canto.org/571942,//www.xeno-canto.org/571942/download,XC571942-rossinyol 24 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571942-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571942-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571942-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571942-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,09:30,2020-06-24,2020-06-27,[''],,unknown,unknown
568048,Luscinia,megarhynchos,,Common Nightingale,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7781,-3.8113,1100,call,//www.xeno-canto.org/568048,//www.xeno-canto.org/568048/download,XC568048-10 jun. 11.3 ruiseñor call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568048-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568048-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568048-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568048-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:43,10:30,2020-06-10,2020-06-13,['Oriolus oriolus'],Grabado en bosque de ribera  con mucho arbusto. Grabación amplificada,no,no
568046,Luscinia,megarhynchos,,Common Nightingale,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7781,-3.8113,1100,call,//www.xeno-canto.org/568046,//www.xeno-canto.org/568046/download,XC568046-10 jun. 10.26 ruiseñor call-oropendola.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568046-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568046-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568046-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568046-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:30,10:26,2020-06-10,2020-06-13,['Oriolus oriolus'],Grabado en bosque de ribera  con mucho arbusto. Grabación amplificada,no,no
567363,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,"call, subsong",//www.xeno-canto.org/567363,//www.xeno-canto.org/567363/download,XC567363-rossinyol 11 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567363-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567363-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567363-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567363-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:47,11:30,2020-06-11,2020-06-11,[''],,unknown,unknown
567362,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,"call, subsong",//www.xeno-canto.org/567362,//www.xeno-canto.org/567362/download,XC567362-rossinyol 11 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567362-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567362-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567362-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567362-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:47,11:30,2020-06-11,2020-06-11,[''],,unknown,unknown
567361,Luscinia,megarhynchos,,Common Nightingale,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,"call, subsong",//www.xeno-canto.org/567361,//www.xeno-canto.org/567361/download,XC567361-rossinyol 11 6.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567361-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567361-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567361-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC567361-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,11:30,2020-06-11,2020-06-11,[''],,unknown,unknown
