id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
552586,Phasianus,colchicus,,Common Pheasant,Daniele Baroni,Finland,"Turku, Southwest Finland",60.461,22.2997,20,"male, song",//www.xeno-canto.org/552586,//www.xeno-canto.org/552586/download,XC552586-20200501_044304_fagiano.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC552586-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC552586-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC552586-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC552586-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,9:57,07:48,2020-05-01,2020-05-01,"['Passer montanus', 'Turdus pilaris', 'Parus major', 'Cyanistes caeruleus']",Recorded using Audiomoth,yes,no
551265,Phasianus,colchicus,,Common Pheasant,Daniele Baroni,Finland,"Turku, Southwest Finland",60.4607,22.2987,20,"male, song",//www.xeno-canto.org/551265,//www.xeno-canto.org/551265/download,XC551265-20200427_0215_fagiano.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC551265-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC551265-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC551265-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/REICIMDLJD/ffts/XC551265-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,05:15,2020-04-27,2020-04-27,"['Turdus pilaris', 'Parus major']",,yes,no
468864,Phasianus,colchicus,,Common Pheasant,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3337,13.6497,40,"song, wing beats",//www.xeno-canto.org/468864,//www.xeno-canto.org/468864/download,XC468864-DM672524_Fasangesang-Fluegel_xc_rau3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468864-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468864-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468864-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468864-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,16:08,2019-04-23,2019-04-27,[''],,yes,no
468863,Phasianus,colchicus,,Common Pheasant,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3337,13.6497,40,"call, male",//www.xeno-canto.org/468863,//www.xeno-canto.org/468863/download,XC468863-DM672524_Fasankontaktruf_rau3_xc-ab3komma2_bereinigt.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468863-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468863-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468863-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC468863-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:00,16:02,2019-04-23,2019-04-27,[''],,yes,no
406063,Phasianus,colchicus,,Common Pheasant,Jíri Poteka,Czech Republic,"Malá Úpa, Trutnov, Královéhradecký kraj",50.7248,15.7362,1200,"call, male",//www.xeno-canto.org/406063,//www.xeno-canto.org/406063/download,XC406063-Fácánkakas.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EYOQKMVXSD/ffts/XC406063-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EYOQKMVXSD/ffts/XC406063-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EYOQKMVXSD/ffts/XC406063-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EYOQKMVXSD/ffts/XC406063-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:00,13:30,2015-05-08,2018-03-16,[''],,yes,no
578134,Phasianus,colchicus,,Common Pheasant,Ed Pandolfino,United States,"Gray Lodge WA, Butte County, California",39.3212,-121.8164,20,song,//www.xeno-canto.org/578134,//www.xeno-canto.org/578134/download,XC578134-RNPHmcall_GaryLodgeWA_BUT_2-10-15_1220fltr.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578134-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578134-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578134-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FVNPWGEQCT/ffts/XC578134-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:08,12:20,2015-02-10,2020-07-22,[''],,no,no
577099,Phasianus,colchicus,,Common Pheasant,Simon Elliott,United Kingdom,"Great Britain (near  Bodham), Norfolk, England",52.9016,1.1522,60,"adult, alarm call, alarm to fox, male",//www.xeno-canto.org/577099,//www.xeno-canto.org/577099/download,XC577099-PH-d17.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577099-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577099-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577099-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFFADKCCII/ffts/XC577099-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:06,05:30,2020-07-15,2020-07-18,[''],call from male perched in tree in response to passing fox (Vulpes vulpes),yes,no
574692,Phasianus,colchicus,,Common Pheasant,Eduardo Realinho,Spain,"Campiña Sur (near  Llera), Badajoz, Extremadura",38.4893,-6.0756,380,song,//www.xeno-canto.org/574692,//www.xeno-canto.org/574692/download,XC574692-200605-003_HP025NR5N6_21h29_Pcolchicus.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574692-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574692-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574692-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PQDMTRPGRL/ffts/XC574692-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:02,21:30,2020-06-05,2020-07-10,[''],"High-pass 250hz

Noise-reduction -5db

Normalized -6db",no,no
557017,Phasianus,colchicus,,Common Pheasant,Ireneusz Oleksik,Poland,"Tychy, Mikołów County, śląskie",50.133,18.9274,300,song,//www.xeno-canto.org/557017,//www.xeno-canto.org/557017/download,XC557017-bażant Wyry 10.05.2020  13.07.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC557017-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC557017-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC557017-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC557017-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,13:07,2020-05-10,2020-05-10,[''],"Edge of the forest, ZOOM H1n.",no,no
553612,Phasianus,colchicus,,Common Pheasant,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1404,4.9925,20,"adult, male, song",//www.xeno-canto.org/553612,//www.xeno-canto.org/553612/download,XC553612-Fazant 2020-05-02 2045a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553612-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553612-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553612-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC553612-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,20:45,2020-05-02,2020-05-03,['Turdus merula'],,no,no
