id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573530,Phoenicurus,phoenicurus,,Common Redstart,Giuseppe Speranza,Italy,"Brenzone (near  Brenzone sul Garda), Provincia di Verona, Veneto",45.7249,10.7864,160,"adult, alarm call, male",//www.xeno-canto.org/573530,//www.xeno-canto.org/573530/download,XC573530-200626_1490-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573530-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573530-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573530-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573530-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,21:30,2020-06-26,2020-07-05,[''],,yes,no
571312,Phoenicurus,phoenicurus,,Common Redstart,Luca Baghino,Italy,"Santo Stefano D'aveto, Città Metropolitana di Genova, Liguria",44.4879,9.4866,1400,song,//www.xeno-canto.org/571312,//www.xeno-canto.org/571312/download,XC571312-Codirosso comune 24.6.2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDXDGURYIO/ffts/XC571312-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDXDGURYIO/ffts/XC571312-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDXDGURYIO/ffts/XC571312-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDXDGURYIO/ffts/XC571312-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,10:00,2020-06-24,2020-06-24,['Fringilla coelebs'],,no,unknown
570206,Phoenicurus,phoenicurus,,Common Redstart,Regina Eidner,Germany,"Dahme-Spreewald (near  Königs Wusterhausen), Brandenburg",52.3336,13.6497,40,song,//www.xeno-canto.org/570206,//www.xeno-canto.org/570206/download,XC570206-DM673470_Gr_cut2_rau1_Noise2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570206-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570206-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570206-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC570206-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:31,08:00,2020-05-02,2020-06-20,[''],,yes,unknown
570155,Phoenicurus,phoenicurus,,Common Redstart,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,"adult, alarm call, begging call, call, juvenile",//www.xeno-canto.org/570155,//www.xeno-canto.org/570155/download,XC570155-Rougequeue a front banc quemandage avec tek secs.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570155-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570155-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570155-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC570155-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:48,12:00,2020-06-18,2020-06-20,[''],,yes,no
570034,Phoenicurus,phoenicurus,phoenicurus,Common Redstart,Nicolas Martinez,Switzerland,"Therwil, Arlesheim, Basel-Landschaft",47.4903,7.5645,360,"adult, alarm call, call, female, male",//www.xeno-canto.org/570034,//www.xeno-canto.org/570034/download,XC570034-phopho_200604_hochfeld2_pair_switch_alles.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570034-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570034-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570034-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570034-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:11,09:30,2020-06-04,2020-06-19,[''],"switcher: female ist the same bird as XC562589 (cf. Martinez & Martin 2020 Dutch Birding 42: 163­-174), male gives only huid calls",yes,no
570026,Phoenicurus,phoenicurus,phoenicurus,Common Redstart,Nicolas Martinez,Switzerland,"Basel, Basel-Stadt, Basel-Stadt",47.5649,7.6235,260,"adult, male, song",//www.xeno-canto.org/570026,//www.xeno-canto.org/570026/download,XC570026-phopho_20200611_habermatten_song.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570026-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570026-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570026-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC570026-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:21,06:30,2020-06-11,2020-06-19,['Delichon urbicum'],,unknown,unknown
566824,Phoenicurus,phoenicurus,,Common Redstart,Stephan Risch,Germany,"Berlin, Spandau Forest",52.585,13.1769,30,song,//www.xeno-canto.org/566824,//www.xeno-canto.org/566824/download,"XC566824-200608_2419 1011 Gartenrotschwanz. D, B, Spandauer Forst. Stephan Risch.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC566824-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC566824-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC566824-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/TFOGOENSTQ/ffts/XC566824-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:53,10:11,2020-06-08,2020-06-09,[''],Oaks within pine-forest.,no,no
563964,Phoenicurus,phoenicurus,,Common Redstart,Frida,Sweden,"Arboga, Arboga Municipality, Västmanlands län",59.399,15.8267,20,"life stage uncertain, sex uncertain, song",//www.xeno-canto.org/563964,//www.xeno-canto.org/563964/download,XC563964-IMG_5589.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VQVDYMUTLX/ffts/XC563964-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VQVDYMUTLX/ffts/XC563964-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VQVDYMUTLX/ffts/XC563964-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VQVDYMUTLX/ffts/XC563964-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:45,08:00,2020-06-01,2020-06-01,[''],,yes,no
562589,Phoenicurus,phoenicurus,phoenicurus,Common Redstart,Nicolas Martinez,Switzerland,"Therwil, Arlesheim, Basel-Landschaft",47.4901,7.5644,340,"adult, alarm call, call, female",//www.xeno-canto.org/562589,//www.xeno-canto.org/562589/download,XC562589-Phopho_20200525_hochfeld2_f_call_switch bearb.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC562589-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC562589-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC562589-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC562589-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,16:00,2020-05-25,2020-05-27,['Emberiza citrinella'],"Bird calling near the nest. Utered 3 rising heed calls among several hundred huid calls, one example recorded here. cf «Martinez N & Martin R (2020) Geographical Variation in Common Redstart call. Dutch Birding 42: 163-174.» 
https://www.dutchbirding.nl/pagina/1621/geographical_variation_in_common_redstart_calls

another recording of the same bird: XC570034",yes,no
561940,Phoenicurus,phoenicurus,phoenicurus,Common Redstart,Nicolas Martinez,Switzerland,"Binningen, Arlesheim, Basel-Landschaft",47.5403,7.5792,320,"aberrant, male, song",//www.xeno-canto.org/561940,//www.xeno-canto.org/561940/download,XC561940-Phopho mischsaenger bruderholz 20200524.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC561940-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC561940-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC561940-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CVLRXNQXVL/ffts/XC561940-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:51,09:00,2020-05-25,2020-05-25,"['Passer domesticus', 'Passer domesticus', 'Turdus merula']",Mixed Singer,yes,no
