id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
571296,Emberiza,schoeniclus,,Common Reed Bunting,Hans Norelius,Sweden,"Luspebryggan, Jokkmokk Municipality, Norrbottens län",67.0345,19.7991,380,song,//www.xeno-canto.org/571296,//www.xeno-canto.org/571296/download,XC571296-SävsparvS_udda_Luspebryggan_Juni2020_200613-065952.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571296-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571296-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571296-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC571296-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,07:00,2020-06-13,2020-06-24,[''],,no,no
569892,Emberiza,schoeniclus,,Common Reed Bunting,Pentti Korhonen,Sweden,"Fagersta Municipality, Västmanlands län",60.0247,15.7677,110,"adult, male, song",//www.xeno-canto.org/569892,//www.xeno-canto.org/569892/download,XC569892-sävsparv.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTBGNJHCIX/ffts/XC569892-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTBGNJHCIX/ffts/XC569892-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTBGNJHCIX/ffts/XC569892-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTBGNJHCIX/ffts/XC569892-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:19,11:00,2020-06-19,2020-06-19,[''],,no,no
569565,Emberiza,schoeniclus,,Common Reed Bunting,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/569565,//www.xeno-canto.org/569565/download,XC569565-Emberiza schoeniclus_2020.06.16_07.45_03.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569565-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569565-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569565-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569565-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:35,07:45,2020-06-16,2020-06-17,"['Corvus corone', 'Acrocephalus scirpaceus']",,yes,no
569560,Emberiza,schoeniclus,,Common Reed Bunting,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/569560,//www.xeno-canto.org/569560/download,XC569560-Emberiza schoeniclus_2020.06.15_11.13_01 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569560-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569560-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569560-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569560-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:15,11:13,2020-06-15,2020-06-17,['Acrocephalus scirpaceus'],,yes,no
563270,Emberiza,schoeniclus,,Common Reed Bunting,Hans Norelius,Sweden,"Dalkarlsäng, Salem Municipality, Stockholms län",59.2639,17.6819,40,"adult, call",//www.xeno-canto.org/563270,//www.xeno-canto.org/563270/download,XC563270-SävsparvL_Dalkarlsäng_Maj2020_200530-020944.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563270-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563270-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563270-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563270-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,02:00,2020-05-30,2020-05-30,['Turdus philomelos'],,no,no
555644,Emberiza,schoeniclus,,Common Reed Bunting,Bodo Sonnenburg,Germany,"Oder-Spree (near  Tauche), Brandenburg",52.1416,14.126,40,song,//www.xeno-canto.org/555644,//www.xeno-canto.org/555644/download,XC555644-rohrammer0354.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC555644-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC555644-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC555644-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC555644-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:44,03:54,2020-05-09,2020-05-09,"['Acrocephalus arundinaceus', 'Luscinia megarhynchos']",,no,no
555018,Emberiza,schoeniclus,,Common Reed Bunting,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1966,4.9275,10,"adult, male, song",//www.xeno-canto.org/555018,//www.xeno-canto.org/555018/download,XC555018-Rietgors 2020-05-07 0820 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555018-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555018-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555018-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555018-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:24,08:20,2020-05-07,2020-05-07,"['Turdus philomelos', 'Phylloscopus trochilus', 'Sylvia communis', 'Sylvia atricapilla']",,yes,no
555017,Emberiza,schoeniclus,,Common Reed Bunting,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1966,4.9275,10,"adult, male, song",//www.xeno-canto.org/555017,//www.xeno-canto.org/555017/download,XC555017-Rietgors 2020-05-07 0820 1a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555017-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555017-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555017-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555017-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,08:20,2020-05-07,2020-05-07,"['Aegithalos caudatus', 'Sylvia atricapilla', 'Turdus philomelos', 'Phylloscopus trochilus']",,yes,no
555016,Emberiza,schoeniclus,,Common Reed Bunting,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1966,4.9275,10,"adult, male, song",//www.xeno-canto.org/555016,//www.xeno-canto.org/555016/download,XC555016-Rietgors 2020-05-07 0815 2a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555016-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555016-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555016-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555016-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:54,08:15,2020-05-07,2020-05-07,"['Troglodytes troglodytes', 'Sylvia communis', 'Sylvia atricapilla', 'Turdus philomelos', 'Phylloscopus trochilus', 'Cuculus canorus']",,yes,no
555015,Emberiza,schoeniclus,,Common Reed Bunting,Niels Van Doninck,Belgium,"Geel, Antwerpen, Vlaanderen",51.1966,4.9275,10,"adult, male, song",//www.xeno-canto.org/555015,//www.xeno-canto.org/555015/download,XC555015-Rietgors 2020-05-07 0815 1a.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555015-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555015-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555015-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MHVQXRLBKS/ffts/XC555015-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:28,08:15,2020-05-07,2020-05-07,"['Sylvia communis', 'Phylloscopus trochilus', 'Streptopelia decaocto', 'Troglodytes troglodytes']",,yes,no
546976,Emberiza,schoeniclus,,Common Reed Bunting,Jarek Matusiak,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",52.2671,20.4603,90,"male, song, wings",//www.xeno-canto.org/546976,//www.xeno-canto.org/546976/download,XC546976-Jarek Matusiak-441 (2.1) potrzos.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC546976-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC546976-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC546976-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC546976-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,10:23,8:00,2020-04-17,2020-04-18,[''],,unknown,unknown
545611,Emberiza,schoeniclus,,Common Reed Bunting,Jarek Matusiak,Poland,"Gmina Kampinos (near  Kampinos), warszawski zachodni, mazowieckie",52.2671,20.4603,90,"adult, male, song",//www.xeno-canto.org/545611,//www.xeno-canto.org/545611/download,XC545611-Jarek Matusiak -413 (2) potrzos.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC545611-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC545611-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC545611-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC545611-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:57,08:00,2020-04-13,2020-04-14,"['Anthus pratensis', 'Phasianus colchicus', 'Gallinago gallinago', 'Vanellus vanellus', 'Grus grus', 'Carduelis carduelis', 'Phylloscopus collybita', 'Alauda arvensis', 'Turdus merula']",,unknown,unknown
576024,Emberiza,schoeniclus,,Common Reed Bunting,Michael John O Mahony,Ireland,"Ireland, Cork, County Cork",52.053,-8.5302,260,"adult, male, song",//www.xeno-canto.org/576024,//www.xeno-canto.org/576024/download,XC576024-Reed Bunting.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC576024-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC576024-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC576024-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PSTCNWXKNE/ffts/XC576024-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,05:00,2020-06-01,2020-07-15,[''],,no,no
575640,Emberiza,schoeniclus,,Common Reed Bunting,Krzysztof Deoniziak,Poland,"Ostrówek, Podlaskie Voivodeship",53.2886,23.6935,170,song,//www.xeno-canto.org/575640,//www.xeno-canto.org/575640/download,XC575640-emberiza_schoeniclus_ostrowek_podlaskie_2020.07.11_0905.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575640-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575640-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575640-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575640-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,3:30,09:00,2020-07-11,2020-07-14,"['Emberiza citrinella', 'Streptopelia decaocto']","habitat: Shrubs in rural area.

Recorded with Wildlife Acoustics SM4.",no,no
573266,Emberiza,schoeniclus,,Common Reed Bunting,Alain Malengreau,France,"Saint-Aybert, Hainaut, Wallonia",50.4541,3.666,20,call,//www.xeno-canto.org/573266,//www.xeno-canto.org/573266/download,XC573266-Bruant des roseaux_200603_0CA_Marais d'Harchies_Etang Van Hoeck_Mixpre 725.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573266-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573266-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573266-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC573266-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,11:00,2020-06-03,2020-07-03,[''],Unedited recording. Telinga Pro 5 + Mixpre 3,no,no
572969,Emberiza,schoeniclus,,Common Reed Bunting,Dare Šere,Slovenia,"Ig, Iščica, Ljubljana",45.9746,14.537,280,"adult, male, song",//www.xeno-canto.org/572969,//www.xeno-canto.org/572969/download,XC572969-200702_x 0869.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC572969-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC572969-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC572969-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CXGXONKTTP/ffts/XC572969-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:25,09:00,2020-07-02,2020-07-02,['Emberiza citrinella'],,yes,yes
572013,Emberiza,schoeniclus,,Common Reed Bunting,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,"simple song, song",//www.xeno-canto.org/572013,//www.xeno-canto.org/572013/download,XC572013-Bruant des roseaux chant simple +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572013-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572013-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572013-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572013-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,21:30,2020-06-26,2020-06-27,[''],,yes,no
572012,Emberiza,schoeniclus,,Common Reed Bunting,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,song,//www.xeno-canto.org/572012,//www.xeno-canto.org/572012/download,XC572012-Bruant des roseaux chant +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572012-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572012-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572012-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572012-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,21:30,2020-06-26,2020-06-27,[''],,yes,no
572011,Emberiza,schoeniclus,,Common Reed Bunting,Stanislas Wroza,France,"Forêt Domaniale de Rambouillet (near  Gambaiseuil), Yvelines, Île-de-France",48.7426,1.7586,170,song,//www.xeno-canto.org/572011,//www.xeno-canto.org/572011/download,XC572011-Bruant des roseaux chant ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572011-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572011-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572011-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC572011-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:45,21:30,2020-06-26,2020-06-27,[''],,yes,no
571899,Emberiza,schoeniclus,ukrainae,Common Reed Bunting,Ruslan Mazuryk,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",49.634,26.2213,?,"adult, male, song",//www.xeno-canto.org/571899,//www.xeno-canto.org/571899/download,XC571899-MVI_2331.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571899-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571899-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571899-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571899-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:38,20:45,2020-06-07,2020-06-27,"['Cuculus canorus', 'Acrocephalus arundinaceus']",,no,unknown
571836,Emberiza,schoeniclus,ukrainae,Common Reed Bunting,Ruslan Mazuryk,Ukraine,"Toky, Pidvolochys'kyi district, Ternopil's'ka oblast",49.634,26.2213,?,song,//www.xeno-canto.org/571836,//www.xeno-canto.org/571836/download,XC571836-MVI_2310.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571836-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571836-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571836-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QIUOHGLLRX/ffts/XC571836-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:05,20:10,2020-06-07,2020-06-26,"['Acrocephalus schoenobaenus', 'Locustella luscinioides']",,no,unknown
570518,Emberiza,schoeniclus,,Common Reed Bunting,Michał Jezierski,United Kingdom,"Great Britain (near  Thrussington), Leicestershire, England",52.7337,-1.0272,60,"male, song",//www.xeno-canto.org/570518,//www.xeno-canto.org/570518/download,XC570518-13062020_embsch_song_1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC570518-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC570518-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC570518-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GPXJQQOAML/ffts/XC570518-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,17:18,2020-06-13,2020-06-21,"['Columba palumbus', 'Certhia familiaris']","**Comments**: None.

**Recording modifications**: No edits. Recorded using Olympus LS-P1.

**Habitat (inc. vegetation and level)**: Newly planted forest among fields. Bird perched on one of small trees.

**Behaviour**: Birding signing from the top of a tree. Stopped when a common wood pigeon landed on its perch.

**Sex (with ID cues)**: Male, as per Collins Bird Guide. Black head. 

**Weather and other conditions**: Cloudy afternoon.

**Comments on other birds**: Common wood pigeon cooing throughout. High-pitched sound is a calling Eurasian treecreeper.",yes,no
570487,Emberiza,schoeniclus,schoeniclus,Common Reed Bunting,Stuart Fisher,United Kingdom,"Great Britain, Norfolk, England",52.7652,0.4903,30,"adult, male, song",//www.xeno-canto.org/570487,//www.xeno-canto.org/570487/download,XC570487-ReedBuntingGW16th.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570487-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570487-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570487-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VXZDHTKCBO/ffts/XC570487-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:24,11:00,2020-06-16,2020-06-21,"['Periparus ater', 'Corvus corone', 'Turdus merula', 'Sylvia atricapilla', 'Troglodytes troglodytes']",,yes,no
570031,Emberiza,schoeniclus,,Common Reed Bunting,David Nayer,Austria,"Tiebelmündung, Steindorf am Ossiacher See, Feldkirchen, Kärnten",46.692,14.0135,500,"male, song",//www.xeno-canto.org/570031,//www.xeno-canto.org/570031/download,XC570031-Rohrammer_Gesang_Tiebelmündung_170620.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PWTUKBVNNZ/ffts/XC570031-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PWTUKBVNNZ/ffts/XC570031-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PWTUKBVNNZ/ffts/XC570031-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PWTUKBVNNZ/ffts/XC570031-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:23,19:40,2020-06-17,2020-06-19,"['Acrocephalus arundinaceus', 'Parus major']",,yes,no
568860,Emberiza,schoeniclus,,Common Reed Bunting,Lars Edenius,Sweden,"Degernäs, Umeå, Västerbottens län",63.7599,20.2763,10,"male, song",//www.xeno-canto.org/568860,//www.xeno-canto.org/568860/download,XC568860-Sävsparv_14.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC568860-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC568860-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC568860-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/ffts/XC568860-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,08:00,2020-06-15,2020-06-16,[''],,yes,no
