id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574132,Sturnus,vulgaris,,Common Starling,Jacobo Ramil MIllarengo,Spain,"Rozos, San Tirso de  Cando, Outes , A Coruña, Galicia",42.8288,-8.8591,20,Begging call from the nest. Adult arrives at the nest in a hole in an eucaliptus,//www.xeno-canto.org/574132,//www.xeno-canto.org/574132/download,XC574132-200707_03Sturnus vulgaris crias piando no niño e adulto chega e me ve facendo moito ruído e marcha Pazo do Tambrev7.7.20 14.00 32º sol a tope.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574132-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574132-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574132-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574132-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:24,13:30,2020-07-07,2020-07-07,[''],,yes,no
578257,Sturnus,vulgaris,,Common Starling,Arjun Dutta,United Kingdom,"Great Britain (near  Wallington), Greater London, England",51.3532,-0.1461,80,"alarm call, nocturnal flight call",//www.xeno-canto.org/578257,//www.xeno-canto.org/578257/download,XC578257-Starling alarm.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC578257-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC578257-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC578257-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC578257-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,03:32,2020-07-22,2020-07-22,[''],"Amplified slightly. Recorded using Tascam DR-05x recorder and a Depusheng Shotgun Microphone from suburban, South London garden. Probably local bird spooked near nest etc.",no,no
574765,Sturnus,vulgaris,,Common Starling,Alain Malengreau,Belgium,"Hensies, Hainaut, Wallonie",50.4644,3.6824,20,"adult, call, flight call, juvenile",//www.xeno-canto.org/574765,//www.xeno-canto.org/574765/download,XC574765-Etourneau sansonnet 200521_0800_1CA_Marais d'Harchies_Digue d'Harchies_Mixpre 463.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574765-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574765-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574765-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574765-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:32,08:00,2020-05-21,2020-07-10,[''],"A flock about 20 juvenile and adult calling perched and in flight
HP Filter 1000Hz, -6dB, ME66 + Mixpre 3",yes,no
573430,Sturnus,vulgaris,,Common Starling,Hannu Varkki,Finland,"Hindsby, Sipoo, Uusimaa",60.3389,25.2425,20,"call, juvenile",//www.xeno-canto.org/573430,//www.xeno-canto.org/573430/download,XC573430-STUVUL2020-06-08-0530-m.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573430-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573430-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573430-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/ffts/XC573430-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,05:30,2020-06-08,2020-07-04,['Sylvia borin'],,yes,no
572361,Sturnus,vulgaris,,Common Starling,Jim Berry,United States,"Busti (near  Jamestown), Chautauqua County, New York",42.076,-79.2459,460,"call, life stage uncertain, sex uncertain",//www.xeno-canto.org/572361,//www.xeno-canto.org/572361/download,XC572361-052520 T0172 European Starling.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BMFJZMNPEG/ffts/XC572361-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BMFJZMNPEG/ffts/XC572361-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BMFJZMNPEG/ffts/XC572361-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BMFJZMNPEG/ffts/XC572361-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:29,06:00,2020-05-25,2020-06-29,['Melanerpes carolinus'],Normalized to -3db. High Pass filter at 250hz & Noise Reduction. Background Species: Red-bellied Woodpecker,yes,no
570986,Sturnus,vulgaris,,Common Starling,Ireneusz Oleksik,Poland,"Tychy Hetmańska (near  Tychy), Tychy, śląskie",50.1191,18.9721,260,flight call,//www.xeno-canto.org/570986,//www.xeno-canto.org/570986/download,XC570986-szpak dom 23.06.2020  5.53.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC570986-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC570986-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC570986-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RLRHCUIPIY/ffts/XC570986-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,05:53,2020-06-23,2020-06-23,['Streptopelia decaocto'],"Urban area, high pass filter 300 Hz 48 dB, ZOOM H1n.",no,no
570984,Sturnus,vulgaris,,Common Starling,Tanguy Loïs,France,"Forêt Domaniale de Rambouillet (near  Les Bréviaires), Yvelines, Île-de-France",48.725,1.8083,170,"call, subsong",//www.xeno-canto.org/570984,//www.xeno-canto.org/570984/download,XC570984-etourne.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC570984-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC570984-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC570984-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC570984-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,21:00,2020-06-23,2020-06-23,[''],Large group chatting,yes,no
570494,Sturnus,vulgaris,vulgaris,Common Starling,Peter Stronach,United Kingdom,"Aviemore Post Office, Highland, Scotland",57.1924,-3.8286,220,"adult, call, juvenile",//www.xeno-canto.org/570494,//www.xeno-canto.org/570494/download,XC570494-200613_0505.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC570494-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC570494-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC570494-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/POUECYRDLL/ffts/XC570494-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,23:06,2020-06-13,2020-06-21,[''],Flock of Starlings in a reedbed roost,yes,no
567407,Sturnus,vulgaris,,Common Starling,Ramit Singal,Australia,"Eugenana, Devonport City Council, Tasmania",-41.2276,146.3032,30,"adult, call, sex uncertain",//www.xeno-canto.org/567407,//www.xeno-canto.org/567407/download,XC567407-0_MIXPRE-2656_European Starling_20200611_Tasmanian Arboretum.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC567407-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC567407-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC567407-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FPDBIILGCX/ffts/XC567407-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,09:00,2020-06-11,2020-06-11,[''],,yes,no
567188,Sturnus,vulgaris,,Common Starling,MERCIER Christophe,France,"Limoges, Haute-Vienne, Nouvelle-Aquitaine",45.8159,1.2546,220,"call, hatchling or nestling",//www.xeno-canto.org/567188,//www.xeno-canto.org/567188/download,XC567188-tourneau.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC567188-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC567188-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC567188-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/CTBGPXUOSF/ffts/XC567188-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,12:26,2020-06-10,2020-06-10,[''],,no,no
565763,Sturnus,vulgaris,,Common Starling,Rob van Bemmelen,Netherlands,"Schiermonnikoog, Schiermonnikoog, Friesland",53.5022,6.2696,0,"song, subsong",//www.xeno-canto.org/565763,//www.xeno-canto.org/565763/download,XC565763-181020_25_Sturnus_vulgaris.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565763-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565763-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565763-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RDRHSLUBZP/ffts/XC565763-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:10,10:30,2018-10-20,2020-06-06,[''],Flock of hundreds.,yes,no
