id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575861,Apus,apus,,Common Swift,Sidney M,Spain,"Val d'Aran (near  Viella), Lleida, Catalunya",42.7027,0.7924,1000,song,//www.xeno-canto.org/575861,//www.xeno-canto.org/575861/download,XC575861-apus 12 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575861-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575861-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575861-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575861-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,13:30,2020-07-12,2020-07-14,[''],,yes,no
575859,Apus,apus,,Common Swift,Sidney M,Spain,"Val d'Aran (near  Viella), Lleida, Catalunya",42.7027,0.7924,1000,song,//www.xeno-canto.org/575859,//www.xeno-canto.org/575859/download,XC575859-apus 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575859-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575859-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575859-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575859-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,13:30,2020-07-12,2020-07-14,[''],,yes,no
575177,Apus,apus,,Common Swift,Bergé Pierre-Michel,France,"Mornas, Vaucluse, Provence-Alpes-Côte d'Azur",44.2,4.7308,40,"adult, female, flight call, life stage uncertain, male, sex uncertain",//www.xeno-canto.org/575177,//www.xeno-canto.org/575177/download,XC575177-Martinet_noir.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VHGHWFPCPT/ffts/XC575177-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VHGHWFPCPT/ffts/XC575177-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VHGHWFPCPT/ffts/XC575177-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VHGHWFPCPT/ffts/XC575177-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,10:54,2020-07-10,2020-07-12,[''],"Application de filtre passe-haut + suppression de bruit + amplification
Oiseaux en vol au dessus du village et en bande en vol en fin de matinée",yes,no
574362,Apus,apus,,Common Swift,Jordi Calvet,Spain,"Lleida, el Segrià, Catalunya",41.6181,0.6268,220,flight call,//www.xeno-canto.org/574362,//www.xeno-canto.org/574362/download,XC574362-APUAPU270620-T002 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC574362-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC574362-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC574362-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC574362-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:21,07:00,2020-06-27,2020-07-08,[''],Flock in flight. Urban area,yes,no
573649,Apus,apus,,Common Swift,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,call,//www.xeno-canto.org/573649,//www.xeno-canto.org/573649/download,XC573649-apus 5 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573649-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573649-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573649-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573649-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,11:30,2020-07-05,2020-07-05,[''],,yes,no
573646,Apus,apus,,Common Swift,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,call,//www.xeno-canto.org/573646,//www.xeno-canto.org/573646/download,XC573646-apus 5 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573646-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573646-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573646-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573646-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:21,11:30,2020-07-05,2020-07-05,[''],,yes,no
573627,Apus,apus,,Common Swift,Jordi Calvet,Spain,"Lleida, el Segrià, Catalunya",41.6181,0.6268,220,flight call,//www.xeno-canto.org/573627,//www.xeno-canto.org/573627/download,XC573627-APUAPU300620-T002 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573627-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573627-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573627-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC573627-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,09:00,2020-06-30,2020-07-05,"['Columba palumbus', 'Streptopelia decaocto']",,yes,no
573529,Apus,apus,,Common Swift,Giuseppe Speranza,Italy,"Brenzone (near  Brenzone sul Garda), Provincia di Verona, Veneto",45.7249,10.7864,160,song,//www.xeno-canto.org/573529,//www.xeno-canto.org/573529/download,XC573529-200626_1490-2-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573529-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573529-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573529-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC573529-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,21:30,2020-06-26,2020-07-05,[''],,yes,no
572785,Apus,apus,,Common Swift,Sidney M,Spain,"Tarragonès (near  Tarragona), Tarragona, Catalunya",41.112,1.2455,0,call,//www.xeno-canto.org/572785,//www.xeno-canto.org/572785/download,XC572785-falciot 29 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572785-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572785-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572785-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572785-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,09:30,2020-06-29,2020-07-01,[''],,yes,no
572782,Apus,apus,,Common Swift,Sidney M,Spain,"Tarragonès (near  Tarragona), Tarragona, Catalunya",41.112,1.2455,0,call,//www.xeno-canto.org/572782,//www.xeno-canto.org/572782/download,XC572782-falciot 29 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572782-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572782-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572782-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572782-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,09:30,2020-06-29,2020-07-01,[''],,yes,no
