id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574192,Sylvia,communis,,Common Whitethroat,Regina Eidner,Germany,"Oder-Spree (near  Gosen-Neu Zittau), Brandenburg",52.394,13.74,40,call,//www.xeno-canto.org/574192,//www.xeno-canto.org/574192/download,XC574192-DM673661_Dg-cal_cut1Mitte_rau1_Noise.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574192-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574192-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574192-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574192-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,08:44,2020-06-18,2020-07-07,[''],most excited part of XC574191,yes,unknown
574191,Sylvia,communis,,Common Whitethroat,Regina Eidner,Germany,"Oder-Spree (near  Gosen-Neu Zittau), Brandenburg",52.394,13.74,40,call,//www.xeno-canto.org/574191,//www.xeno-canto.org/574191/download,XC574191-DM673661_Dg-cal_cut1_rau1_Noise.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574191-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574191-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574191-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YDQKMZXDRL/ffts/XC574191-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:57,08:44,2020-06-18,2020-07-07,"['Emberiza calandra', 'Motacilla alba']",,yes,unknown
573327,Sylvia,communis,,Common Whitethroat,Bodo Sonnenburg,Germany,"Oder-Spree (near  Tauche), Brandenburg",52.1573,14.0859,70,song,//www.xeno-canto.org/573327,//www.xeno-canto.org/573327/download,XC573327-dorn0433.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573327-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573327-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573327-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC573327-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,2:18,04:33,2020-07-04,2020-07-04,"['Alauda arvensis', 'Corvus cornix', 'Sylvia atricapilla', 'Sylvia communis']",,yes,no
573292,Sylvia,communis,,Common Whitethroat,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, male, song",//www.xeno-canto.org/573292,//www.xeno-canto.org/573292/download,XC573292-2020.07.03_11.03_02.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573292-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573292-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573292-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573292-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:05,11:03,2020-07-03,2020-07-04,['Hirundo rustica'],"Wind noise, audacity",yes,no
573291,Sylvia,communis,,Common Whitethroat,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, male, song",//www.xeno-canto.org/573291,//www.xeno-canto.org/573291/download,XC573291-2020.07.03_11.02_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573291-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573291-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573291-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573291-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:31,11:02,2020-07-03,2020-07-04,[''],"Wind noise, audacity",yes,no
573290,Sylvia,communis,,Common Whitethroat,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, male, song",//www.xeno-canto.org/573290,//www.xeno-canto.org/573290/download,XC573290-2020.07.03_11.01_01 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573290-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573290-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573290-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573290-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:58,11:01,2020-07-03,2020-07-03,[''],Wind noise/audacity,yes,no
572568,Sylvia,communis,,Common Whitethroat,Jessica Peruzzo,Italy,"Bosco Chiesanuova (near  Malga San Giorgio), Provincia di Verona, Veneto",45.7027,11.0879,1300,"call, male, song",//www.xeno-canto.org/572568,//www.xeno-canto.org/572568/download,XC572568-Culbianco 28 giugno 13.49.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572568-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572568-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572568-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VMQQRCTSHV/ffts/XC572568-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,15:00,2020-06-28,2020-06-30,[''],,yes,no
571506,Sylvia,communis,,Common Whitethroat,Vera Jortzick,Germany,"Braunschweig, Niedersachsen",52.2764,10.5028,70,"male, mimicry/imitation, song",//www.xeno-canto.org/571506,//www.xeno-canto.org/571506/download,XC571506-Dornklappermnch.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MMXUBYGSQV/ffts/XC571506-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MMXUBYGSQV/ffts/XC571506-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MMXUBYGSQV/ffts/XC571506-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MMXUBYGSQV/ffts/XC571506-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:52,06:00,2020-06-25,2020-06-25,[''],"Mixed song consisting of Common Whitethroat, Lesser Whitethroat, and Blackcap elements. Bird seen singing throughout the recording.",yes,no
571497,Sylvia,communis,,Common Whitethroat,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,subsong,//www.xeno-canto.org/571497,//www.xeno-canto.org/571497/download,XC571497-sp subsong Hypolais polyglotte H.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571497-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571497-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571497-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571497-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:44,05:00,2020-06-22,2020-06-25,[''],Sound trap.,no,no
571496,Sylvia,communis,,Common Whitethroat,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,song,//www.xeno-canto.org/571496,//www.xeno-canto.org/571496/download,XC571496-Fauvette grisette chant long +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571496-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571496-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571496-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571496-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,6:46,05:00,2020-06-22,2020-06-25,[''],Sound trap,no,no
