id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
564161,Columba,palumbus,,Common Wood Pigeon,Jordi Calvet,Spain,"Esparreguera, Baix Llobregat, Catalunya",41.5564,1.8551,240,"adult, male, song",//www.xeno-canto.org/564161,//www.xeno-canto.org/564161/download,XC564161-COLPAL010620-T002 (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC564161-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC564161-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC564161-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/ffts/XC564161-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:36,09:40,2020-06-01,2020-06-01,"['Passer domesticus', 'Chloris chloris']","Noisy background, urban area.",yes,no
561877,Columba,palumbus,,Common Wood Pigeon,Benoît Van Hecke,France,"Fontaine-le-Comte, Vienne, Nouvelle-Aquitaine",46.5339,0.2707,140,"male, song",//www.xeno-canto.org/561877,//www.xeno-canto.org/561877/download,XC561877-200524-050000.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC561877-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC561877-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC561877-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC561877-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,1:42,07:00,2020-05-24,2020-05-24,[''],2 x mics EM 172 + Zoom F1,unknown,unknown
560757,Columba,palumbus,,Common Wood Pigeon,Robert Ekman,Sweden,"Hov, Uppsala, Uppsala län",59.9674,17.9371,30,wing beats,//www.xeno-canto.org/560757,//www.xeno-canto.org/560757/download,XC560757-WB200522.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC560757-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC560757-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC560757-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SPBKJZVJYZ/ffts/XC560757-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,01:35,2020-05-22,2020-05-22,[''],!,unknown,unknown
559390,Columba,palumbus,,Common Wood Pigeon,Jean-François Azens,France,"Chorges, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.5269,6.2574,1100,"adult, male, song",//www.xeno-canto.org/559390,//www.xeno-canto.org/559390/download,XC559390-Ramier Chaussins mai 20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC559390-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC559390-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC559390-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC559390-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,10:00,2020-05-13,2020-05-18,[''],,yes,no
557900,Columba,palumbus,,Common Wood Pigeon,Stanislas Wroza,France,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",48.3941,2.577,70,song,//www.xeno-canto.org/557900,//www.xeno-canto.org/557900/download,XC557900-Pigeon ramier chants.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557900-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557900-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557900-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557900-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:50,06:00,2020-05-12,2020-05-13,[''],,yes,no
553207,Columba,palumbus,,Common Wood Pigeon,Stanislas Wroza,France,"Davron, Yvelines, Île-de-France",48.8659,1.9428,110,"song, whirring on nest",//www.xeno-canto.org/553207,//www.xeno-canto.org/553207/download,XC553207-Pigeon ramier vrombissement.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553207-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553207-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553207-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC553207-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,07:00,2020-05-02,2020-05-02,[''],,yes,no
545506,Columba,palumbus,,Common Wood Pigeon,Geert Lamers,Netherlands,"Sevenum, Horst aan de Maas, Limburg",51.4131,6.0427,30,"male, song",//www.xeno-canto.org/545506,//www.xeno-canto.org/545506/download,XC545506-houtduif zang 4-4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MJBFUJGFUL/ffts/XC545506-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MJBFUJGFUL/ffts/XC545506-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MJBFUJGFUL/ffts/XC545506-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MJBFUJGFUL/ffts/XC545506-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:20,04:00,2020-04-04,2020-04-13,[''],,unknown,unknown
536576,Columba,palumbus,,Common Wood Pigeon,Stanislas Wroza,France,"Ville-d'Avray, Hauts-de-Seine, Île-de-France",48.8205,2.1781,130,song,//www.xeno-canto.org/536576,//www.xeno-canto.org/536576/download,XC536576-Pigeon ramier chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC536576-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC536576-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC536576-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC536576-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:37,06:30,2020-03-21,2020-03-21,[''],,yes,no
528315,Columba,palumbus,,Common Wood Pigeon,James Lidster,Netherlands,"Driel, Overbetuwe, Gelderland",51.9612,5.8104,10,song,//www.xeno-canto.org/528315,//www.xeno-canto.org/528315/download,XC528315-Wood Pigeon Driel 170903 0645u.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528315-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528315-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528315-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528315-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,06:45,2017-09-03,2020-02-17,[''],,no,no
527792,Columba,palumbus,,Common Wood Pigeon,James Lidster,Netherlands,"Winterswijk Ratum, Winterswijk, Gelderland",51.9638,6.7849,60,song,//www.xeno-canto.org/527792,//www.xeno-canto.org/527792/download,XC527792-Wood Pigeon Winterswijk 170326.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC527792-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC527792-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC527792-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC527792-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,08:00,2017-03-26,2020-02-14,[''],,yes,no
578061,Columba,palumbus,,Common Wood Pigeon,Nelson Conceição,Portugal,"Ribeira da Assêca - Ponte São Domingos, Tavira, Faro",37.1538,-7.6735,10,song,//www.xeno-canto.org/578061,//www.xeno-canto.org/578061/download,XC578061-200721-083728pombotorcaz.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578061-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578061-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578061-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578061-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,08:37,2020-07-21,2020-07-21,"['Oriolus oriolus', 'Cyanopica cooki', 'Turdus merula']","Recorder: Zoom H1n

Windscreen: Zoom WSU-1

Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).",yes,no
578058,Columba,palumbus,,Common Wood Pigeon,Nelson Conceição,Portugal,"Ribeira da Assêca - Ponte São Domingos, Tavira, Faro",37.1538,-7.6735,10,song,//www.xeno-canto.org/578058,//www.xeno-canto.org/578058/download,XC578058-200721-083652pombotorcaz.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578058-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578058-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578058-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JYPQCEFKAM/ffts/XC578058-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,08:36,2020-07-21,2020-07-21,"['Oriolus oriolus', 'Cyanopica cooki', 'Turdus merula']","Recorder: Zoom H1n

Windscreen: Zoom WSU-1

Editing: Audacity (High-pass filter 250Hz/6dB, sound normalized to -3dB).",yes,no
574126,Columba,palumbus,,Common Wood Pigeon,Tanguy Loïs,France,"Raizeux, Yvelines, Île-de-France",,,130,song,//www.xeno-canto.org/574126,//www.xeno-canto.org/574126/download,XC574126-ramier.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574126-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574126-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574126-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/PJVGDPHDIM/ffts/XC574126-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:59,13:00,2020-07-07,2020-07-07,[''],,yes,no
