id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575936,Prunella,modularis,,Dunnock,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"begging call, juvenile",//www.xeno-canto.org/575936,//www.xeno-canto.org/575936/download,XC575936-2020.07.14_07.34_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575936-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575936-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575936-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575936-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:31,07:34,2020-07-14,2020-07-14,"['Corvus corone', 'Coloeus monedula', 'Pica pica']",,yes,no
572418,Prunella,modularis,,Dunnock,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"begging call, juvenile",//www.xeno-canto.org/572418,//www.xeno-canto.org/572418/download,XC572418-2020.06.26_10.19_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572418-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572418-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572418-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572418-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:14,10:19,2020-06-26,2020-06-29,[''],Flitting from branch to branch in an oak (Quercus robur),yes,no
570884,Prunella,modularis,,Dunnock,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"begging call, juvenile",//www.xeno-canto.org/570884,//www.xeno-canto.org/570884/download,XC570884-Certhia brachydactyla_2020.06.20_11.52_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570884-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570884-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570884-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC570884-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:23,11:52,2020-06-20,2020-06-23,[''],"Initially described as the call of a Certhia brachydactyla, the label was changed to juvenile Prunella modularis at the suggestion of a collaborator.",no,no
569555,Prunella,modularis,,Dunnock,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/569555,//www.xeno-canto.org/569555/download,XC569555-Prunella modularis_2020.06.15_08.58_03.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569555-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569555-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569555-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569555-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:22,8:58,2020-06-15,2020-06-17,[''],,yes,no
568528,Prunella,modularis,,Dunnock,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/568528,//www.xeno-canto.org/568528/download,XC568528-2020.06.14_10.19_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568528-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568528-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568528-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568528-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:08,1:19,2020-06-14,2020-06-14,[''],,yes,no
568402,Prunella,modularis,,Dunnock,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"male, song, territorial",//www.xeno-canto.org/568402,//www.xeno-canto.org/568402/download,XC568402-2020.06.14_09.18_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568402-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568402-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568402-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC568402-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:28,9:18,0202-06-14,2020-06-14,['Coloeus monedula'],,yes,no
560620,Prunella,modularis,,Dunnock,Jorge Leitão,Portugal,"Sete Fontes, São Victor (near  Braga) Braga",41.5693,-8.4042,220,"male, song",//www.xeno-canto.org/560620,//www.xeno-canto.org/560620/download,XC560620-Prunella modularis_2020.05.20_11.10_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560620-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560620-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560620-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560620-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:57,11:10,2020-05-20,2020-05-22,"['Erithacus rubecula', 'Cisticola juncidis', 'Sylvia atricapilla']",,yes,no
560619,Prunella,modularis,,Dunnock,Jorge Leitão,Portugal,"Sete Fontes, São Victor (near  Braga) Braga",41.5693,-8.4042,220,"male, song",//www.xeno-canto.org/560619,//www.xeno-canto.org/560619/download,XC560619-Prunella modularis_2020.05.18_11.30_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560619-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560619-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560619-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560619-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,1:30,2020-05-18,2020-05-22,['Erithacus rubecula'],,yes,no
560618,Prunella,modularis,,Dunnock,Jorge Leitão,Portugal,"Sete Fontes, São Victor (near  Braga) Braga",41.5693,-8.4042,220,"male, song",//www.xeno-canto.org/560618,//www.xeno-canto.org/560618/download,XC560618-Prunella modularis_2020.05.18_11.29_09.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560618-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560618-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560618-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560618-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,11:29,2020-05-18,2020-05-22,['Sylvia atricapilla'],,yes,no
559039,Prunella,modularis,,Dunnock,riou,France,"Plévin, Côtes-d'Armor, Bretagne",48.2272,-3.5041,190,"adult, male, song",//www.xeno-canto.org/559039,//www.xeno-canto.org/559039/download,XC559039-ACC 16mai 10h.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559039-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559039-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559039-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559039-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:07,10:00,2020-05-16,2020-05-17,[''],,yes,no
