id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
574303,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Charlie Bodin,France,"Poligny, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.6685,6.0159,1400,call,//www.xeno-canto.org/574303,//www.xeno-canto.org/574303/download,XC574303-Bouvreuil pivoine cri poligny.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574303-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574303-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574303-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574303-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:51,07:30,2020-07-05,2020-07-08,[''],,yes,no
574302,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Charlie Bodin,France,"Poligny, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.6685,6.0159,1400,song,//www.xeno-canto.org/574302,//www.xeno-canto.org/574302/download,XC574302-Bouvreuil pivoine chant poligny.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574302-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574302-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574302-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574302-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:49,07:30,2020-07-05,2020-07-08,[''],,yes,no
572813,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Alwin van Lubeck,Netherlands,"Groningen, Groningen, Groningen",53.2021,6.6042,10,"adult, call, male, song",//www.xeno-canto.org/572813,//www.xeno-canto.org/572813/download,XC572813-Goudvink man aparte roep.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/WNWPLYVMWV/ffts/XC572813-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/WNWPLYVMWV/ffts/XC572813-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/WNWPLYVMWV/ffts/XC572813-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/WNWPLYVMWV/ffts/XC572813-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,21:30,2020-06-22,2020-07-01,[''],,yes,no
562236,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Eric Cuvelier,France,"Escautpont, Nord, Hauts-de-France",50.4244,3.5614,30,"male, song",//www.xeno-canto.org/562236,//www.xeno-canto.org/562236/download,XC562236-BOUPIV.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EMSKLOFZGD/ffts/XC562236-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EMSKLOFZGD/ffts/XC562236-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EMSKLOFZGD/ffts/XC562236-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EMSKLOFZGD/ffts/XC562236-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:19,21:30,2020-05-25,2020-05-26,[''],"Un Bouvreuil pivoine mâle chante, rejoint par un second.",yes,no
559043,Pyrrhula,pyrrhula,,Eurasian Bullfinch,riou,France,"Plévin, Côtes-d'Armor, Bretagne",48.2272,-3.5041,190,"adult, flight call, male",//www.xeno-canto.org/559043,//www.xeno-canto.org/559043/download,XC559043-BOUVREUIL 16mai 11h55.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559043-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559043-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559043-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/KTFJBGYAVQ/ffts/XC559043-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,10:30,2020-05-16,2020-05-17,['Phylloscopus trochilus'],,yes,no
553500,Pyrrhula,pyrrhula,europaea,Eurasian Bullfinch,Frederik Fluyt,Belgium,"Oud-Heverlee, Vlaams-Brabant, Vlaanderen",50.7984,4.6896,10,"call, male, song",//www.xeno-canto.org/553500,//www.xeno-canto.org/553500/download,XC553500-goudvink_030520_MDW.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553500-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553500-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553500-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/COJPKBPZLS/ffts/XC553500-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:06,09:00,2020-05-03,2020-05-03,['Phylloscopus collybita'],,yes,no
543718,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Benoît Van Hecke,France,"Béruges, Vienne, Nouvelle-Aquitaine",46.5842,0.2123,140,"adult, call",//www.xeno-canto.org/543718,//www.xeno-canto.org/543718/download,XC543718-sans titre.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC543718-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC543718-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC543718-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC543718-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,0:40,12:42,2020-04-05,2020-04-10,[''],Audiomoth,unknown,unknown
541884,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Pierrick Devoucoux,France,"Montpellier, Hérault, Languedoc-Roussillon",43.6108,3.8767,50,flight call,//www.xeno-canto.org/541884,//www.xeno-canto.org/541884/download,XC541884-200405_0100_Pyrrhula pyrrhula_fc_10h04.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC541884-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC541884-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC541884-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GJEKVFMUSB/ffts/XC541884-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:06,10:04,2020-04-05,2020-04-05,[''],,no,no
539302,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Benoît Van Hecke,France,"Quinçay, Vienne, Nouvelle-Aquitaine",46.5929,0.1954,130,call,//www.xeno-canto.org/539302,//www.xeno-canto.org/539302/download,XC539302-200328-131748.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC539302-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC539302-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC539302-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC539302-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,0:19,14:15,2020-03-28,2020-03-28,[''],Zoom SGH-6 + Zoom F1,unknown,unknown
537361,Pyrrhula,pyrrhula,,Eurasian Bullfinch,Frantz Barrault,France,"Les Piards, Jura, Bourgogne-Franche-Comté",46.4862,5.8167,950,call,//www.xeno-canto.org/537361,//www.xeno-canto.org/537361/download,XC537361-Bouvreuil_pivoine_cris_joux_01_08_2019.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC537361-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC537361-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC537361-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC537361-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:35,19:30,2019-08-01,2020-03-22,['Fringilla coelebs'],,yes,no
