id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
569757,Garrulus,glandarius,,Eurasian Jay,Jacobo Ramil MIllarengo,Spain,"  Sisalde, Ames, A Coruña, Galicia",42.8373,-8.652,30,"alarm call, mimicry/imitation",//www.xeno-canto.org/569757,//www.xeno-canto.org/569757/download,XC569757-G. glandarius alarma na fraga 18.6.20 Sisalde.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569757-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569757-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569757-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC569757-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:14,09:30,2020-06-18,2020-06-18,"['Picus sharpei', 'Turdus merula', 'Troglodytes troglodytes']",,yes,no
568725,Garrulus,glandarius,,Eurasian Jay,Giuseppe Speranza,Italy,"Nago-torbole, Trentino, Trentino-Alto Adige",45.8459,10.8662,200,call,//www.xeno-canto.org/568725,//www.xeno-canto.org/568725/download,XC568725-200613_1471-ampl-cut.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC568725-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC568725-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC568725-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/URREFGVMYF/ffts/XC568725-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:45,10:00,2020-06-13,2020-06-15,[''],,no,no
562712,Garrulus,glandarius,,Eurasian Jay,Jorge Leitão,Portugal,"Parque do Bom Jesus (near  Braga), Braga, Braga",41.5547,-8.3771,400,call,//www.xeno-canto.org/562712,//www.xeno-canto.org/562712/download,XC562712-2020.05.26_11.10_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562712-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562712-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562712-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562712-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,11:10,2020-05-26,2020-05-28,"['Sitta europaea', 'Parus major']",,yes,no
560574,Garrulus,glandarius,,Eurasian Jay,Jorge Leitão,Portugal,"Sete Fontes, São Victor (near  Braga) Braga",41.5693,-8.4042,220,call,//www.xeno-canto.org/560574,//www.xeno-canto.org/560574/download,XC560574-Garrulus glandarius_2020.05.20_12.33_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560574-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560574-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560574-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC560574-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:31,12:33,2020-05-20,2020-05-22,[''],,yes,no
557883,Garrulus,glandarius,,Eurasian Jay,Stanislas Wroza,France,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",48.3941,2.577,70,"call, flight call, harsh call",//www.xeno-canto.org/557883,//www.xeno-canto.org/557883/download,XC557883-Geai des chenes cris de vol erailles.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557883-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557883-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557883-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557883-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:09,06:00,2020-05-12,2020-05-13,[''],,yes,no
557882,Garrulus,glandarius,,Eurasian Jay,Stanislas Wroza,France,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",48.3941,2.577,70,"call, song",//www.xeno-canto.org/557882,//www.xeno-canto.org/557882/download,XC557882-Geai des chenes chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557882-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557882-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557882-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC557882-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,06:00,2020-05-12,2020-05-13,[''],,yes,no
557368,Garrulus,glandarius,,Eurasian Jay,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,call,//www.xeno-canto.org/557368,//www.xeno-canto.org/557368/download,XC557368-gaig 11 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC557368-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC557368-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC557368-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC557368-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,09:30,2020-05-11,2020-05-11,[''],,no,no
538225,Garrulus,glandarius,,Eurasian Jay,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,call,//www.xeno-canto.org/538225,//www.xeno-canto.org/538225/download,XC538225-Garrulus glandarius_2020.03.14_09.53_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC538225-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC538225-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC538225-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC538225-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:25,09:53,2020-03-14,2020-03-25,"['Erithacus rubecula', 'Sitta europaea', 'Corvus corone']",,yes,no
524769,Garrulus,glandarius,,Eurasian Jay,Jorge Leitão,Portugal,"Parque do Bom Jesus (near  Braga), Braga, Braga",41.5547,-8.3771,400,Conflict call,//www.xeno-canto.org/524769,//www.xeno-canto.org/524769/download,XC524769-Garrulus glandarius_2020.02.04_12.33_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC524769-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC524769-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC524769-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC524769-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:20,12:33,2020-02-04,2020-02-07,"['Certhia brachydactyla', 'Strix aluco', 'Troglodytes troglodytes']",,yes,no
523662,Garrulus,glandarius,,Eurasian Jay,Annette Hamann,Germany,"Spreewaldplatz (Berlin) (near  Berlin), Berlin",52.4974,13.4303,40,call,//www.xeno-canto.org/523662,//www.xeno-canto.org/523662/download,XC523662-Habicht.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC523662-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC523662-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC523662-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC523662-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:15,08:45,2020-02-01,2020-02-02,"['Passer domesticus', 'Corvus cornix', 'Columba palumbus']",mimicry with northern goshawk like calls.,no,no
