id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575906,Pica,pica,,Eurasian Magpie,Sidney M,Spain,"Val d'Aran (near  Mont), Lérida, Cataluña",42.7266,0.7951,1200,call,//www.xeno-canto.org/575906,//www.xeno-canto.org/575906/download,XC575906-pica pica 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575906-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575906-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575906-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575906-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:20,16:00,2020-07-12,2020-07-14,[''],,yes,no
573950,Pica,pica,,Eurasian Magpie,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,call,//www.xeno-canto.org/573950,//www.xeno-canto.org/573950/download,XC573950-garsa 6 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573950-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573950-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573950-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573950-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:09,08:00,2020-07-06,2020-07-06,[''],,yes,no
571227,Pica,pica,,Eurasian Magpie,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"aberrant, call, sex uncertain",//www.xeno-canto.org/571227,//www.xeno-canto.org/571227/download,XC571227-Pica pica_2020.06.23_10.08_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571227-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571227-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571227-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571227-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:25,10:08,2020-06-23,2020-06-24,[''],,yes,no
569546,Pica,pica,,Eurasian Magpie,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"agressive, call",//www.xeno-canto.org/569546,//www.xeno-canto.org/569546/download,XC569546-Pica pica_2020.06.15_08.57_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569546-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569546-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569546-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC569546-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:25,08:57,2020-06-15,2020-06-17,[''],,yes,no
568763,Pica,pica,,Eurasian Magpie,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,call,//www.xeno-canto.org/568763,//www.xeno-canto.org/568763/download,XC568763-garsa 15 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568763-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568763-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568763-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC568763-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:54,10:30,2020-06-15,2020-06-15,[''],chick on the ground,yes,no
568032,Pica,pica,,Eurasian Magpie,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7383,-3.7504,950,"call, juvenile",//www.xeno-canto.org/568032,//www.xeno-canto.org/568032/download,"XC568032-8 jun. 16.19 urrac, call joven.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568032-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568032-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568032-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568032-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:03,16:19,2020-05-08,2020-06-13,[''],Grabado en urbanización de baja densidad de población con abundante arbolado. Grabación amplificada,yes,no
568030,Pica,pica,,Eurasian Magpie,Jose A. Neila Ballesteros,Spain,"Cuenca Alta del Manzanares (near  Soto del Real), Madrid, Comunidad de Madrid",40.7383,-3.7504,950,call,//www.xeno-canto.org/568030,//www.xeno-canto.org/568030/download,XC568030-8 jun. 16.22 urra call.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568030-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568030-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568030-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC568030-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:09,7:30,2020-05-09,2020-06-13,[''],Grabado en urbanización de baja densidad de población con abundante arbolado. Grabación amplificada,yes,no
567972,Pica,pica,,Eurasian Magpie,Pierre Foulquier,France,"Villeneuve-lès-Maguelone, Hérault, Occitanie",43.5118,3.8367,0,"call, flight call, life stage uncertain",//www.xeno-canto.org/567972,//www.xeno-canto.org/567972/download,XC567972-pie_bavarde_boulas.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC567972-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC567972-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC567972-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YESYDXYEZD/ffts/XC567972-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:14,08:00,2020-06-11,2020-06-13,[''],,no,no
563424,Pica,pica,,Eurasian Magpie,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,call,//www.xeno-canto.org/563424,//www.xeno-canto.org/563424/download,XC563424-garsa 29 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563424-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563424-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563424-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC563424-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,09:30,2020-05-29,2020-05-30,[''],,unknown,unknown
563403,Pica,pica,,Eurasian Magpie,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,"call, nocturnal flight call",//www.xeno-canto.org/563403,//www.xeno-canto.org/563403/download,XC563403-20200527_213000 Pie bavarde nocmig.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563403-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563403-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563403-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563403-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,21:30,2020-05-27,2020-05-30,[''],,yes,no
563402,Pica,pica,,Eurasian Magpie,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,"call, nocturnal flight call",//www.xeno-canto.org/563402,//www.xeno-canto.org/563402/download,XC563402-20200527_213000 Pie bavarde nocmig 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563402-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563402-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563402-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC563402-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,21:30,2020-05-27,2020-05-30,[''],,yes,no
561140,Pica,pica,,Eurasian Magpie,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,"call, flight call",//www.xeno-canto.org/561140,//www.xeno-canto.org/561140/download,XC561140-magpie 22 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561140-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561140-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561140-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561140-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,08:00,2020-05-22,2020-05-23,[''],,unknown,unknown
561138,Pica,pica,,Eurasian Magpie,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,"call, flight call",//www.xeno-canto.org/561138,//www.xeno-canto.org/561138/download,XC561138-magpie 22 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561138-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561138-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561138-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC561138-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,08:00,2020-05-21,2020-05-23,[''],,unknown,unknown
560807,Pica,pica,,Eurasian Magpie,Enrico Carta,Italy,"Vallecrosia, Provincia di Imperia, Liguria",43.7844,7.6388,10,call,//www.xeno-canto.org/560807,//www.xeno-canto.org/560807/download,XC560807-pica pica XC1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC560807-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC560807-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC560807-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC560807-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:32,18:54,2020-04-24,2020-05-22,[''],,yes,no
