id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575849,Sitta,europaea,,Eurasian Nuthatch,Sidney M,Spain,"Alta Ribagorça (near  Vilaller), Lleida, Catalunya",42.6095,0.7718,1600,song,//www.xeno-canto.org/575849,//www.xeno-canto.org/575849/download,XC575849-m 12 13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575849-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575849-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575849-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575849-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:03,12:30,2020-07-12,2020-07-14,[''],,no,no
575424,Sitta,europaea,europaea,Eurasian Nuthatch,Stanislas Wroza,Estonia,"Tartu, Tartu City, Tartu maakond",58.3803,26.7121,70,"""douit"" call, call",//www.xeno-canto.org/575424,//www.xeno-canto.org/575424/download,XC575424-Sittelle torchepot europea douit.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575424-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575424-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575424-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575424-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,11:00,2020-07-06,2020-07-13,[''],,yes,no
572661,Sitta,europaea,,Eurasian Nuthatch,Jorge Leitão,Netherlands,"Dommeilplantsoen, near Genneper Parken, Eindhoven, Noord-Brabant",51.4269,5.4752,20,"Conflict call, female, male",//www.xeno-canto.org/572661,//www.xeno-canto.org/572661/download,XC572661-2020.06.30_12.24_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572661-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572661-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572661-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC572661-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:37,12:24,2020-06-30,2020-07-01,"['Corvus corone', 'Phylloscopus collybita']",,yes,no
572407,Sitta,europaea,,Eurasian Nuthatch,Sebastian Andrejeff,Estonia,"Pähklisaare MKA, Tartu maakond",58.4176,27.01,70,"call, juvenile",//www.xeno-canto.org/572407,//www.xeno-canto.org/572407/download,XC572407-siteur juv ja lopcri.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572407-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572407-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572407-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC572407-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:41,12:00,2020-06-26,2020-06-29,['Lophophanes cristatus'],,yes,no
572075,Sitta,europaea,,Eurasian Nuthatch,Byoungsoon Jang,South Korea,"Gurye-gun, Jeollanam-do",35.2963,127.5354,1300,"call, juvenile",//www.xeno-canto.org/572075,//www.xeno-canto.org/572075/download,"XC572075-2020,06.27_7.03(eurasian nuthatch).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572075-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572075-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572075-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RVLNPQSYVW/ffts/XC572075-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:58,7:03,2020-06-27,2020-06-28,[''],,yes,no
571559,Sitta,europaea,,Eurasian Nuthatch,Enrico Carta,Italy,"Malo, Provincia di Vicenza, Veneto",45.6402,11.4003,400,call,//www.xeno-canto.org/571559,//www.xeno-canto.org/571559/download,XC571559-Picchio muratore Monte Pian 25.06.2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC571559-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC571559-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC571559-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GELMCTLAEM/ffts/XC571559-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:29,11:30,2020-06-25,2020-06-25,[''],,no,yes
563080,Sitta,europaea,,Eurasian Nuthatch,Hans Norelius,Sweden,"Tullgarns slott, Södertälje, Stockholms län",58.9587,17.5765,20,call,//www.xeno-canto.org/563080,//www.xeno-canto.org/563080/download,XC563080-NötväckaL_Tullgarn_Maj2020_200529-083706.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563080-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563080-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563080-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/MNQLBOLQFS/ffts/XC563080-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,08:30,2020-05-29,2020-05-29,[''],,yes,no
562643,Sitta,europaea,,Eurasian Nuthatch,Jorge Leitão,Portugal,"Parque do Bom Jesus (near  Braga), Braga, Braga",41.5547,-8.3771,400,call,//www.xeno-canto.org/562643,//www.xeno-canto.org/562643/download,XC562643-Sitta europaea_2020.05.26_09.48_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562643-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562643-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562643-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562643-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:50,9:48,2020-05-26,2020-05-27,[''],"Wind, wind...",yes,no
562458,Sitta,europaea,,Eurasian Nuthatch,Jorge Leitão,Portugal,"Parque do Bom Jesus (near  Braga), Braga, Braga",41.5547,-8.3771,400,"call, song",//www.xeno-canto.org/562458,//www.xeno-canto.org/562458/download,XC562458-2020.05.25_12.34_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562458-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562458-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562458-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC562458-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:17,12:34,2020-05-25,2020-05-27,[''],,yes,no
559850,Sitta,europaea,,Eurasian Nuthatch,Bodo Sonnenburg,Germany,"Oder-Spree (near  Storkow (Mark)), Brandenburg",52.2543,13.8895,40,call,//www.xeno-canto.org/559850,//www.xeno-canto.org/559850/download,XC559850-kleiber0748.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC559850-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC559850-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC559850-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC559850-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:45,07:48,2020-05-20,2020-05-20,"['Dryocopus martius', 'Sylvia atricapilla']",2 individuals,yes,no
