id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575075,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Petter Kappel,Sweden,"Strängnäs Municipality, Södermanlands län",59.3393,17.1822,10,song,//www.xeno-canto.org/575075,//www.xeno-canto.org/575075/download,"XC575075-20200711_140104_namnlöst_Gesta gård, Rörsångare.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC575075-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC575075-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC575075-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QERMVZCPVV/ffts/XC575075-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:59,14:00,2020-07-11,2020-07-12,[''],,yes,unknown
574112,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Jacobo Ramil MIllarengo,Spain,"Brañas de Laíño, Dodro, A  Coruña, Galicia",42.7235,-8.6731,0,"adult, male, song",//www.xeno-canto.org/574112,//www.xeno-canto.org/574112/download,"XC574112-200703_02.Ac. scirpaceus Brañas de Laíño, Dodro, 8.30 3.7.20. no medio do Carrizal.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574112-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574112-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574112-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/ffts/XC574112-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,3:31,09:00,2020-07-03,2020-07-07,[''],,no,no
573289,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"begging call, juvenile",//www.xeno-canto.org/573289,//www.xeno-canto.org/573289/download,XC573289-2020.07.03_09.52_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573289-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573289-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573289-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573289-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:54,09:59,2020-07-03,2020-07-03,[''],Wind noise,yes,no
572806,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572806,//www.xeno-canto.org/572806/download,XC572806-scirpaceus 29 13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572806-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572806-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572806-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572806-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:39,09:30,2020-06-29,2020-07-01,[''],,yes,no
572804,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572804,//www.xeno-canto.org/572804/download,XC572804-scirpaceus 29 12.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572804-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572804-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572804-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572804-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,09:30,2020-06-29,2020-07-01,[''],,yes,no
572803,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572803,//www.xeno-canto.org/572803/download,XC572803-scirpaceus 29 11.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572803-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572803-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572803-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572803-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:11,09:30,2020-06-29,2020-07-01,[''],,yes,no
572801,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572801,//www.xeno-canto.org/572801/download,XC572801-scirpaceus 29 10.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572801-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572801-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572801-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572801-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,09:30,2020-06-29,2020-07-01,[''],,yes,no
572800,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572800,//www.xeno-canto.org/572800/download,XC572800-scirpaceus 29 9.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572800-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572800-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572800-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572800-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:14,09:30,2020-06-29,2020-07-01,[''],,yes,no
572799,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572799,//www.xeno-canto.org/572799/download,XC572799-scirpaceus 29 8.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572799-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572799-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572799-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572799-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,09:30,2020-06-29,2020-07-01,[''],,yes,no
572797,Acrocephalus,scirpaceus,,Eurasian Reed Warbler,Sidney M,Spain,"Tarragonès (near  Vilaseca), Tarragona, Cataluña",41.0992,1.1604,20,"call, song",//www.xeno-canto.org/572797,//www.xeno-canto.org/572797/download,XC572797-scirpaceus 29 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572797-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572797-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572797-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC572797-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:46,09:30,2020-06-29,2020-07-01,[''],,yes,no
