id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
578419,Carduelis,carduelis,,European Goldfinch,Frantz Barrault,France,"Fay-en-Montagne, Jura, Bourgogne-Franche-Comté",46.7506,5.7271,550,"adult, call, sex uncertain",//www.xeno-canto.org/578419,//www.xeno-canto.org/578419/download,XC578419-chardonneret_Fay-en-montagne_23-07-2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578419-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578419-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578419-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578419-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,10:30,2020-07-23,2020-07-23,[''],,yes,no
578417,Carduelis,carduelis,,European Goldfinch,Frantz Barrault,France,"Fay-en-Montagne, Jura, Bourgogne-Franche-Comté",46.7506,5.7271,550,"adult, call, flight call, male, sex uncertain",//www.xeno-canto.org/578417,//www.xeno-canto.org/578417/download,XC578417-chardonneret_Fay-en-montagne_23-07-2020_2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578417-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578417-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578417-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC578417-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,10:30,2020-07-23,2020-07-23,[''],,yes,no
577377,Carduelis,carduelis,,European Goldfinch,Alain Beuget,France,"Plourhan, Côtes-d'Armor, Bretagne",48.6137,-2.8753,80,"adult, male, song",//www.xeno-canto.org/577377,//www.xeno-canto.org/577377/download,XC577377-chardonneret élégant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC577377-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC577377-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC577377-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EMDGOHHWZH/ffts/XC577377-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,08:30,2020-07-19,2020-07-19,['Columba palumbus'],in the garden,yes,no
577365,Carduelis,carduelis,,European Goldfinch,Jose A. Neila Ballesteros,Spain,"Astuera (near  Colunga), Asturias, Principado de Asturias",43.5062,-5.2695,20,song,//www.xeno-canto.org/577365,//www.xeno-canto.org/577365/download,XC577365-4 jul. 17.15 jilguero.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577365-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577365-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577365-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577365-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:50,17:15,2020-07-04,2020-07-19,[''],Grabado en zona arbustiva junto al mar.,no,no
571980,Carduelis,carduelis,,European Goldfinch,Rick Sharloch,Czech Republic,"Čížkov, Plzeň-jih, Plzeňský kraj",49.5599,13.6433,600,"adult, male, song",//www.xeno-canto.org/571980,//www.xeno-canto.org/571980/download,XC571980-ZOOM0004_Tr1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC571980-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC571980-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC571980-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC571980-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:52,14:00,2020-06-27,2020-06-27,[''],,yes,no
563758,Carduelis,carduelis,,European Goldfinch,Alain Verneau,France,"Gatteville-le-Phare, Manche, Normandie",49.6914,-1.2833,10,"adult, song",//www.xeno-canto.org/563758,//www.xeno-canto.org/563758/download,XC563758-ChardonneretXC.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC563758-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC563758-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC563758-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NOJNUVZEHB/ffts/XC563758-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:17,10:30,2020-05-31,2020-05-31,[''],,yes,no
560532,Carduelis,carduelis,,European Goldfinch,Rick Sharloch,Czech Republic,"Čížkov, Plzeň-South District, Plzeň Region",49.5558,13.6831,600,"adult, male, song",//www.xeno-canto.org/560532,//www.xeno-canto.org/560532/download,XC560532-ZOOM0003_stehlik-stereo.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC560532-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC560532-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC560532-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NXWSPUOOMQ/ffts/XC560532-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:48,09:00,2020-05-22,2020-05-22,[''],,no,no
559409,Carduelis,carduelis,,European Goldfinch,Jarek Matusiak,Poland,"Gmina Białowieża (near  Białowieża), Hajnówka County, Podlaskie Voivodeship",52.6978,23.8531,150,"adult, male, song",//www.xeno-canto.org/559409,//www.xeno-canto.org/559409/download,XC559409-JAREK-MATUSIAK-A-648 (2) szczygieł.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559409-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559409-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559409-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC559409-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,01:00,2020-05-17,2020-05-18,[''],Natural breeding place deep in the riverine forest - about 2 km from the edge of forest,unknown,unknown
559123,Carduelis,carduelis,,European Goldfinch,Daniel Hinckley,Spain,"Sa Cabaneta, Illes Balears",39.6133,2.741,90,"adult, song",//www.xeno-canto.org/559123,//www.xeno-canto.org/559123/download,XC559123-200517-071523_MN_CarCar_SaCa_1burst.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559123-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559123-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559123-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559123-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,07:15,2020-05-17,2020-05-17,[''],Unfiltered. One burst of song.,no,no
559121,Carduelis,carduelis,,European Goldfinch,Daniel Hinckley,Spain,"Sa Cabaneta, Illes Balears",39.6133,2.741,90,"adult, song",//www.xeno-canto.org/559121,//www.xeno-canto.org/559121/download,XC559121-200517-071806_MN_CarCar_SaCa_song.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559121-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559121-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559121-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559121-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,07:18,2020-05-17,2020-05-17,[''],Song. Hi-pass filtered.,no,no
559119,Carduelis,carduelis,,European Goldfinch,Daniel Hinckley,Spain,"Sa Cabaneta, Illes Balears",39.6133,2.741,90,"adult, flight call",//www.xeno-canto.org/559119,//www.xeno-canto.org/559119/download,XC559119-200517-071413_MN_CarCar_SaCa_flight.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559119-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559119-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559119-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/FFNYJFDJXV/ffts/XC559119-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,07:14,2020-05-17,2020-05-17,[''],Flight calls. Hi-pass filtered.,yes,no
558270,Carduelis,carduelis,,European Goldfinch,Alan Dalton,Sweden,"Stockholm, Stockholm Municipality, Stockholms län",59.3158,18.0588,40,flight call,//www.xeno-canto.org/558270,//www.xeno-canto.org/558270/download,XC558270-Goldfinch.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558270-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558270-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558270-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC558270-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:13,04:30,2020-05-14,2020-05-14,[''],,no,no
557500,Carduelis,carduelis,,European Goldfinch,Alexander Schlatmann,France,"Boujan-sur-Libron, Hérault, Occitanie",43.3806,3.2658,70,"adult, song",//www.xeno-canto.org/557500,//www.xeno-canto.org/557500/download,XC557500-180918_0091.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LRZESOXXOO/ffts/XC557500-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LRZESOXXOO/ffts/XC557500-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LRZESOXXOO/ffts/XC557500-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LRZESOXXOO/ffts/XC557500-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,10:00,2020-05-12,2020-05-12,[''],"Olympus LS-12, internal mic",unknown,unknown
