id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575581,Picus,viridis,,European Green Woodpecker,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"alarm call, call",//www.xeno-canto.org/575581,//www.xeno-canto.org/575581/download,XC575581-2020.07.13_10.06_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575581-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575581-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575581-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575581-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:47,10:06,2020-07-13,2020-07-14,"['Troglodytes troglodytes', 'Phylloscopus collybita']",,yes,no
573514,Picus,viridis,,European Green Woodpecker,Benoît Van Hecke,France,"Fontaine-le-Comte, Vienne, Nouvelle-Aquitaine",46.5339,0.2707,140,"adult, alarm call",//www.xeno-canto.org/573514,//www.xeno-canto.org/573514/download,XC573514-200705-071448.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC573514-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC573514-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC573514-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IIGGEELDDD/ffts/XC573514-full.png'}",//creativecommons.org/licenses/by-sa/4.0/,no score,0:11,09:14,2020-07-05,2020-07-05,['Buteo buteo'],"Alarm call probably on buteo buteo

Zoom SGH6 + F1",unknown,unknown
571463,Picus,viridis,,European Green Woodpecker,Stanislas Wroza,France,"Gif-sur-Yvette, Essonne, Île-de-France",48.7027,2.1156,70,"aberrant, long song, song",//www.xeno-canto.org/571463,//www.xeno-canto.org/571463/download,XC571463-Pic vers avec chant intriguant type cendre long.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571463-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571463-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571463-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC571463-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,4:56,20:00,2020-06-21,2020-06-25,[''],Sound trap,no,no
577962,Picus,viridis,,European Green Woodpecker,Olivier SWIFT,France,"Albi, Tarn, Occitanie",43.9293,2.1419,170,song,//www.xeno-canto.org/577962,//www.xeno-canto.org/577962/download,XC577962-PICVIR_200229_5629_Albi81.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577962-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577962-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577962-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577962-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,10:50,2020-02-29,2020-07-21,['Erithacus rubecula'],Tascam DR05 - Wildtronics parabole,no,no
577473,Picus,viridis,,European Green Woodpecker,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.1779,0.3939,480,call,//www.xeno-canto.org/577473,//www.xeno-canto.org/577473/download,XC577473-PICVIR_200719_6074_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577473-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577473-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577473-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577473-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,08:43,2020-07-19,2020-07-19,"['Sylvia atricapilla', 'Erithacus rubecula', 'Emberiza citrinella']",Tascam DR05 and Dodotronic parabole,no,no
577470,Picus,viridis,,European Green Woodpecker,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.1779,0.3939,480,call,//www.xeno-canto.org/577470,//www.xeno-canto.org/577470/download,XC577470-PICVIR__200719_6058_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577470-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577470-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577470-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577470-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,07:18,2020-07-19,2020-07-19,[''],Tascam DR05 and Dodotronic parabole,yes,no
576369,Picus,viridis,,European Green Woodpecker,Grzegorz Lorek,Poland,"Gmina Rydzyna, leszczyński, Wielkopolskie",51.8393,16.6678,110,"call, juvenile, sex uncertain",//www.xeno-canto.org/576369,//www.xeno-canto.org/576369/download,XC576369-bez nazwy.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576369-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576369-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576369-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JXZFXAZWHY/ffts/XC576369-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,18:00,2020-07-16,2020-07-16,[''],Edge of decidous forest. Bird perched at the horizontal pine branch. Recorder Zoom H1N.,yes,no
557932,Picus,viridis,,European Green Woodpecker,Olivier SWIFT,France,"Saint-Servant, Morbihan, Bretagne",47.9279,-2.5175,40,"call, song",//www.xeno-canto.org/557932,//www.xeno-canto.org/557932/download,XC557932-PICVIR_191227_5305_StGobrien56.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC557932-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC557932-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC557932-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC557932-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,10:07,2019-12-27,2020-05-13,"['Parus major', 'Columba palumbus', 'Turdus philomelos']",Tascam DR05 and Wildtronics parabole. One song,yes,no
554268,Picus,viridis,,European Green Woodpecker,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.178,0.3973,460,song,//www.xeno-canto.org/554268,//www.xeno-canto.org/554268/download,XC554268-PICVIR_200503_5724_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC554268-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC554268-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC554268-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC554268-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:30,16:19,2020-05-03,2020-05-05,"['Sylvia atricapilla', 'Cuculus canorus', 'Fringilla coelebs', 'Parus major', 'Columba palumbus']",Tascam DR05 and Wildtronics parabole,no,no
553921,Picus,viridis,,European Green Woodpecker,Alexander Henderson,United Kingdom,"Bushey Norwood, Bath, Bath and North East Somerset, England",51.3786,-2.317,170,"adult, song",//www.xeno-canto.org/553921,//www.xeno-canto.org/553921/download,XC553921-200419_0719_BusheyNorwood_GreenWoodpecker_mp3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC553921-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC553921-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC553921-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HYKVPYDPHP/ffts/XC553921-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,7:11,07:32,2020-04-19,2020-05-04,"['Parus major', 'Cyanistes caeruleus', 'Sitta europaea', 'Erithacus rubecula', 'Troglodytes troglodytes', 'Corvus corone', 'Coloeus monedula', 'Columba palumbus', 'Periparus ater']","Yaffle. The context of the recording is explained in XC553920 which was made a few minutes before. 

Edited below 1200 Hz very lightly and but mainly below 1000 Hz (8 dB) also below 300 Hz to reduce wind noise.",yes,no
