id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
576057,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/576057,//www.xeno-canto.org/576057/download,XC576057-green 14 6.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576057-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576057-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576057-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576057-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:20,17:00,2020-07-14,2020-07-15,[''],,yes,no
576056,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/576056,//www.xeno-canto.org/576056/download,XC576056-green 14 5.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576056-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576056-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576056-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576056-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:09,17:00,2020-07-14,2020-07-15,[''],,yes,no
576055,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/576055,//www.xeno-canto.org/576055/download,XC576055-green 14 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576055-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576055-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576055-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576055-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,17:00,2020-07-14,2020-07-15,[''],,yes,no
576053,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/576053,//www.xeno-canto.org/576053/download,XC576053-green 14 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576053-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576053-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576053-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576053-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,17:00,2020-07-14,2020-07-15,[''],,yes,no
576052,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/576052,//www.xeno-canto.org/576052/download,XC576052-green 14 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576052-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576052-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576052-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576052-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,17:00,2020-07-14,2020-07-15,[''],,yes,no
576050,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/576050,//www.xeno-canto.org/576050/download,XC576050-green 14 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576050-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576050-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576050-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC576050-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:07,17:00,2020-07-14,2020-07-15,[''],,yes,no
575795,Chloris,chloris,,European Greenfinch,Stanislas Wroza,Estonia,"Sääre, Saaremaa Parish, Saare maakond",57.9132,22.0561,0,"aberrant, flight call, modulated call like redpoll",//www.xeno-canto.org/575795,//www.xeno-canto.org/575795/download,XC575795-Verdier d Europe cri de vol module type sizerin.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575795-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575795-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575795-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575795-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,06:00,2020-07-10,2020-07-14,[''],Migration over Balitc sea,yes,no
574931,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Baix Camp (near  Cambrils), Tarragona, Catalunya",41.0648,1.0813,0,song,//www.xeno-canto.org/574931,//www.xeno-canto.org/574931/download,XC574931-greenfinch 8 june.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574931-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574931-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574931-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC574931-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:31,09:00,2020-06-13,2020-07-11,[''],,unknown,unknown
573848,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/573848,//www.xeno-canto.org/573848/download,XC573848-verdum 6 14.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573848-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573848-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573848-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573848-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,07:00,2020-07-06,2020-07-06,[''],,yes,no
573847,Chloris,chloris,,European Greenfinch,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,song,//www.xeno-canto.org/573847,//www.xeno-canto.org/573847/download,XC573847-verdum 6 13.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573847-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573847-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573847-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573847-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,07:00,2020-07-06,2020-07-06,[''],,yes,no
