id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
572191,Larus,argentatus,argentatus,European Herring Gull,Mats Rellmar,Sweden,Hallands Väderö ,56.4417,12.5615,20,"adult, call",//www.xeno-canto.org/572191,//www.xeno-canto.org/572191/download,XC572191-Larus argentatus ad call fly HV 200618 b.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC572191-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC572191-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC572191-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SNRCANJSRX/ffts/XC572191-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:42,06:00,2020-06-18,2020-06-28,[''],Adults calling in flight at breeding colony.,yes,no
570852,Larus,argentatus,,European Herring Gull,Franck Hollander,Germany,"Bremerhaven, Bremen",53.5342,8.6032,10,begging call,//www.xeno-canto.org/570852,//www.xeno-canto.org/570852/download,XC570852-inconnu_15062020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC570852-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC570852-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC570852-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC570852-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,03:30,2020-06-15,2020-06-22,[''],Night recording,unknown,unknown
550689,Larus,argentatus,,European Herring Gull,Grégoire Duffez,France,"Angers, Maine-et-Loire, Pays de la Loire",47.4591,-0.5531,40,nocturnal flight call,//www.xeno-canto.org/550689,//www.xeno-canto.org/550689/download,XC550689-20200426_20137_effraie_goeland.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VPHYTBRMIL/ffts/XC550689-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VPHYTBRMIL/ffts/XC550689-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VPHYTBRMIL/ffts/XC550689-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VPHYTBRMIL/ffts/XC550689-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,01:36,2020-04-26,2020-04-26,['Tyto alba'],not sure about which gull,no,no
549814,Larus,argentatus,,European Herring Gull,Mathis Pfreundt,Germany,"Wendlohstraße (near  Hamburg), Hamburg",53.6297,9.9392,10,nocturnal flight call,//www.xeno-canto.org/549814,//www.xeno-canto.org/549814/download,XC549814-24April20Silberxc.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AUQJVMVQOD/ffts/XC549814-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AUQJVMVQOD/ffts/XC549814-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AUQJVMVQOD/ffts/XC549814-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AUQJVMVQOD/ffts/XC549814-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,0:03,21:56,2020-04-23,2020-04-24,[''],,no,no
542935,Larus,argentatus,,European Herring Gull,Jorrit Vlot,Netherlands,"Lunteren, Ede, Gelderland",52.0831,5.6141,10,nocturnal flight call,//www.xeno-canto.org/542935,//www.xeno-canto.org/542935/download,XC542935-44 roerdomp2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC542935-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC542935-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC542935-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EAMYLQQNNS/ffts/XC542935-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,00:00,2020-04-07,2020-04-07,[''],,unknown,unknown
534138,Larus,argentatus,,European Herring Gull,Juha Saari,Finland,"Helsinki, Helsinki, Uusimaa",60.2357,25.0058,40,nocturnal flight call,//www.xeno-canto.org/534138,//www.xeno-canto.org/534138/download,XC534138-lararg_202003_11_12_yom_0429.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC534138-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC534138-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC534138-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/ffts/XC534138-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:08,04:29,2020-03-12,2020-03-12,[''],,no,no
528591,Larus,argentatus,,European Herring Gull,James Lidster,Netherlands,"Vuurtoren (near  De Cocksdorp), Texel, Noord-Holland",53.1807,4.8565,10,call,//www.xeno-canto.org/528591,//www.xeno-canto.org/528591/download,XC528591-Herring Gulls 180808_3413 0540u.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528591-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528591-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528591-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/NRUIFMFTXY/ffts/XC528591-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:24,05:40,2018-08-18,2020-02-19,[''],,no,no
527445,Larus,argentatus,,European Herring Gull,Stanislas Wroza,France,"Armorique Natural Regional Park (near  Ouessant), Finistère, Bretagne",48.4609,-5.0449,30,"call, flight call, song",//www.xeno-canto.org/527445,//www.xeno-canto.org/527445/download,XC527445-2018-10-29 Ouessant Goelands argentes cris et chant.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527445-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527445-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527445-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527445-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:21,09:00,2018-10-29,2020-02-12,[''],,yes,no
527000,Larus,argentatus,,European Herring Gull,Stanislas Wroza,France,"Armorique Natural Regional Park (near  Ouessant), Finistère, Bretagne",48.4609,-5.0449,30,flight call,//www.xeno-canto.org/527000,//www.xeno-canto.org/527000/download,XC527000-2018-11-02 Ouessant Goeland argente cris de vol -.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527000-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527000-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527000-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC527000-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:10,09:00,2018-11-02,2020-02-11,[''],,yes,no
521400,Larus,argentatus,,European Herring Gull,Annette Hamann,Germany,"Barnim (near  Joachimsthal), Brandenburg",52.9241,13.7139,40,"call, sex uncertain",//www.xeno-canto.org/521400,//www.xeno-canto.org/521400/download,XC521400-Silbermöwe2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC521400-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC521400-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC521400-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZGQBFCIWJI/ffts/XC521400-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:45,10:00,2020-01-19,2020-01-20,[''],subadult,yes,no
