id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573287,Erithacus,rubecula,,European Robin,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, male, song",//www.xeno-canto.org/573287,//www.xeno-canto.org/573287/download,XC573287-Erihacus rubecula_2020.07.03_09.29_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573287-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573287-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573287-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573287-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,2:55,09:29,2020-07-03,2020-07-03,[''],Urban noise,yes,no
571370,Erithacus,rubecula,,European Robin,Urban Lundström,Sweden,"Bredvik, Nordmaling Municipality, Västerbottens län",63.5399,19.6086,10,"male, song",//www.xeno-canto.org/571370,//www.xeno-canto.org/571370/download,XC571370-20200623-230034.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC571370-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC571370-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC571370-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/UMZTTEXDFM/ffts/XC571370-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,23:00,2020-06-23,2020-06-24,[''],,yes,no
568686,Erithacus,rubecula,rubecula,European Robin,Jarek Matusiak,Poland,Półwysep Helski,54.7032,18.6657,0,"adult, male, song",//www.xeno-canto.org/568686,//www.xeno-canto.org/568686/download,XC568686-JAREK-MATUSIAK-669 rudzik ed (3).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568686-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568686-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568686-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC568686-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,10:36,21:40,2020-06-13,2020-06-15,[''],,unknown,unknown
577946,Erithacus,rubecula,,European Robin,Alan Dalton,Sweden,Hällögern; Västerbotten,64.191,21.113,0,"call, song",//www.xeno-canto.org/577946,//www.xeno-canto.org/577946/download,XC577946-Robin 21sy July.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577946-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577946-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577946-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/BBJSEFYVPV/ffts/XC577946-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:17,01:00,2020-07-21,2020-07-21,"['Chroicocephalus ridibundus', 'Tringa glareola']",,no,no
577458,Erithacus,rubecula,,European Robin,Stanislas Wroza,France,"Gambaiseuil, Yvelines, Île-de-France",48.7449,1.754,150,"&quot;tek&quot; call, call, juvenile",//www.xeno-canto.org/577458,//www.xeno-canto.org/577458/download,XC577458-Rougegorge familier juv tek claquant ++.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC577458-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC577458-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC577458-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC577458-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:36,07:00,2020-07-19,2020-07-19,[''],,yes,no
576979,Erithacus,rubecula,,European Robin,Uku Paal,Estonia,"Valmaotsa, Tartu, Tartu maakond",58.4364,26.2911,50,"alarm call, call",//www.xeno-canto.org/576979,//www.xeno-canto.org/576979/download,XC576979-ERIRUB h 18072020 SELLI-SO.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC576979-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC576979-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC576979-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/XIBLXHRPJO/ffts/XC576979-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:33,06:00,2020-07-18,2020-07-18,[''],HPF applied,yes,no
575674,Erithacus,rubecula,,European Robin,Arjun Dutta,United Kingdom,"Great Britain (near  Wallington), Greater London, England",51.3532,-0.1461,80,"adult, alarm call, call, flight call, juvenile",//www.xeno-canto.org/575674,//www.xeno-canto.org/575674/download,XC575674-Robin call thingy.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC575674-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC575674-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC575674-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/ffts/XC575674-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:25,03:35,2020-07-10,2020-07-14,[''],"Recorded using a Tascam DR-05x recorder and Depusheng shotgun mic.
Bred very close-by.",no,no
575643,Erithacus,rubecula,,European Robin,Krzysztof Deoniziak,Poland,"Ostrówek, Podlaskie Voivodeship",53.2886,23.6935,170,call,//www.xeno-canto.org/575643,//www.xeno-canto.org/575643/download,XC575643-erithacus_rubecula_ostrowek_podlaskie_2020.07.13_0505.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575643-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575643-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575643-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/ffts/XC575643-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:57,09:00,2020-07-12,2020-07-14,"['Emberiza citrinella', 'Turdus philomelos', 'Sylvia atricapilla']","habitat: Shrubs in rural area.

Recorded with Wildlife Acoustics SM4.",no,no
575406,Erithacus,rubecula,,European Robin,Stanislas Wroza,Estonia,"Tähtvere Parish, Tartu maakond",58.3971,26.5377,30,"""tik call"", call, juvenile",//www.xeno-canto.org/575406,//www.xeno-canto.org/575406/download,XC575406-Rougegorge tik juv +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575406-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575406-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575406-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC575406-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,22:00,2020-07-05,2020-07-13,[''],,yes,no
574993,Erithacus,rubecula,,European Robin,Alain Malengreau,Belgium,"Bernissart, Hainaut, Wallonie",50.4744,3.6784,20,"male, song",//www.xeno-canto.org/574993,//www.xeno-canto.org/574993/download,XC574993-Rougegorge famillier 200518_2130_1SA_Marais d'Harchies_Canaron_Mixpre 403.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574993-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574993-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574993-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574993-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:52,21:30,2020-05-18,2020-07-11,[''],"HP Filter 1000Hz, -6dB, Telinga Pro 5 + Mixpre 3",yes,unknown
