id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
573204,Streptopelia,turtur,,European Turtle Dove,Frantz Barrault,France,"Labyrint'île (near  Barbâtre), Vendée, Pays de la Loire",46.9397,-2.1624,0,"male, song",//www.xeno-canto.org/573204,//www.xeno-canto.org/573204/download,XC573204-tourterelle_des_bois_chant_noirmoutier_29-06-2020.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC573204-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC573204-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC573204-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/RJUNGDNCSJ/ffts/XC573204-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,07:30,2020-06-29,2020-07-03,[''],,yes,no
571909,Streptopelia,turtur,,European Turtle Dove,Sidney M,Spain,"Tarragonès (near  Cambrils), Tarragona, Catalunya",41.0871,1.1009,30,call,//www.xeno-canto.org/571909,//www.xeno-canto.org/571909/download,XC571909-Streptopelia turtur 24 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571909-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571909-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571909-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC571909-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:18,09:00,2020-06-24,2020-06-27,[''],,yes,no
570103,Streptopelia,turtur,,European Turtle Dove,Jean-François Azens,France,"Chorges, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.5354,6.2588,1100,"adult, male, song",//www.xeno-canto.org/570103,//www.xeno-canto.org/570103/download,XC570103-Tourterelle des bois Chaussins 20-06-2020 08h45m00s.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570103-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570103-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570103-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570103-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,08:30,2020-06-20,2020-06-20,[''],,no,no
555244,Streptopelia,turtur,,European Turtle Dove,Domagoj Tomičić,Croatia,"Kupina, Općina Oprisavci, Brodsko-posavska županija",45.1406,18.3306,80,"adult, male, song",//www.xeno-canto.org/555244,//www.xeno-canto.org/555244/download,XC555244-473-266401-2799.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QWNVSAPPFP/ffts/XC555244-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QWNVSAPPFP/ffts/XC555244-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QWNVSAPPFP/ffts/XC555244-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QWNVSAPPFP/ffts/XC555244-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,10:00,2020-05-08,2020-05-08,"['Emberiza citrinella', 'Oriolus oriolus', 'Sylvia nisoria', 'Sylvia atricapilla']",,yes,no
578485,Streptopelia,turtur,,European Turtle Dove,João Tomás,Spain,"Vega de Granada (near  Güejar Sierra), Granada, Andalucía",37.1514,-3.4454,1000,"adult, male, song",//www.xeno-canto.org/578485,//www.xeno-canto.org/578485/download,XC578485-Streptopelia turtur_song_22_07_20_Guejar Sierra (online-audio-converter.com).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/POVKNQVSGU/ffts/XC578485-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/POVKNQVSGU/ffts/XC578485-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/POVKNQVSGU/ffts/XC578485-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/POVKNQVSGU/ffts/XC578485-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:23,08:30,2020-07-22,2020-07-23,"['Oriolus oriolus', 'Turdus merula', 'Emberiza cirlus', 'Cyanistes caeruleus']",,unknown,unknown
577480,Streptopelia,turtur,,European Turtle Dove,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.1779,0.3939,480,song,//www.xeno-canto.org/577480,//www.xeno-canto.org/577480/download,XC577480-STRTUR_200719_6076_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577480-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577480-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577480-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577480-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,08:50,2020-07-19,2020-07-19,[''],Tascam DR05 and Dodotronic parabole,no,no
577478,Streptopelia,turtur,,European Turtle Dove,Olivier SWIFT,France,"Galez, Hautes-Pyrénées, Occitanie",43.1779,0.3939,480,song,//www.xeno-canto.org/577478,//www.xeno-canto.org/577478/download,XC577478-STRTUR_200719_6066_Barran65.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577478-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577478-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577478-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/JCPKCBKKAQ/ffts/XC577478-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:39,07:39,2020-07-19,2020-07-19,['Sylvia atricapilla'],Tascam DR05 and Dodotronic parabole,no,no
575092,Streptopelia,turtur,,European Turtle Dove,David Bissett,United Kingdom,"Wrabness Nature reserve, Essex, England",51.942,1.1473,0,"adult, sex uncertain, song",//www.xeno-canto.org/575092,//www.xeno-canto.org/575092/download,XC575092-Turtle Dove.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC575092-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC575092-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC575092-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QKELZYKUGX/ffts/XC575092-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,3:42,06:00,2020-07-12,2020-07-12,[''],"The bird was at the top of a small tree in an area of scrub.  Accompanying the usual sound associated with turtle dove, there is another, which I haven't heard before.  Only heard this additional sound when the turtle dove was calling, so think that was the most likely source.",yes,no
574926,Streptopelia,turtur,,European Turtle Dove,Alain Malengreau,France,"Condé-sur-l'Escaut, Nord, Hauts-de-France",50.4618,3.6407,20,song,//www.xeno-canto.org/574926,//www.xeno-canto.org/574926/download,XC574926-Tourterelle des bois 200710_1030_20SA_Condé_Canarderie_Mixpre 834.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574926-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574926-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574926-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574926-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,10:30,2020-07-10,2020-07-11,[''],Windy conditions. Not filtered.ME66 + Mixpre 3,no,no
574925,Streptopelia,turtur,,European Turtle Dove,Alain Malengreau,France,"Condé-sur-l'Escaut, Nord, Hauts-de-France",50.4618,3.6407,20,song,//www.xeno-canto.org/574925,//www.xeno-canto.org/574925/download,XC574925-Tourterelle des bois 200710_1030_20SA_Condé_Canarderie_Mixpre 834.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574925-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574925-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574925-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EDRTTPSCEN/ffts/XC574925-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,10:30,2020-07-10,2020-07-11,[''],Windy conditions. Not filtered.ME66 + Mixpre 3,no,no
