id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575082,Sylvia,borin,,Garden Warbler,Bodo Sonnenburg,Germany,"Oder-Spree (near  Spreenhagen), Brandenburg",52.3411,13.8281,40,song,//www.xeno-canto.org/575082,//www.xeno-canto.org/575082/download,XC575082-gartengrasmü0414.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC575082-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC575082-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC575082-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC575082-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,1:26,04:14,2020-07-12,2020-07-12,"['Cuculus canorus', 'Turdus merula']",,no,no
574826,Sylvia,borin,,Garden Warbler,Bodo Sonnenburg,Germany,"Oder-Spree (near  Storkow (Mark)), Brandenburg",52.2162,13.8882,40,song,//www.xeno-canto.org/574826,//www.xeno-canto.org/574826/download,XC574826-gartengras0501.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574826-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574826-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574826-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC574826-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,1:00,05:01,2020-07-11,2020-07-11,"['Emberiza schoeniclus', 'Parus major']",,no,no
574441,Sylvia,borin,,Garden Warbler,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"male, song",//www.xeno-canto.org/574441,//www.xeno-canto.org/574441/download,XC574441-2020.07.06_10.53_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574441-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574441-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574441-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC574441-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:36,10:53,2020-07-06,2020-07-08,"['Haliaeetus albicilla', 'Phylloscopus collybita', 'Troglodytes troglodytes']",Wind noise,yes,no
574385,Sylvia,borin,,Garden Warbler,Jean-François Azens,France,"Crévoux, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.5464,6.6449,1900,"adult, male, song",//www.xeno-canto.org/574385,//www.xeno-canto.org/574385/download,XC574385-Fauvette des jardins Crévoux 08-07-2020 15h03m40s.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC574385-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC574385-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC574385-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC574385-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,1:24,15:00,2020-07-08,2020-07-08,['Phylloscopus collybita'],,no,no
572139,Sylvia,borin,,Garden Warbler,Bodo Sonnenburg,Germany,"Oder-Spree (near  Spreenhagen), Brandenburg",52.3406,13.8274,40,song,//www.xeno-canto.org/572139,//www.xeno-canto.org/572139/download,XC572139-gartengras0408.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572139-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572139-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572139-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/QAJPWEPSTL/ffts/XC572139-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,no score,1:22,04:08,2020-06-28,2020-06-28,"['Turdus merula', 'Sylvia atricapilla']",,no,no
571257,Sylvia,borin,,Garden Warbler,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/571257,//www.xeno-canto.org/571257/download,XC571257-Sylvia borin_2020.06.23_08.48_01 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571257-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571257-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571257-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571257-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:40,08:48,2020-06-23,2020-06-24,[''],,yes,no
571255,Sylvia,borin,,Garden Warbler,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,song,//www.xeno-canto.org/571255,//www.xeno-canto.org/571255/download,XC571255-Sylvia borin_2020.06.23_08.49_01.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571255-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571255-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571255-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC571255-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:20,08:49,2020-06-23,2020-06-24,[''],,yes,no
577372,Sylvia,borin,,Garden Warbler,Jose A. Neila Ballesteros,Spain,"Oviedo (near  Soto de Ribera), Asturias, Principado de Asturias",43.3137,-5.9234,120,song,//www.xeno-canto.org/577372,//www.xeno-canto.org/577372/download,XC577372-5 jul. 11.10 curruca mosquitera.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577372-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577372-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577372-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577372-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,11:10,2020-07-05,2020-07-19,[''],Grabado en bosque de ribera,no,no
577364,Sylvia,borin,,Garden Warbler,Jose A. Neila Ballesteros,Spain,"Astuera (near  Colunga), Asturias, Principado de Asturias",43.5062,-5.2695,20,song,//www.xeno-canto.org/577364,//www.xeno-canto.org/577364/download,XC577364-4 jul. 17.16 curruca mosquitera.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577364-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577364-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577364-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577364-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,2:09,17:15,2020-07-04,2020-07-19,[''],Grabado en zona arbustiva junto al mar.,no,no
577363,Sylvia,borin,,Garden Warbler,Jose A. Neila Ballesteros,Spain,"Astuera (near  Colunga), Asturias, Principado de Asturias",43.5062,-5.2695,20,song,//www.xeno-canto.org/577363,//www.xeno-canto.org/577363/download,XC577363-4 jul. 17.11 curruca mosquitera.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577363-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577363-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577363-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LNDCYHUSPR/ffts/XC577363-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:56,17:15,2020-07-04,2020-07-19,[''],Grabado en zona arbustiva junto al mar.,no,no
