id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575894,Regulus,regulus,,Goldcrest,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575894,//www.xeno-canto.org/575894/download,XC575894-mii 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575894-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575894-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575894-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575894-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,15:00,2020-07-12,2020-07-14,[''],,no,no
575887,Regulus,regulus,,Goldcrest,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575887,//www.xeno-canto.org/575887/download,XC575887-mi 12 10.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575887-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575887-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575887-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575887-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,15:00,2020-07-12,2020-07-14,[''],but not sure..it could also be Firecrest,yes,no
575880,Regulus,regulus,,Goldcrest,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,song,//www.xeno-canto.org/575880,//www.xeno-canto.org/575880/download,XC575880-mi 12 6.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575880-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575880-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575880-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575880-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,15:00,2020-07-12,2020-07-14,[''],,yes,no
574300,Regulus,regulus,,Goldcrest,Charlie Bodin,France,"Poligny, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.6738,6.0147,1300,song,//www.xeno-canto.org/574300,//www.xeno-canto.org/574300/download,XC574300-Roitelet huppé poligny.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574300-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574300-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574300-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/HVLWWLJFGV/ffts/XC574300-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:30,11:00,2020-07-04,2020-07-08,[''],,yes,no
573698,Regulus,regulus,,Goldcrest,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7093,0.7932,950,call,//www.xeno-canto.org/573698,//www.xeno-canto.org/573698/download,XC573698-regulus 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573698-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573698-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573698-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573698-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,17:30,2019-08-02,2020-07-05,[''],,yes,no
573247,Regulus,regulus,,Goldcrest,Sidney M,Spain,"Selva (near  Blanes), Girona, Catalunya",41.678,2.8056,30,call,//www.xeno-canto.org/573247,//www.xeno-canto.org/573247/download,XC573247-regulus 03 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573247-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573247-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573247-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573247-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:22,15:00,2020-07-03,2020-07-03,[''],,yes,no
571304,Regulus,regulus,,Goldcrest,David Melichar,Czech Republic,"Železná Ruda, Klatovy, Plzeňský kraj",49.1871,13.2141,800,"male, song",//www.xeno-canto.org/571304,//www.xeno-canto.org/571304/download,XC571304-ih_UNadAutemNadKrizkem_08_ 0030_05-53-54.829_44.4 (online-audio-converter.com).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC571304-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC571304-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC571304-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/LUETWTUDBG/ffts/XC571304-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:44,04:30,2020-06-24,2020-06-24,"['Turdus philomelos', 'Erithacus rubecula']",,no,no
570274,Regulus,regulus,,Goldcrest,Jean-François Azens,France,"Crots, Hautes-Alpes, Provence-Alpes-Côte d'Azur",44.4848,6.4544,1500,"adult, male, song",//www.xeno-canto.org/570274,//www.xeno-canto.org/570274/download,XC570274-Roitelet huppé forêt Boscodon 20-06-2020 16h21m17s.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570274-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570274-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570274-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/DUUYLLTNQS/ffts/XC570274-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:22,16:00,2020-06-20,2020-06-20,['Fringilla coelebs'],,no,no
569388,Regulus,regulus,,Goldcrest,Stanislas Wroza,France,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",45.9956,6.4709,1800,"alarm call, call, flight call, various calls",//www.xeno-canto.org/569388,//www.xeno-canto.org/569388/download,XC569388-Roitelet huppe divers cris.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569388-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569388-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569388-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569388-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:15,07:30,2020-06-13,2020-06-17,[''],,yes,no
569387,Regulus,regulus,,Goldcrest,Stanislas Wroza,France,"Le Reposoir, Haute-Savoie, Auvergne-Rhône-Alpes",45.9956,6.4709,1800,"alarm call, call, flight call, various calls",//www.xeno-canto.org/569387,//www.xeno-canto.org/569387/download,XC569387-Roitelet huppe divers cris 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569387-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569387-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569387-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC569387-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:29,07:30,2020-06-13,2020-06-17,[''],,yes,no
