id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
575900,Parus,major,,Great Tit,Sidney M,Spain,"Val d'Aran, Lleida, Catalunya",42.7229,0.7793,1200,call,//www.xeno-canto.org/575900,//www.xeno-canto.org/575900/download,XC575900-great ti 12 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575900-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575900-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575900-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC575900-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,15:00,2020-07-12,2020-07-14,[''],,no,no
575593,Parus,major,,Great Tit,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,call,//www.xeno-canto.org/575593,//www.xeno-canto.org/575593/download,XC575593-2020.07.13_11.05_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575593-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575593-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575593-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC575593-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,11:05,2020-07-13,2020-07-14,[''],,yes,no
573635,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,call,//www.xeno-canto.org/573635,//www.xeno-canto.org/573635/download,XC573635-great tit 5 7.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573635-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573635-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573635-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573635-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,11:30,2020-07-05,2020-07-05,[''],,yes,no
573614,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,call,//www.xeno-canto.org/573614,//www.xeno-canto.org/573614/download,XC573614-great tit 5 6.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573614-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573614-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573614-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573614-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:01,11:30,2020-07-05,2020-07-05,[''],,yes,no
573613,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,call,//www.xeno-canto.org/573613,//www.xeno-canto.org/573613/download,XC573613-great tit 5 5.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573613-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573613-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573613-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573613-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:02,11:30,2020-07-05,2020-07-05,[''],,yes,no
573598,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,begging call,//www.xeno-canto.org/573598,//www.xeno-canto.org/573598/download,XC573598-great tit 5 4.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573598-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573598-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573598-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573598-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:14,11:30,2020-07-05,2020-07-05,[''],,yes,no
573597,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,begging call,//www.xeno-canto.org/573597,//www.xeno-canto.org/573597/download,XC573597-great tit 5 3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573597-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573597-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573597-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573597-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:16,11:30,2020-07-05,2020-07-05,[''],,yes,no
573596,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,begging call,//www.xeno-canto.org/573596,//www.xeno-canto.org/573596/download,XC573596-great tit 5 2.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573596-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573596-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573596-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573596-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,11:30,2020-07-05,2020-07-05,[''],,yes,no
573594,Parus,major,,Great Tit,Sidney M,Spain,"Baix Empordà (near  Begur), Girona, Catalunya",41.9318,3.2167,90,begging call,//www.xeno-canto.org/573594,//www.xeno-canto.org/573594/download,XC573594-great tit 5 1.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573594-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573594-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573594-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/AGCYXCXXSH/ffts/XC573594-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:59,11:30,2020-07-05,2020-07-05,[''],,yes,no
573294,Parus,major,,Great Tit,Jorge Leitão,Netherlands,"Genneper Parken, Eindhoven, Noord-Brabant",51.4213,5.4732,20,"adult, call, male",//www.xeno-canto.org/573294,//www.xeno-canto.org/573294/download,XC573294-2020.07.03_11.38_01.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573294-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573294-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573294-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/GYAUIPUVNM/ffts/XC573294-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:35,11:38,2020-07-03,2020-07-04,['Fulica atra'],Background: Fulica atra juvenile,yes,no
