id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
572164,Perdix,perdix,,Grey Partridge,Gary Elton,United Kingdom,"Great Britain (near  Great Massingham), Norfolk, England",52.7759,0.6613,80,"adult, call, male, song",//www.xeno-canto.org/572164,//www.xeno-canto.org/572164/download,XC572164-Grey Partridge GM 20200604 2201.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC572164-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC572164-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC572164-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/EEOAIANXMX/ffts/XC572164-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,22:00,2020-06-04,2020-06-28,[''],,yes,no
557288,Perdix,perdix,,Grey Partridge,Jarek Matusiak,Poland,Biebrza and Narew Valley,53.6171,22.9834,110,"call, flight call, male, wings",//www.xeno-canto.org/557288,//www.xeno-canto.org/557288/download,XC557288-JAREK-MATUSIAK-A-597 (2) kuropatwa (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC557288-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC557288-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC557288-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC557288-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,19:00,2020-05-10,2020-05-11,[''],,unknown,unknown
555940,Perdix,perdix,perdix,Grey Partridge,Jarek Matusiak,Poland,Biebrza and Narew Valley,53.6171,22.9834,110,"adult, call, female, male",//www.xeno-canto.org/555940,//www.xeno-canto.org/555940/download,XC555940-JAREK-MATUSIAK-254 (2) kuropatwy.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555940-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555940-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555940-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555940-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,21:00,2020-05-09,2020-05-10,[''],,unknown,unknown
555937,Perdix,perdix,perdix,Grey Partridge,Jarek Matusiak,Poland,Biebrza and Narew Valley,53.6171,22.9834,110,"adult, call, flight call, male",//www.xeno-canto.org/555937,//www.xeno-canto.org/555937/download,XC555937-JAREK-MATUSIAK-255 (2) kuropatwa.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555937-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555937-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555937-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555937-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,21:00,2020-05-09,2020-05-10,[''],,unknown,unknown
555238,Perdix,perdix,,Grey Partridge,Jarek Matusiak,Poland,"Powiat łowicki, województwo łódzkie",52.109,19.9416,80,"call, female, male",//www.xeno-canto.org/555238,//www.xeno-canto.org/555238/download,XC555238-JAREK-MATUSIAK-A-595 (2) kuropatwa kontakt (3).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555238-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555238-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555238-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC555238-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,15:00,2020-05-07,2020-05-08,[''],,unknown,unknown
550290,Perdix,perdix,,Grey Partridge,Stanislas Wroza,France,"Davron, Yvelines, Île-de-France",48.8659,1.9428,110,"raspy song, song",//www.xeno-canto.org/550290,//www.xeno-canto.org/550290/download,XC550290-Perdrix grise chant rapeux +.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC550290-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC550290-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC550290-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SDPCHKOHRH/ffts/XC550290-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:23,07:00,2020-04-25,2020-04-25,[''],,yes,no
531875,Perdix,perdix,,Grey Partridge,Hans Matheve,Belgium,"Uitkerkse polders, Blankenberge, West-Vlaanderen",51.2882,3.1296,0,song,//www.xeno-canto.org/531875,//www.xeno-canto.org/531875/download,"XC531875-Grey Partridge (call, BE, UItkerkse Polders, 4mar2020, 1).mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC531875-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC531875-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC531875-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC531875-full.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:22,?,2020-03-04,2020-03-05,[''],,yes,no
508594,Perdix,perdix,perdix,Grey Partridge,Mathieu Waldeck,Germany,"Neugraben-Fischbek, Hamburg",53.4797,9.8481,0,"adult, male, song",//www.xeno-canto.org/508594,//www.xeno-canto.org/508594/download,XC508594-Rebhuhn_181030_Neugraben-Fischbek_0315.MP3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZCDELIOZPF/ffts/XC508594-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZCDELIOZPF/ffts/XC508594-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZCDELIOZPF/ffts/XC508594-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZCDELIOZPF/ffts/XC508594-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,14:00,2018-10-30,2019-11-27,"['Phasianus colchicus', 'Turdus merula']","Observed close to housing estate just next to a nature reserve, where the last population of Grey Partridges in Hamburg persists",yes,no
476613,Perdix,perdix,,Grey Partridge,Jarek Matusiak,Poland,"Powiat łowicki, województwo łódzkie",52.109,19.9416,80,"call, song",//www.xeno-canto.org/476613,//www.xeno-canto.org/476613/download,XC476613-kuropatwy3.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476613-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476613-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476613-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476613-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:00,20:00,2019-05-23,2019-05-25,[''],some kind of lek place,yes,unknown
476611,Perdix,perdix,,Grey Partridge,Jarek Matusiak,Poland,"Powiat łowicki, województwo łódzkie",52.109,19.9416,80,"call, female",//www.xeno-canto.org/476611,//www.xeno-canto.org/476611/download,XC476611-kuropatwa  (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476611-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476611-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476611-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC476611-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,20:00,2019-05-23,2019-05-25,"['Anthus campestris', 'Numida meleagris']",,yes,unknown
