id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,file-name,sono,lic,q,length,time,date,uploaded,also,rmk,bird-seen,playback-used
563506,Pluvialis,squatarola,,Grey Plover,Sebastian Andrejeff,Finland,"Hanko, Hangon lintuasema",59.8114,22.8946,100,flight call,//www.xeno-canto.org/563506,//www.xeno-canto.org/563506/download,XC563506-200527_0417_plusqu 22.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC563506-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC563506-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC563506-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/IJRRKWZVQN/ffts/XC563506-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:36,05:00,2020-05-27,2020-05-30,[''],Migrating flock,yes,no
560196,Pluvialis,squatarola,,Grey Plover,AUDEVARD Aurélien,France,"Hyères, Var, Provence-Alpes-Côte d'Azur",43.0547,6.1443,0,call,//www.xeno-canto.org/560196,//www.xeno-canto.org/560196/download,XC560196-Pluvier argente cri 2 20052019 - Hyeres.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560196-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560196-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560196-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560196-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:05,09:38,2020-05-20,2020-05-21,"['Chroicocephalus genei', 'Charadrius hiaticula']",,yes,no
560193,Pluvialis,squatarola,,Grey Plover,AUDEVARD Aurélien,France,"Hyères, Var, Provence-Alpes-Côte d'Azur",43.0547,6.1443,0,call,//www.xeno-canto.org/560193,//www.xeno-canto.org/560193/download,XC560193-Pluvier argente cri 1 20052019 - Hyeres.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560193-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560193-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560193-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560193-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,09:39,2020-05-20,2020-05-21,['Chroicocephalus genei'],,yes,no
560188,Pluvialis,squatarola,,Grey Plover,AUDEVARD Aurélien,France,"Hyères, Var, Provence-Alpes-Côte d'Azur",43.0547,6.1443,0,call,//www.xeno-canto.org/560188,//www.xeno-canto.org/560188/download,XC560188-Pluvier argente cri 20052019 - Hyeres.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560188-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560188-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560188-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YPDXKAZUZN/ffts/XC560188-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:04,09:39,2020-05-20,2020-05-21,['Chroicocephalus genei'],,yes,no
558068,Pluvialis,squatarola,,Grey Plover,Franck Hollander,Germany,"Bremerhaven, Bremen",53.5342,8.6032,10,nocturnal flight call,//www.xeno-canto.org/558068,//www.xeno-canto.org/558068/download,XC558068-Pluvier argenté (2).mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC558068-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC558068-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC558068-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/SLCZHJNDSI/ffts/XC558068-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:13,01:00,2020-05-10,2020-05-13,[''],,unknown,unknown
555762,Pluvialis,squatarola,,Grey Plover,Christian Kerihuel,France,"Coulaines, Sarthe, Pays de la Loire",48.0228,0.1995,50,nocturnal flight call,//www.xeno-canto.org/555762,//www.xeno-canto.org/555762/download,XC555762-pluviers-ck-00h09-9mai20.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC555762-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC555762-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC555762-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VWWRQKFKMD/ffts/XC555762-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,00:00,2020-05-08,2020-05-09,[''],,unknown,unknown
568819,Pluvialis,squatarola,,Grey Plover,Isain Contreras Rodríguez,Mexico,"Paredones, Ahome, Sinaloa",25.6602,-109.0033,0,"call, juvenile",//www.xeno-canto.org/568819,//www.xeno-canto.org/568819/download,XC568819-200615_0163 bbpl juv alarm call gupo de 7 paredones sin.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568819-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568819-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568819-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568819-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,08:00,2020-06-15,2020-06-15,[''],"mic parabòlico MA1Len 13"" en Tascam DR-40X",yes,no
568817,Pluvialis,squatarola,,Grey Plover,Isain Contreras Rodríguez,Mexico,"Paredones, Ahome, Sinaloa",25.6602,-109.0033,0,"call, juvenile",//www.xeno-canto.org/568817,//www.xeno-canto.org/568817/download,"XC568817-200615_0161 BBPL cal juvl, Paredones sin.mp3","{'small': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568817-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568817-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568817-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/VCRVBXOHTS/ffts/XC568817-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,08:00,2020-06-15,2020-06-15,[''],"mic parabòlico MA1Len 13"" en Tascam DR-40X",yes,no
560597,Pluvialis,squatarola,monotypic,Grey Plover,Russ Wigh,United States,"Skidaway Island, Chatham County, GA USA",31.9237,-81.0559,0,call,//www.xeno-canto.org/560597,//www.xeno-canto.org/560597/download,XC560597-Black-bellied Plover Sk.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC560597-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC560597-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC560597-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/YBJUQSUJFZ/ffts/XC560597-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,14:00,2019-11-29,2020-05-22,[''],See and heard on migration in a large tidal flat,yes,no
554009,Pluvialis,squatarola,,Grey Plover,Ignaas Robbe,Belgium,"Kortrijk, West-Vlaanderen, Vlaanderen",50.8297,3.2408,20,"flight call, nocturnal flight call",//www.xeno-canto.org/554009,//www.xeno-canto.org/554009/download,XC554009-20200504_Zilverplevier.mp3,"{'small': '//www.xeno-canto.org/sounds/uploaded/ULHFNNQXPZ/ffts/XC554009-small.png', 'med': '//www.xeno-canto.org/sounds/uploaded/ULHFNNQXPZ/ffts/XC554009-med.png', 'large': '//www.xeno-canto.org/sounds/uploaded/ULHFNNQXPZ/ffts/XC554009-large.png', 'full': '//www.xeno-canto.org/sounds/uploaded/ULHFNNQXPZ/ffts/XC554009-full.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:17,00:05,2020-05-04,2020-05-04,[''],"Group of Grey Plovers, migrating at night over an inland  nocmig recording site.",no,no
